stratum,predictor,tau,lo,hi,n
"tiered, 2 tiers",r_val,0.8190088730682316,0.7980073784324688,0.8385655714853769,414
"tiered, 2 tiers",shd_truth,0.27613022938554505,0.21348084715078466,0.33913139271688747,414
"tiered, 2 tiers",n_k,-0.5682237999111347,-0.603067194007311,-0.5325137758952472,414
"tiered, 3 tiers",r_val,0.8071605524071076,0.788621429661128,0.8243974434467944,480
"tiered, 3 tiers",shd_truth,0.08039680748238814,0.018159381779779982,0.14256387875686896,480
"tiered, 3 tiers",n_k,-0.45560842440341587,-0.5102511916201511,-0.4017448858453059,480
"tiered, 4 tiers",r_val,0.7479410041713067,0.7280034436352238,0.7655741622441485,480
"tiered, 4 tiers",shd_truth,0.13509700423511264,0.06753009790673474,0.20376155486031672,480
"tiered, 4 tiers",n_k,-0.42967505888143465,-0.4838886704248893,-0.37185942503373054,480
"flip, cov 0.5, bw 0.00",r_val,0.6135336154814215,0.5367724136962552,0.6847061811718659,480
"flip, cov 0.5, bw 0.00",shd_truth,0.2296133572215578,0.15727456279601357,0.3011461573980563,480
"flip, cov 0.5, bw 0.00",n_k,0.25826831138419415,0.17673906227651184,0.33934323564002755,480
"flip, cov 0.5, bw 0.10",r_val,0.32837606536161185,0.2465960082925303,0.4128906053850251,480
"flip, cov 0.5, bw 0.10",shd_truth,-0.009287322407708338,-0.08525237041139466,0.06693036324347094,480
"flip, cov 0.5, bw 0.10",n_k,-0.05630882701259604,-0.13023612949700644,0.01479984481507225,480
"flip, cov 0.5, bw 0.25",r_val,-0.0270338065199596,-0.11993981081628641,0.0635113041186461,476
"flip, cov 0.5, bw 0.25",shd_truth,-0.1693379498755582,-0.22732677393004969,-0.10863392469784217,476
"flip, cov 0.5, bw 0.25",n_k,-0.26639781497718706,-0.3468919463922232,-0.1809501308812838,476
"flip, cov 1.0, bw 0.00",r_val,0.4693567707761453,0.4063825156137582,0.5348151354911977,480
"flip, cov 1.0, bw 0.00",shd_truth,,,,480
"flip, cov 1.0, bw 0.00",n_k,-0.0947107327302256,-0.16399652238815862,-0.026470638693466966,480
"flip, cov 1.0, bw 0.10",r_val,0.4181611899400737,0.3526351073634573,0.48360995609408547,480
"flip, cov 1.0, bw 0.10",shd_truth,-0.17554061002257842,-0.2539319310552117,-0.09416404869014425,480
"flip, cov 1.0, bw 0.10",n_k,-0.10913963960611275,-0.18317871228327193,-0.0366896634222642,480
"flip, cov 1.0, bw 0.25",r_val,0.27955168033772343,0.19492684286068732,0.3588590336393495,334
"flip, cov 1.0, bw 0.25",shd_truth,-0.10160716422851537,-0.19467750190017816,-0.01024357351985647,334
"flip, cov 1.0, bw 0.25",n_k,-0.11228217784009271,-0.19887241374584644,-0.028453234859949095,334
