d,mean_contradiction_rate,mean_S,mean_S_contra_as_fail,n_rows
0,0.0,0.9734931221074633,0.9734931221074633,668
1,0.533084682877574,0.9144775243619108,0.4172611483931751,1978
2,0.7746391142681108,0.7890726134446112,0.13151880057580928,1978
3,0.8896010006875941,0.721945922979179,0.05990709842749498,1868
4,0.8868708271042894,0.5976490610937379,0.021118721615964686,1817
5,0.9349770692033433,0.506504131679186,0.009215525005462721,1518
6,0.9559454465923087,0.4508262396242347,0.003971219241149468,1215
7,0.9742320445104492,0.4511840484986265,0.0015654209902881983,938
8,0.991016713091922,0.5097595473833098,0.003161559888579387,718
9,0.9615851449275361,0.5063291139240507,0.0012771739130434782,552
10,0.990313315926893,0.45454545454545453,0.005091383812010444,383
11,0.9118942731277533,0.0,0.0,227
12,1.0,,0.0,113
13,1.0,,0.0,58
14,1.0,,0.0,27
15,1.0,,0.0,7
16,1.0,,0.0,1
