discordance_type,discordance_score,instance_id,arm,component_size,separation,coverage,base_wrongness,n_tiers,r_val,r_status,r_assumes,shd_truth,shd_cpdag,n_k,undirected_fraction,AUC_frac,AUC_frac_rate,AUC_frac_usable,AUC_abs,baseline_pct,auc_pct,S_series_d_val,S_contra_as_fail_series_d_val
"high_high (looks far from truth, survives deep corruption)",1.7120229007633587,c08_s04_cov100_seed00000101_bw025,flip,8,4,1.0,0.25,,2,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",4,8,8,0.7272727272727273,0.9351851851851852,,0.775,3.601851851851852,0.7509541984732825,0.9610687022900763,1:1.0000;2:0.7500;3:0.8519;4:1.0000;5:nan;6:nan;7:nan;8:nan,1:0.4300;2:0.1650;3:0.1150;4:0.0150;5:0.0000;6:0.0000;7:0.0000;8:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7120229007633587,c12_s01_cov050_seed00000036_bw025,flip,12,1,0.5,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",8,9,6,0.8125,0.9421052631578948,,1.0,4.421052631578947,0.7471374045801527,0.9648854961832061,1:1.0000;2:1.0000;3:0.4211;4:1.0000;5:1.0000;6:nan,1:0.3400;2:0.0500;3:0.0400;4:0.1050;5:0.1850;6:0.0000
"high_high (looks far from truth, survives deep corruption)",1.721182634730539,c12_s06_cov100_seed00000010_tiered_nt4,tiered,12,6,,,4.0,4,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",3,11,9,0.8235294117647058,1.0,1.0,1.0,6.0,0.8357035928143712,0.8854790419161677,0:1.0000;1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:1.0000;6:nan;7:nan;8:nan;9:nan;10:nan,0:1.0000;1:0.6079;2:0.1140;3:0.0223;4:0.0033;5:0.0066;6:0.0000;7:0.0000;8:0.0000;9:0.0000;10:0.0000
"high_high (looks far from truth, survives deep corruption)",1.724236641221374,c08_s04_cov100_seed00000128_bw025,flip,8,4,1.0,0.25,,2,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",4,8,8,0.7272727272727273,0.9640096618357488,,0.8630434782608696,3.792270531400966,0.7509541984732825,0.9732824427480916,1:1.0000;2:0.8478;3:0.9444;4:1.0000;5:nan;6:nan;7:nan;8:nan,1:0.3900;2:0.1950;3:0.0850;4:0.0050;5:0.0000;6:0.0000;7:0.0000;8:0.0000
"high_high (looks far from truth, survives deep corruption)",1.75706106870229,c12_s01_cov050_seed00000023_bw025,flip,12,1,0.5,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,12,7,0.8235294117647058,0.9428571428571428,,1.0,3.7142857142857144,0.791412213740458,0.9656488549618321,1:1.0000;2:1.0000;3:0.7143;4:1.0000;5:nan;6:nan;7:nan,1:0.2750;2:0.1200;3:0.1000;4:0.0300;5:0.0000;6:0.0000;7:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7690839694656488,c12_s01_cov050_seed00000031_bw010,flip,12,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,13,8,0.8333333333333334,0.9055774647887324,,0.6590985915492957,2.407887323943662,0.8240458015267176,0.9450381679389313,1:0.7600;2:0.6479;3:1.0000;4:nan;5:nan;6:nan;7:nan;8:nan,1:0.4750;2:0.2300;3:0.0400;4:0.0000;5:0.0000;6:0.0000;7:0.0000;8:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7725190839694656,c10_s05_cov100_seed00000036_bw025,flip,10,5,1.0,0.25,,5,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",4,9,9,0.75,1.0,,1.0,4.0,0.7805343511450382,0.9919847328244275,1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:nan;6:nan;7:nan;8:nan;9:nan,1:0.2600;2:0.0550;3:0.0200;4:0.0200;5:0.0000;6:0.0000;7:0.0000;8:0.0000;9:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7725190839694656,c10_s05_cov100_seed00000140_bw025,flip,10,5,1.0,0.25,,3,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",4,9,9,0.75,1.0,,1.0,3.0,0.7805343511450382,0.9919847328244275,1:1.0000;2:1.0000;3:1.0000;4:nan;5:nan;6:nan;7:nan;8:nan;9:nan,1:0.2850;2:0.0850;3:0.0200;4:0.0000;5:0.0000;6:0.0000;7:0.0000;8:0.0000;9:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7729007633587788,c12_s01_cov050_seed00000020_bw010,flip,12,1,0.5,0.1,,1,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",6,13,8,0.8333333333333334,0.9151201712028094,,0.8588701712028094,3.3570840649692713,0.8240458015267176,0.9488549618320611,1:0.6567;2:0.7941;3:0.9062;4:1.0000;5:nan;6:nan;7:nan;8:nan,1:0.2200;2:0.2700;3:0.1450;4:0.0300;5:0.0000;6:0.0000;7:0.0000;8:0.0000
"high_high (looks far from truth, survives deep corruption)",1.7864503816793893,c10_s05_cov100_seed00000009_bw025,flip,10,5,1.0,0.25,,5,ok,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",4,10,10,0.7692307692307693,0.975,,1.0,6.75,0.8070610687022901,0.9793893129770992,1:1.0000;2:1.0000;3:1.0000;4:1.0000;5:1.0000;6:0.7500;7:1.0000;8:nan;9:nan;10:nan,1:0.2500;2:0.0900;3:0.0300;4:0.0050;5:0.0050;6:0.0150;7:0.0050;8:0.0000;9:0.0000;10:0.0000
