arm,base_wrongness,coverage,n_tiers,predictor,bucket,endpoint,n,median_endpoint_value,mean_endpoint_value
flip,0.0,0.5,,r_val,1,AUC_frac,80,0.37513848314754317,0.43470368212592936
flip,0.0,0.5,,r_val,2,AUC_frac,29,0.7,0.6999999999999997
flip,0.0,0.5,,r_val,3,AUC_frac,11,0.8,0.7914656771799629
flip,0.0,0.5,,r_val,4,AUC_frac,65,0.8,0.799838056680162
flip,0.0,0.5,,r_val,5+,AUC_frac,55,0.9,0.8793582887700534
flip,0.1,0.5,,r_val,1,AUC_frac,65,0.4118843922035412,0.429973919813672
flip,0.1,0.5,,r_val,2,AUC_frac,44,0.7,0.6559444775049822
flip,0.1,0.5,,r_val,3,AUC_frac,11,0.8,0.7898799313893654
flip,0.1,0.5,,r_val,4,AUC_frac,68,0.8,0.7930869995056845
flip,0.1,0.5,,r_val,5+,AUC_frac,52,0.7,0.7461538461538464
flip,0.25,0.5,,r_val,1,AUC_frac,41,0.2549175970228601,0.3218904893254703
flip,0.25,0.5,,r_val,2,AUC_frac,63,0.7,0.6606640931637804
flip,0.25,0.5,,r_val,3,AUC_frac,84,0.6,0.5944822969112059
flip,0.25,0.5,,r_val,4,AUC_frac,31,0.5,0.5618897540477074
flip,0.25,0.5,,r_val,5+,AUC_frac,1,0.6331168831168832,0.6331168831168832
flip,0.0,1.0,,r_val,1,AUC_frac,80,0.26036015316632855,0.36169056447705883
flip,0.0,1.0,,r_val,3,AUC_frac,20,0.5724857299958106,0.6339274876436327
flip,0.0,1.0,,r_val,4,AUC_frac,20,0.5353896103896104,0.5684539072039073
flip,0.0,1.0,,r_val,5+,AUC_frac,120,0.9,0.8200972222222223
flip,0.1,1.0,,r_val,1,AUC_frac,47,0.2040092165898617,0.38263847796491496
flip,0.1,1.0,,r_val,2,AUC_frac,37,0.3465709728867623,0.4582777712707465
flip,0.1,1.0,,r_val,3,AUC_frac,18,0.5,0.5188765257392709
flip,0.1,1.0,,r_val,4,AUC_frac,17,0.5,0.5493641407611995
flip,0.1,1.0,,r_val,5+,AUC_frac,117,0.8,0.746912107221308
