instance_id,n_rates_defined,S_rate_0.00,contradiction_rate_0.00,n_eval_rate_0.00,S_rate_0.05,contradiction_rate_0.05,n_eval_rate_0.05,S_rate_0.10,contradiction_rate_0.10,n_eval_rate_0.10,S_rate_0.15,contradiction_rate_0.15,n_eval_rate_0.15,S_rate_0.20,contradiction_rate_0.20,n_eval_rate_0.20,S_rate_0.25,contradiction_rate_0.25,n_eval_rate_0.25,S_rate_0.30,contradiction_rate_0.30,n_eval_rate_0.30,S_rate_0.35,contradiction_rate_0.35,n_eval_rate_0.35,S_rate_0.40,contradiction_rate_0.40,n_eval_rate_0.40,S_rate_0.45,contradiction_rate_0.45,n_eval_rate_0.45,S_rate_0.50,contradiction_rate_0.50,n_eval_rate_0.50,AUC_frac_rate
c06_s01_cov100_seed00000000_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9166666666666666,0.16,168,0.9622641509433962,0.205,159,0.8205128205128205,0.415,117,0.8225806451612904,0.38,124,0.7941176470588235,0.32,136,0.5904761904761905,0.475,105,0.6881720430107527,0.535,93,0.45121951219512196,0.59,82,0.4383561643835616,0.635,73,0.7713059854916932
c06_s01_cov100_seed00000000_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.896551724137931,0.13,174,0.9006211180124224,0.195,161,0.7540983606557377,0.39,122,0.8151260504201681,0.405,119,0.8686131386861314,0.315,137,0.5847457627118644,0.41,118,0.7647058823529411,0.49,102,0.625,0.6,80,0.5657894736842105,0.62,76,0.7977501373328552
c06_s01_cov100_seed00000001_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9057971014492754,0.31,138,0.92,0.25,150,0.7967479674796748,0.385,123,0.7589285714285714,0.44,112,0.7821782178217822,0.495,101,0.6511627906976745,0.57,86,0.7375,0.6,80,0.5362318840579711,0.655,69,0.5471698113207547,0.735,53,0.785065122205064
c06_s01_cov100_seed00000001_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9452054794520548,0.27,146,0.9097222222222222,0.28,144,0.7941176470588235,0.49,102,0.7368421052631579,0.525,95,0.7961165048543689,0.485,103,0.717948717948718,0.61,78,0.7142857142857143,0.58,84,0.6461538461538462,0.675,65,0.47058823529411764,0.745,51,0.7937254975030021
c06_s01_cov100_seed00000002_tiered_nt2,11,1.0,0.0,200,1.0,0.0,200,0.8266666666666667,0.25,150,0.8843537414965986,0.265,147,0.6466165413533834,0.335,133,0.6642335766423357,0.315,137,0.6693548387096774,0.38,124,0.48598130841121495,0.465,107,0.42105263157894735,0.525,95,0.25,0.54,92,0.21686746987951808,0.585,83,0.6422842522489403
c06_s01_cov100_seed00000002_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9580838323353293,0.165,167,0.9204545454545454,0.12,176,0.779874213836478,0.205,159,0.86,0.25,150,0.7931034482758621,0.275,145,0.7079646017699115,0.435,113,0.7321428571428571,0.44,112,0.4954954954954955,0.445,111,0.594059405940594,0.495,101,0.8037434909319159
c06_s01_cov100_seed00000002_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9470588235294117,0.15,170,0.9712643678160919,0.13,174,0.9205298013245033,0.245,151,0.8823529411764706,0.235,153,0.8985507246376812,0.31,138,0.8256880733944955,0.455,109,0.8373983739837398,0.385,123,0.73,0.5,100,0.7247706422018348,0.455,109,0.8852376134603844
c06_s01_cov100_seed00000003_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9285714285714286,0.09,182,0.9590643274853801,0.145,171,0.8161764705882353,0.32,136,0.8391608391608392,0.285,143,0.8627450980392157,0.235,153,0.696,0.375,125,0.7931034482758621,0.42,116,0.6476190476190476,0.475,105,0.632183908045977,0.565,87,0.8340567788896351
c06_s01_cov100_seed00000003_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.8922155688622755,0.165,167,0.8705882352941177,0.15,170,0.7769784172661871,0.305,139,0.8041958041958042,0.285,143,0.816793893129771,0.345,131,0.7272727272727273,0.34,132,0.782608695652174,0.425,115,0.6759259259259259,0.46,108,0.5729166666666666,0.52,96,0.8108632667514225
c06_s01_cov100_seed00000004_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.917910447761194,0.33,134,0.9180327868852459,0.39,122,0.8313253012048193,0.585,83,0.686046511627907,0.57,86,0.6781609195402298,0.565,87,0.5263157894736842,0.715,57,0.46808510638297873,0.765,47,0.30952380952380953,0.79,42,0.2682926829268293,0.795,41,0.6912448504842452
c06_s01_cov100_seed00000004_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9345794392523364,0.465,107,0.8951612903225806,0.38,124,0.7272727272727273,0.615,77,0.7058823529411765,0.575,85,0.7123287671232876,0.635,73,0.559322033898305,0.705,59,0.4528301886792453,0.735,53,0.5294117647058824,0.83,34,0.2972972972972973,0.815,37,0.7103714419538943
c06_s01_cov100_seed00000005_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.78,0.25,150,0.8079470198675497,0.245,151,0.5,0.4,120,0.5116279069767442,0.355,129,0.4628099173553719,0.395,121,0.3018867924528302,0.47,106,0.20967741935483872,0.38,124,0.1839080459770115,0.565,87,0.13043478260869565,0.54,92,0.535299262235731
c06_s01_cov100_seed00000006_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9191176470588235,0.32,136,0.8602941176470589,0.32,136,0.7368421052631579,0.525,95,0.8148148148148148,0.46,108,0.8080808080808081,0.505,99,0.6567164179104478,0.665,67,0.5352112676056338,0.645,71,0.39622641509433965,0.735,53,0.46938775510204084,0.755,49,0.7451537589615569
c06_s01_cov100_seed00000006_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.8275862068965517,0.275,145,0.88,0.375,125,0.8018867924528302,0.47,106,0.780952380952381,0.475,105,0.7431192660550459,0.455,109,0.6103896103896104,0.615,77,0.6547619047619048,0.58,84,0.5076923076923077,0.675,65,0.41818181818181815,0.725,55,0.7476882079438592
c06_s01_cov100_seed00000007_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.7122302158273381,0.305,139,0.782312925170068,0.265,147,0.5663716814159292,0.435,113,0.5135135135135135,0.445,111,0.5257731958762887,0.515,97,0.3090909090909091,0.45,110,0.3069306930693069,0.495,101,0.17333333333333334,0.625,75,0.13043478260869565,0.54,92,0.5472719318095802
c06_s01_cov100_seed00000008_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.8345864661654135,0.335,133,0.8928571428571429,0.3,140,0.8165137614678899,0.455,109,0.776595744680851,0.53,94,0.8736842105263158,0.525,95,0.6923076923076923,0.675,65,0.7,0.7,60,0.5,0.79,42,0.4634146341463415,0.795,41,0.7772690592865135
c06_s01_cov100_seed00000008_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.889763779527559,0.365,127,0.8613138686131386,0.315,137,0.7916666666666666,0.52,96,0.7171717171717171,0.505,99,0.7604166666666666,0.52,96,0.5833333333333334,0.64,72,0.6610169491525424,0.705,59,0.4098360655737705,0.695,61,0.5333333333333333,0.775,45,0.746168398185339
c06_s01_cov100_seed00000009_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.8323353293413174,0.165,167,0.8363636363636363,0.175,165,0.609375,0.36,128,0.5853658536585366,0.385,123,0.5846153846153846,0.35,130,0.49,0.5,100,0.45054945054945056,0.545,91,0.3764705882352941,0.575,85,0.3132530120481928,0.585,83,0.6434843868010739
c06_s01_cov100_seed00000010_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.8395061728395061,0.19,162,0.8047337278106509,0.155,169,0.6619718309859155,0.29,142,0.6917808219178082,0.27,146,0.6,0.325,135,0.5779816513761468,0.455,109,0.6396396396396397,0.445,111,0.3626373626373626,0.545,91,0.38202247191011235,0.555,89,0.6872976071924674
c06_s01_cov100_seed00000011_tiered_nt2,11,1.0,0.0,200,1.0,0.0,200,0.8777777777777778,0.1,180,0.8823529411764706,0.15,170,0.7058823529411765,0.15,170,0.8192771084337349,0.17,166,0.711764705882353,0.15,170,0.6601307189542484,0.235,153,0.64,0.25,150,0.5076923076923077,0.35,130,0.4435483870967742,0.38,124,0.7498569363595312
c06_s01_cov100_seed00000011_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9206349206349206,0.055,189,0.9521276595744681,0.06,188,0.903954802259887,0.115,177,0.7921348314606742,0.11,178,0.8121546961325967,0.095,181,0.7837837837837838,0.26,148,0.7884615384615384,0.22,156,0.75,0.38,124,0.6330935251798561,0.305,139,0.8487587052261567
c06_s01_cov100_seed00000011_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9340659340659341,0.09,182,0.9560439560439561,0.09,182,0.92,0.125,175,0.9137931034482759,0.13,174,0.9132947976878613,0.135,173,0.8064516129032258,0.225,155,0.8701298701298701,0.23,154,0.7941176470588235,0.32,136,0.7902097902097902,0.285,143,0.8998278828679762
c06_s01_cov100_seed00000012_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9050632911392406,0.21,158,0.8862275449101796,0.165,167,0.7938931297709924,0.345,131,0.7266187050359713,0.305,139,0.8181818181818182,0.34,132,0.6186440677966102,0.41,118,0.6330275229357798,0.455,109,0.43010752688172044,0.535,93,0.5108695652173914,0.54,92,0.7566030156245184
c06_s01_cov100_seed00000012_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9117647058823529,0.15,170,0.9520958083832335,0.165,167,0.78,0.25,150,0.7931034482758621,0.275,145,0.8014705882352942,0.32,136,0.6440677966101694,0.41,118,0.728,0.375,125,0.5865384615384616,0.48,104,0.5145631067961165,0.485,103,0.7919639923383172
c06_s01_cov100_seed00000013_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.7549668874172185,0.245,151,0.7569444444444444,0.28,144,0.5454545454545454,0.34,132,0.5630252100840336,0.405,119,0.5078125,0.36,128,0.18947368421052632,0.525,95,0.26881720430107525,0.535,93,0.13043478260869565,0.54,92,0.1797752808988764,0.555,89,0.5360640490381287
c06_s01_cov100_seed00000014_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9103448275862069,0.275,145,0.9,0.35,130,0.7391304347826086,0.54,92,0.7582417582417582,0.545,91,0.7717391304347826,0.54,92,0.6545454545454545,0.725,55,0.5178571428571429,0.72,56,0.34210526315789475,0.81,38,0.5,0.8,40,0.7358149101459862
c06_s01_cov100_seed00000014_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.823076923076923,0.35,130,0.8461538461538461,0.415,117,0.6813186813186813,0.545,91,0.7032967032967034,0.545,91,0.7159090909090909,0.56,88,0.6417910447761194,0.665,67,0.726027397260274,0.635,73,0.4423076923076923,0.74,52,0.5714285714285714,0.79,42,0.7410281773207182
c06_s01_cov100_seed00000015_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.8873239436619719,0.29,142,0.9477611940298507,0.33,134,0.7766990291262136,0.485,103,0.794392523364486,0.465,107,0.8076923076923077,0.48,104,0.6344086021505376,0.535,93,0.6292134831460674,0.555,89,0.40625,0.68,64,0.4098360655737705,0.695,61,0.7539615589768368
c06_s01_cov100_seed00000015_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.896774193548387,0.225,155,0.9076923076923077,0.35,130,0.7419354838709677,0.38,124,0.7913043478260869,0.425,115,0.7821782178217822,0.495,101,0.6428571428571429,0.51,98,0.5670103092783505,0.515,97,0.5138888888888888,0.64,72,0.5128205128205128,0.61,78,0.7596783095094934
c06_s01_cov100_seed00000016_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.7414965986394558,0.265,147,0.7682119205298014,0.245,151,0.528,0.375,125,0.5526315789473685,0.43,114,0.5,0.36,128,0.23809523809523808,0.37,126,0.22857142857142856,0.475,105,0.21428571428571427,0.51,98,0.1509433962264151,0.47,106,0.5383850795723112
c06_s01_cov100_seed00000017_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.8535031847133758,0.215,157,0.8475609756097561,0.18,164,0.6204379562043796,0.315,137,0.5724137931034483,0.275,145,0.528169014084507,0.29,142,0.3870967741935484,0.38,124,0.39166666666666666,0.4,120,0.3229166666666667,0.52,96,0.3482142857142857,0.44,112,0.6247253924506031
c06_s01_cov100_seed00000018_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9144736842105263,0.24,152,0.9407894736842105,0.24,152,0.7647058823529411,0.49,102,0.7542372881355932,0.41,118,0.8050847457627118,0.41,118,0.5977011494252874,0.565,87,0.5125,0.6,80,0.4307692307692308,0.675,65,0.32857142857142857,0.65,70,0.7317120802647209
c06_s01_cov100_seed00000018_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.86,0.25,150,0.9371069182389937,0.205,159,0.7169811320754716,0.47,106,0.76,0.375,125,0.7288135593220338,0.41,118,0.6428571428571429,0.58,84,0.6635514018691588,0.465,107,0.6153846153846154,0.61,78,0.5454545454545454,0.56,88,0.7700135741092692
c06_s01_cov100_seed00000019_tiered_nt2,11,1.0,0.0,200,1.0,0.0,200,0.856,0.375,125,0.7076923076923077,0.35,130,0.5596330275229358,0.455,109,0.5963302752293578,0.455,109,0.5368421052631579,0.525,95,0.32967032967032966,0.545,91,0.2875,0.6,80,0.08333333333333333,0.64,72,0.1111111111111111,0.595,81,0.5516465899838665
c06_s01_cov100_seed00000019_tiered_nt3,11,1.0,0.0,200,1.0,0.0,200,0.9142857142857143,0.3,140,0.96,0.25,150,0.7105263157894737,0.43,114,0.7758620689655172,0.42,116,0.8275862068965517,0.42,116,0.7215189873417721,0.605,79,0.5212765957446809,0.53,94,0.37037037037037035,0.595,81,0.3188405797101449,0.655,69,0.7382060762822021
c06_s01_cov100_seed00000019_tiered_nt4,11,1.0,0.0,200,1.0,0.0,200,0.9256756756756757,0.26,148,0.9261744966442953,0.255,149,0.8256880733944955,0.455,109,0.8103448275862069,0.42,116,0.8613861386138614,0.495,101,0.7228915662650602,0.585,83,0.7738095238095238,0.58,84,0.5970149253731343,0.665,67,0.5692307692307692,0.675,65,0.8192923633266385
