instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,200,1,105,95,0.475,0.4666666666666667,0.245
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,200,2,97,103,0.515,0.7525773195876289,0.365
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,200,3,55,145,0.725,0.0,0.0
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,1000,1,531,469,0.469,0.5009416195856874,0.266
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,1000,2,494,506,0.506,0.7246963562753036,0.358
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,1000,3,242,758,0.758,0.0,0.0
c06_s01_cov050_seed00000000_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,200,1,77,123,0.615,1.0,0.385
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,200,2,133,67,0.335,0.556390977443609,0.37
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,200,3,200,0,0.0,0.0,0.0
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,1000,1,353,647,0.647,1.0,0.353
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,1000,2,664,336,0.336,0.5015060240963856,0.333
c06_s01_cov050_seed00000001_bw025,6,1,0.5,0.25,1000,3,1000,0,0.0,0.0,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,200,1,138,62,0.31,0.0,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,200,2,127,73,0.365,0.0,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,1000,1,659,341,0.341,0.0,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,1000,2,659,341,0.341,0.0,0.0
c06_s01_cov050_seed00000002_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,200,1,84,116,0.58,0.5,0.21
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,200,2,94,106,0.53,0.6063829787234043,0.285
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,200,3,36,164,0.82,1.0,0.18
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,1000,1,475,525,0.525,0.5157894736842106,0.245
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,1000,2,486,514,0.514,0.6440329218106996,0.313
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,1000,3,229,771,0.771,1.0,0.229
c06_s01_cov050_seed00000003_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000004_bw025,6,1,0.5,0.25,200,1,200,0,0.0,0.565,0.565
c06_s01_cov050_seed00000004_bw025,6,1,0.5,0.25,200,2,0,200,1.0,,0.0
c06_s01_cov050_seed00000004_bw025,6,1,0.5,0.25,1000,1,1000,0,0.0,0.502,0.502
c06_s01_cov050_seed00000004_bw025,6,1,0.5,0.25,1000,2,0,1000,1.0,,0.0
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,200,1,200,0,0.0,0.7,0.7
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,200,2,62,138,0.69,0.0,0.0
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,1000,1,1000,0,0.0,0.676,0.676
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,1000,2,325,675,0.675,0.0,0.0
c06_s01_cov050_seed00000005_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000006_bw025,6,1,0.5,0.25,200,1,200,0,0.0,0.485,0.485
