network,source_file,sha256,source_format,n_nodes,n_undirected_edges,n_candidate_pairs_drawn,n_pairs_sampled,n_pairs_with_on_path_undirected_edge
Acid_1996,Acid_1996.txt,26b8f81b1b01e8e4a93e1c070d390acc9c0cd91fe66aeafb503c4ea9e379ca14,dagitty,18,1,200,60,7
Didelez_2010,Didelez_2010.txt,eefa012eaa59b3570c71acda397ea8bd1b348414575d8740c61287c058bc0227,dagitty,7,3,42,19,11
Kampen_2014,Kampen_2014.txt,0d4670c6e58458765ec6fe30c370e93d3fbb36b075df6c45d075aeb762c50467,dagitty,12,11,132,47,33
Polzer_2012,Polzer_2012.txt,828a8617782766d76dc7f58ae2a828ff02ba592579f09d5617eb7aa61708287b,dagitty,14,9,182,77,64
Schipf_2010,Schipf_2010.txt,b5329a25f9940b9e4a218d0bdd34d1a521a4ab3d10093f9a88a190bef338e439,dagitty,7,6,42,17,13
Sebastiani_2005,Sebastiani_2005.txt,a9d73e89b87e6d85a1d31dffafe8c6e56d1c4637fee93168769405e89041cce4,dagitty,36,7,200,17,5
Shrier_2008,Shrier_2008.txt,6145e8dbc79e6ae9b173dba30f324d4bc530b7cc50b551d764c6cc321185771e,dagitty,13,3,156,41,12
Thoemmes_2013,Thoemmes_2013.txt,fbb1cc96946c48de9e5227a64bad088768911be1a60307f6516b8d7c472b88be,dagitty,13,1,156,45,8
alarm,alarm.bif.gz,f5860caa7137b5817e0c4f169cce0f1451ce6c246b96f5ce4fb4a8167993be29,bif,37,4,200,31,3
andes,andes.bif.gz,dc9cd41e8658c4fd2b96305cc60392224032f02934d27e43123a61c2eab9dab7,bif,223,10,200,40,2
arth150,arth150.json,96e141aa767bb2556aea2eabb835603a286d951e95646f8ae0197d679acd551a,bnjson,107,45,200,7,1
asia,asia.bif.gz,7d5e7b8549834824c1b05f367eb7860fa3fca3adaf3649f0c7be6035af197197,bif,8,3,56,18,9
barley,barley.bif.gz,b8a18fdb91701da379f260eea0808bdaa690612f7de9a34397df8d8f5d43afd9,bif,48,9,200,48,12
cancer,cancer.bif.gz,dcfafbaadabcd1b8c9ec531e16721a19fc06829e980a3967d6345496ea081818,bif,5,0,20,8,0
child,child.bif.gz,2bc3236dcbdbf9c9f1bbdeb060aa93c0bdee389d23a549b7248b9d89ed8a980c,bif,20,12,200,34,22
confounding,confounding.txt,8da9fd8abc0bbb38f4ec85e01ab7f21fd446485659076340b193a0f24a0dce0a,dagitty,5,0,20,9,0
diabetes,diabetes.bif.gz,2100374d7be11024e708a50cac537102ef9f9b693aba4cc0e6918a60e4599d59,bif,413,26,200,51,15
earthquake,earthquake.bif.gz,77a41f1d509cea15eb7caf9dba932907837149e7145a2cc9d6c95c80849e62b0,bif,5,0,20,8,0
ecoli70,ecoli70.json,e3cfe98302c885deb4f13f012e9209b03ef803e718ba7ca666fb09324b2ad921,bnjson,46,25,200,21,9
hailfinder,hailfinder.bif.gz,efa122a88c4b550569ec821c7879bed9007f2b1e012e1ea52ea26069c7f26099,bif,56,17,200,20,3
