origin,base_id,network,treatment,outcome,menu_index,source,members,size
synthetic,c06_s01_cov100_seed152819226,,X,Y,0,empty,,0
synthetic,c06_s01_cov100_seed152819226,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c06_s01_cov100_seed152819226,,X,Y,2,O_true;an_minus_de,C00;W,2
synthetic,c06_s01_cov100_seed152819226,,X,Y,3,O_minus_v0,W,1
synthetic,c06_s01_cov100_seed1450336244,,X,Y,0,empty,,0
synthetic,c06_s01_cov100_seed1450336244,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c06_s01_cov100_seed1450336244,,X,Y,2,O_plus_v0,C00;C03;W,3
synthetic,c06_s01_cov100_seed1450336244,,X,Y,3,O_plus_v1,C00;C04;W,3
synthetic,c06_s01_cov100_seed1450336244,,X,Y,4,O_true;an_minus_de,C00;W,2
synthetic,c06_s01_cov100_seed1450336244,,X,Y,5,O_minus_v0,W,1
synthetic,c06_s02_cov100_seed280397440,,X,Y,0,empty,,0
synthetic,c06_s02_cov100_seed280397440,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s02_cov100_seed280397440,,X,Y,2,O_plus_v0;an_minus_de,C00;C01;W,3
synthetic,c06_s02_cov100_seed280397440,,X,Y,3,O_true,C00;W,2
synthetic,c06_s02_cov100_seed280397440,,X,Y,4,pa_true,C01,1
synthetic,c06_s02_cov100_seed280397440,,X,Y,5,O_minus_v0,W,1
synthetic,c06_s02_cov100_seed898325659,,X,Y,0,empty,,0
synthetic,c06_s02_cov100_seed898325659,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s02_cov100_seed898325659,,X,Y,2,O_plus_v0;an_minus_de,C00;C01;W,3
synthetic,c06_s02_cov100_seed898325659,,X,Y,3,O_plus_v1,C00;C03;W,3
synthetic,c06_s02_cov100_seed898325659,,X,Y,4,O_plus_v2,C00;C04;W,3
synthetic,c06_s02_cov100_seed898325659,,X,Y,5,O_plus_v3,C00;C05;W,3
synthetic,c06_s02_cov100_seed898325659,,X,Y,6,O_true,C00;W,2
synthetic,c06_s02_cov100_seed898325659,,X,Y,7,pa_true,C01,1
synthetic,c06_s02_cov100_seed898325659,,X,Y,8,O_minus_v0,W,1
synthetic,c06_s04_cov100_seed337731232,,X,Y,0,empty,,0
synthetic,c06_s04_cov100_seed337731232,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s04_cov100_seed337731232,,X,Y,2,an_minus_de,C00;C01;C02;C03;W,5
synthetic,c06_s04_cov100_seed337731232,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c06_s04_cov100_seed337731232,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c06_s04_cov100_seed337731232,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c06_s04_cov100_seed337731232,,X,Y,6,O_true,C00;W,2
synthetic,c06_s04_cov100_seed337731232,,X,Y,7,pa_true,C03,1
synthetic,c06_s04_cov100_seed337731232,,X,Y,8,O_minus_v0,W,1
synthetic,c06_s04_cov100_seed566415042,,X,Y,0,empty,,0
synthetic,c06_s04_cov100_seed566415042,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s04_cov100_seed566415042,,X,Y,2,an_minus_de,C00;C01;C02;C03;W,5
synthetic,c06_s04_cov100_seed566415042,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c06_s04_cov100_seed566415042,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c06_s04_cov100_seed566415042,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c06_s04_cov100_seed566415042,,X,Y,6,O_plus_v3,C00;C05;W,3
synthetic,c06_s04_cov100_seed566415042,,X,Y,7,O_true,C00;W,2
synthetic,c06_s04_cov100_seed566415042,,X,Y,8,pa_true,C03,1
synthetic,c06_s04_cov100_seed566415042,,X,Y,9,O_minus_v0,W,1
synthetic,c06_s05_cov100_seed1304932256,,X,Y,0,empty,,0
synthetic,c06_s05_cov100_seed1304932256,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s05_cov100_seed1304932256,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;W,6
synthetic,c06_s05_cov100_seed1304932256,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c06_s05_cov100_seed1304932256,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c06_s05_cov100_seed1304932256,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c06_s05_cov100_seed1304932256,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c06_s05_cov100_seed1304932256,,X,Y,7,O_true,C00;W,2
synthetic,c06_s05_cov100_seed1304932256,,X,Y,8,pa_true,C04,1
synthetic,c06_s05_cov100_seed1304932256,,X,Y,9,O_minus_v0,W,1
synthetic,c06_s05_cov100_seed1390762948,,X,Y,0,empty,,0
synthetic,c06_s05_cov100_seed1390762948,,X,Y,1,O_minus_v1,C00,1
synthetic,c06_s05_cov100_seed1390762948,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;W,6
synthetic,c06_s05_cov100_seed1390762948,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c06_s05_cov100_seed1390762948,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c06_s05_cov100_seed1390762948,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c06_s05_cov100_seed1390762948,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c06_s05_cov100_seed1390762948,,X,Y,7,O_true,C00;W,2
synthetic,c06_s05_cov100_seed1390762948,,X,Y,8,pa_true,C04,1
synthetic,c06_s05_cov100_seed1390762948,,X,Y,9,O_minus_v0,W,1
synthetic,c08_s01_cov100_seed416099593,,X,Y,0,empty,,0
synthetic,c08_s01_cov100_seed416099593,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c08_s01_cov100_seed416099593,,X,Y,2,O_plus_v0,C00;C04;W,3
synthetic,c08_s01_cov100_seed416099593,,X,Y,3,O_plus_v1,C00;C05;W,3
synthetic,c08_s01_cov100_seed416099593,,X,Y,4,O_plus_v2,C00;C06;W,3
synthetic,c08_s01_cov100_seed416099593,,X,Y,5,O_plus_v3,C00;C07;W,3
synthetic,c08_s01_cov100_seed416099593,,X,Y,6,O_true;an_minus_de,C00;W,2
synthetic,c08_s01_cov100_seed416099593,,X,Y,7,O_minus_v0,W,1
synthetic,c08_s01_cov100_seed1773969257,,X,Y,0,empty,,0
synthetic,c08_s01_cov100_seed1773969257,,X,Y,1,O_minus_v1;pa_true,C00,1
synthetic,c08_s01_cov100_seed1773969257,,X,Y,2,O_plus_v0,C00;C02;W,3
synthetic,c08_s01_cov100_seed1773969257,,X,Y,3,O_plus_v1,C00;C05;W,3
synthetic,c08_s01_cov100_seed1773969257,,X,Y,4,O_plus_v2,C00;C06;W,3
synthetic,c08_s01_cov100_seed1773969257,,X,Y,5,O_true;an_minus_de,C00;W,2
synthetic,c08_s01_cov100_seed1773969257,,X,Y,6,O_minus_v0,W,1
synthetic,c08_s03_cov100_seed573833528,,X,Y,0,empty,,0
synthetic,c08_s03_cov100_seed573833528,,X,Y,1,O_minus_v1,C00,1
synthetic,c08_s03_cov100_seed573833528,,X,Y,2,an_minus_de,C00;C01;C02;W,4
