origin,network,base_id,component_size,separation,base_seed,treatment,outcome,proposal_id,proposal_size,label,n_on_path,orientations,gate,status,n_menu_members,n_valid_menu_members,n_sem_valid,n_sem_total,achievable_utility_median,achievable_utility_q25,achievable_utility_q75,winning_member_index,winning_member_source,winning_members_encoded,representative_sem_k,assumes,method,oracle,exact,radius_timed_out,r_val,max_abs_bias_check,front_utility
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0000_k01,1,conservative,0,C00->C04,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0001_k01,1,conservative,0,C00->X,fast_gate,ok,4,2,20,20,1.0645732495479638,0.7684165870526118,1.4529029681923424,2,O_true;an_minus_de,C00;W,1,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,1.1102230246251565e-15,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0002_k01,1,conservative,0,C02->C03,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0003_k01,1,conservative,0,X->C02,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0004_k01,1,conservative,0,X->C03,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0005_k01,1,conservative,0,X->C04,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0006_k02,2,conservative,0,C00->C02;C00->C04,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0007_k02,2,conservative,0,C00->C04;X->C03,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0008_k02,2,conservative,0,C00->C04;C04->C05,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0009_k02,2,conservative,0,C00->C05;X->C02,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0010_k02,2,conservative,0,C00->X;X->C03,fast_gate,ok,4,2,20,20,1.0645732495479638,0.7684165870526118,1.4529029681923424,2,O_true;an_minus_de,C00;W,1,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,1.1102230246251565e-15,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0011_k02,2,conservative,0,C00->X;X->C04,fast_gate,ok,4,2,20,20,1.0645732495479638,0.7684165870526118,1.4529029681923424,2,O_true;an_minus_de,C00;W,1,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,1.1102230246251565e-15,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0012_k03,3,conservative,0,C00->C02;C00->X;X->C02,fast_gate,ok,4,2,20,20,1.0645732495479638,0.7684165870526118,1.4529029681923424,2,O_true;an_minus_de,C00;W,1,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,1.1102230246251565e-15,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0013_k03,3,conservative,0,C00->C04;C00->C05;X->C03,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed152819226,6,1,152819226,X,Y,c06_s01_cov100_seed152819226__p0014_k03,3,conservative,0,C00->C04;C02->C03;X->C04,fast_gate,no_menu_member_valid,4,0,0,20,,,,,,,,,,,,,,,False
