arm,coverage,base_wrongness,n_tiers,predictor,endpoint,stratum_n_instances,n,n_excluded_unreached,n_excluded_nan,predictor_constant,underpowered,status,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,r_assumes,stratum_label,is_supplementary,excludes_zero,winner_bold
flip,0.5,0.0,,r_val,AUC_frac_usable,240,239,0,1,False,False,ok,0.6342693507454253,4.6269460416251344e-36,0.5333430944326343,0.7278947540010144,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=0.5, base_wrongness=0.00",False,True,False
flip,0.5,0.0,,shd_truth,AUC_frac_usable,240,239,0,1,False,False,ok,0.20352319087223383,4.80363205130642e-05,0.10547467364675303,0.3001853610850302,0,,"flip, coverage=0.5, base_wrongness=0.00",False,True,False
flip,0.5,0.0,,n_k,AUC_frac_usable,240,239,0,1,False,False,ok,0.1838534200910981,0.0002815006064093611,0.07637420863134545,0.28907363336472,0,,"flip, coverage=0.5, base_wrongness=0.00",False,True,False
flip,0.5,0.0,,separation,AUC_frac_usable,240,239,0,1,False,False,ok,0.48154156808779347,2.0319115432528131e-22,0.39712929009149045,0.5587055825687244,0,,"flip, coverage=0.5, base_wrongness=0.00",False,True,False
flip,0.5,0.1,,r_val,AUC_frac_usable,240,240,0,0,False,False,ok,0.33392032040593883,4.0233628060936024e-11,0.2058221133631316,0.4530981509269189,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=0.5, base_wrongness=0.10",False,True,False
flip,0.5,0.1,,shd_truth,AUC_frac_usable,240,240,0,0,False,False,ok,-0.00020304382240552625,0.9966860828915948,-0.11134688030625244,0.1071126780449233,0,,"flip, coverage=0.5, base_wrongness=0.10",False,False,False
flip,0.5,0.1,,n_k,AUC_frac_usable,240,240,0,0,False,False,ok,-0.00435738221592784,0.9313893060483934,-0.11431818341720115,0.10488109494471833,0,,"flip, coverage=0.5, base_wrongness=0.10",False,False,False
flip,0.5,0.1,,separation,AUC_frac_usable,240,240,0,0,False,False,ok,0.20709787963774398,2.586437962498742e-05,0.09410349058527474,0.3124368678306675,0,,"flip, coverage=0.5, base_wrongness=0.10",False,True,False
flip,0.5,0.25,,r_val,AUC_frac_usable,220,220,0,0,False,False,ok,0.27903838188028496,1.9068766953322676e-07,0.15298653548570473,0.39659527547485107,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=0.5, base_wrongness=0.25",False,True,False
flip,0.5,0.25,,shd_truth,AUC_frac_usable,220,220,0,0,False,False,ok,0.03154603794858542,0.5299475189266643,-0.06335638557252019,0.1267074444301095,0,,"flip, coverage=0.5, base_wrongness=0.25",False,False,False
flip,0.5,0.25,,n_k,AUC_frac_usable,220,220,0,0,False,False,ok,0.13069742178109228,0.013213128298009389,0.0001532396593929863,0.2555675066277741,0,,"flip, coverage=0.5, base_wrongness=0.25",False,True,False
flip,0.5,0.25,,separation,AUC_frac_usable,220,220,0,0,False,False,ok,0.148413043503506,0.004089327163689078,0.030351960593073754,0.26103983703816347,0,,"flip, coverage=0.5, base_wrongness=0.25",False,True,False
flip,1.0,0.0,,r_val,AUC_frac_usable,240,229,0,11,False,False,ok,-0.09053773561886297,0.07092814487724815,-0.2037455213432331,0.029528242214445537,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=1.0, base_wrongness=0.00",False,False,False
flip,1.0,0.0,,shd_truth,AUC_frac_usable,240,229,0,11,True,False,undefined (predictor constant),,,,,0,,"flip, coverage=1.0, base_wrongness=0.00",False,False,False
flip,1.0,0.0,,n_k,AUC_frac_usable,240,229,0,11,False,False,ok,0.02120354311256132,0.6640907544760142,-0.06231020194843822,0.10257387139741606,0,,"flip, coverage=1.0, base_wrongness=0.00",False,False,False
flip,1.0,0.0,,separation,AUC_frac_usable,240,229,0,11,False,False,ok,-0.09053773561886297,0.07092814487724815,-0.2037455213432331,0.029528242214445537,0,,"flip, coverage=1.0, base_wrongness=0.00",False,False,False
flip,1.0,0.1,,r_val,AUC_frac_usable,236,226,0,10,False,False,ok,0.47366983746548386,9.514044492690761e-20,0.39286963985092493,0.5478807868930317,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=1.0, base_wrongness=0.10",False,True,False
flip,1.0,0.1,,shd_truth,AUC_frac_usable,236,226,0,10,False,False,ok,0.26300254689702796,1.1398548480415702e-05,0.160105720971379,0.3673143776280331,0,,"flip, coverage=1.0, base_wrongness=0.10",False,True,False
flip,1.0,0.1,,n_k,AUC_frac_usable,236,226,0,10,False,False,ok,0.260810961906547,4.51854237103977e-07,0.17085915703693835,0.3490520132112662,0,,"flip, coverage=1.0, base_wrongness=0.10",False,True,False
flip,1.0,0.1,,separation,AUC_frac_usable,236,226,0,10,False,False,ok,0.4343169121700008,2.4168048335184837e-16,0.34449745329046655,0.518462706505478,0,,"flip, coverage=1.0, base_wrongness=0.10",False,True,False
flip,1.0,0.25,,r_val,AUC_frac_usable,134,133,0,1,False,False,ok,0.35489522914686167,3.494240666359197e-07,0.22296697882794597,0.47600530496786675,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","flip, coverage=1.0, base_wrongness=0.25",False,True,False
flip,1.0,0.25,,shd_truth,AUC_frac_usable,134,133,0,1,False,False,ok,0.5822941901378627,1.0431647792499237e-14,0.4880761975329451,0.6660690217970178,0,,"flip, coverage=1.0, base_wrongness=0.25",False,True,False
flip,1.0,0.25,,n_k,AUC_frac_usable,134,133,0,1,False,False,ok,0.5572960934064954,4.795889226415444e-16,0.4732638029029341,0.6353693126780858,0,,"flip, coverage=1.0, base_wrongness=0.25",False,True,False
flip,1.0,0.25,,separation,AUC_frac_usable,134,133,0,1,False,False,ok,0.1661152297387208,0.018348035260963482,0.023864860350101207,0.30435488475335826,0,,"flip, coverage=1.0, base_wrongness=0.25",False,True,False
tiered,,,2.0,r_val,AUC_rate_usable,190,190,0,0,False,False,ok,0.7905898231981653,2.72527787031199e-46,0.7628328315273598,0.8142913945634838,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","tiered, n_tiers=2",False,True,False
tiered,,,2.0,shd_truth,AUC_rate_usable,190,190,0,0,False,False,ok,0.3612984112033267,9.445681128152353e-11,0.28661277269277496,0.43375170950567604,0,,"tiered, n_tiers=2",False,True,False
tiered,,,2.0,n_k,AUC_rate_usable,190,190,0,0,False,False,ok,-0.42305095263132664,3.071928698446555e-13,-0.5163099049351594,-0.3270059999405898,0,,"tiered, n_tiers=2",False,True,False
tiered,,,2.0,separation,AUC_rate_usable,190,190,0,0,False,False,ok,0.8190568286855452,6.650962260809548e-52,0.7943392460364543,0.842437770973689,0,,"tiered, n_tiers=2",False,True,False
tiered,,,3.0,r_val,AUC_rate_usable,238,238,0,0,False,False,ok,0.755940960253361,1.450416487320232e-52,0.727602724927075,0.7812337966162813,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","tiered, n_tiers=3",False,True,False
tiered,,,3.0,shd_truth,AUC_rate_usable,238,238,0,0,False,False,ok,0.16885670950582005,0.0010767064934683163,0.07875779928865793,0.2572384617484623,0,,"tiered, n_tiers=3",False,True,False
tiered,,,3.0,n_k,AUC_rate_usable,238,238,0,0,False,False,ok,-0.38238642270814815,1.570406454060461e-14,-0.45860733239682966,-0.30314830503716333,0,,"tiered, n_tiers=3",False,True,False
tiered,,,3.0,separation,AUC_rate_usable,238,238,0,0,False,False,ok,0.7893286097744997,1.1192397350995338e-57,0.7720380352373332,0.8065523774702756,0,,"tiered, n_tiers=3",False,True,False
tiered,,,4.0,r_val,AUC_rate_usable,240,240,0,0,False,False,ok,0.722448105983408,2.6111370669906844e-47,0.6896179555235042,0.7502302987702701,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)","tiered, n_tiers=4",False,True,False
tiered,,,4.0,shd_truth,AUC_rate_usable,240,240,0,0,False,False,ok,0.19509177605502828,0.00019998382518104127,0.10345384320635391,0.2860361886935809,0,,"tiered, n_tiers=4",False,True,False
tiered,,,4.0,n_k,AUC_rate_usable,240,240,0,0,False,False,ok,-0.37706972865062344,4.0823104435113435e-14,-0.45294846192917054,-0.29954957135365823,0,,"tiered, n_tiers=4",False,True,False
tiered,,,4.0,separation,AUC_rate_usable,240,240,0,0,False,False,ok,0.7701874311035228,4.3921980275823396e-54,0.7493439695576126,0.7906705578111122,0,,"tiered, n_tiers=4",False,True,False
