arm,stratum,endpoint,n,tau_r_hop,tau_separation,diff,ci_lo,ci_hi,verdict
flip,"(np.float64(0.5), np.float64(0.0))",AUC_frac,240,0.713719703186941,0.546369964041748,0.16734973914519302,0.11812586944619481,0.22116727708314732,radius
flip,"(np.float64(0.5), np.float64(0.0))",AUC_frac_usable,239,0.6342693507454253,0.48154156808779347,0.15272778265763187,0.10127407942633715,0.20742071702055723,radius
flip,"(np.float64(0.5), np.float64(0.1))",AUC_frac,240,0.3797239792383254,0.29695498836301804,0.08276899087530737,0.01819777516954517,0.14338545661902757,radius
flip,"(np.float64(0.5), np.float64(0.1))",AUC_frac_usable,240,0.33392032040593883,0.20709787963774398,0.12682244076819485,0.06938714675391137,0.1820987721047599,radius
flip,"(np.float64(0.5), np.float64(0.25))",AUC_frac,220,0.031381163264070505,0.07356549355754002,-0.04218433029346952,-0.14208463218946044,0.05196910123989942,indistinguishable
flip,"(np.float64(0.5), np.float64(0.25))",AUC_frac_usable,220,0.27903838188028496,0.148413043503506,0.13062533837677895,0.03672418387756033,0.22225516130435852,radius
flip,"(np.float64(1.0), np.float64(0.0))",AUC_frac,240,0.5192417521193154,0.5192417521193154,0.0,0.0,0.0,indistinguishable
flip,"(np.float64(1.0), np.float64(0.0))",AUC_frac_usable,229,-0.09053773561886297,-0.09053773561886297,0.0,0.0,0.0,indistinguishable
flip,"(np.float64(1.0), np.float64(0.1))",AUC_frac,236,0.3876866691563208,0.37914165299897773,0.008545016157343044,-0.01899074893610312,0.035573631107297346,indistinguishable
flip,"(np.float64(1.0), np.float64(0.1))",AUC_frac_usable,226,0.47366983746548386,0.4343169121700008,0.039352925295483066,0.00811473150603839,0.0708531610957284,radius
flip,"(np.float64(1.0), np.float64(0.25))",AUC_frac,134,0.3460809305868245,0.3883527651170606,-0.04227183453023614,-0.12990693893317098,0.03921447527355392,indistinguishable
flip,"(np.float64(1.0), np.float64(0.25))",AUC_frac_usable,133,0.35489522914686167,0.1661152297387208,0.18877999940814086,0.10862256625740731,0.27221184240209695,radius
tiered,"(2.0,)",AUC_frac_rate,190,0.7992833079036379,0.6726814020926056,0.12660190581103226,0.08135626731888447,0.1782235191546563,radius
tiered,"(2.0,)",AUC_rate_usable,190,0.7905898231981653,0.8190568286855452,-0.028467005487379904,-0.06170893977260949,0.003608570455583715,indistinguishable
tiered,"(3.0,)",AUC_frac_rate,238,0.8108143174929328,0.7985204867458187,0.012293830747114098,-0.007457517065355082,0.03185706847781801,indistinguishable
tiered,"(3.0,)",AUC_rate_usable,238,0.755940960253361,0.7893286097744997,-0.03338764952113871,-0.05398307225022572,-0.016000639902252846,separation
tiered,"(4.0,)",AUC_frac_rate,240,0.7772663313345648,0.8004476641417109,-0.02318133280714607,-0.0426476463187997,-0.005761042517643912,separation
tiered,"(4.0,)",AUC_rate_usable,240,0.722448105983408,0.7701874311035228,-0.047739325120114806,-0.07020873890748013,-0.029209129978144576,separation
