instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,1,109,91,0.455,0.7614678899082569,0.415
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,2,64,136,0.68,0.65625,0.21
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,3,22,178,0.89,0.3181818181818182,0.035
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,4,9,191,0.955,0.0,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,1,553,447,0.447,0.7631103074141049,0.422
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,2,284,716,0.716,0.6514084507042254,0.185
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,3,92,908,0.908,0.33695652173913043,0.031
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,4,35,965,0.965,0.0,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000000_bw000,6,1,1.0,0.0,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,1,104,96,0.48,0.75,0.39
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,2,38,162,0.81,0.6842105263157895,0.13
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,3,21,179,0.895,0.7619047619047619,0.08
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,4,25,175,0.875,0.4,0.05
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,5,39,161,0.805,0.0,0.0
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,1,510,490,0.49,0.7196078431372549,0.367
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,2,197,803,0.803,0.6091370558375635,0.12
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,3,113,887,0.887,0.584070796460177,0.066
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,4,141,859,0.859,0.5177304964539007,0.073
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,5,172,828,0.828,0.0,0.0
c06_s01_cov100_seed00000001_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000002_bw000,6,1,1.0,0.0,200,1,148,52,0.26,0.7364864864864865,0.545
c06_s01_cov100_seed00000002_bw000,6,1,1.0,0.0,200,2,62,138,0.69,0.5,0.155
c06_s01_cov100_seed00000002_bw000,6,1,1.0,0.0,200,3,25,175,0.875,0.0,0.0
c06_s01_cov100_seed00000002_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
