instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,1,87,113,0.565,1.0,0.435
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,2,38,162,0.81,0.631578947368421,0.12
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,3,29,171,0.855,0.4482758620689655,0.065
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,4,4,196,0.98,0.0,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,1,418,582,0.582,1.0,0.418
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,2,247,753,0.753,0.5546558704453441,0.137
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,3,139,861,0.861,0.4172661870503597,0.058
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,4,28,972,0.972,0.0,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000000_bw010,6,1,1.0,0.1,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,1,98,102,0.51,1.0,0.49
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,2,65,135,0.675,0.5076923076923077,0.165
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,3,23,177,0.885,0.13043478260869565,0.015
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,4,12,188,0.94,0.0,0.0
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,1000,1,495,505,0.505,1.0,0.495
c06_s01_cov100_seed00000001_bw010,6,1,1.0,0.1,1000,2,284,716,0.716,0.4859154929577465,0.138
