instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.77,0.77
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,2,73,127,0.0,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,200,,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,200,,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.65,0.65
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,2,65,135,0.0,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,200,,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.625,0.625
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,2,58,142,0.0,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,200,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.715,0.715
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,2,70,130,0.6142857142857143,0.215
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,200,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,200,,0.0
c06_s01_cov050_seed00000004_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.525,0.525
c06_s01_cov050_seed00000004_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,200,,0.0
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,1,127,73,0.4881889763779528,0.31
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,2,135,65,0.0,0.0
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,200,,0.0
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.48,0.48
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,200,,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,1,107,93,0.0,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,2,200,0,0.0,0.0
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.555,0.555
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,200,,0.0
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,1,133,67,0.518796992481203,0.345
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,2,139,61,0.5035971223021583,0.35
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,3,200,0,0.0,0.0
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,1,147,53,0.7006802721088435,0.515
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,2,115,85,0.3565217391304348,0.205
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,3,50,150,0.0,0.0
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,200,,0.0
c06_s01_cov050_seed00000011_bw000,flip,fast_gate,6,1,0.5,0.0,,1,200,0,0.68,0.68
