instance_id,arm,gate,component_size,separation,n_tiers,bin,n_samples,n_contradictory,n_noncontra,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.0,200,0,200,0.0,1.0,1.0
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.15,400,101,299,0.2525,0.8394648829431438,0.6275
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.3,600,207,393,0.345,0.6997455470737913,0.4583333333333333
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.5,400,178,222,0.445,0.49099099099099097,0.2725
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.65,200,111,89,0.555,0.21348314606741572,0.095
c06_s01_cov100_seed00000002_xarm_nt2,tiered,fast_gate,6,1,2,0.55,200,112,88,0.56,0.14772727272727273,0.065
c06_s01_cov100_seed00000002_xarm_nt2,flip,fast_gate,6,1,2,1.0,200,0,200,0.0,0.475,0.475
c06_s01_cov100_seed00000002_xarm_nt2,flip,fast_gate,6,1,2,1.15,200,0,200,0.0,0.0,0.0
c06_s01_cov100_seed00000011_xarm_nt2,tiered,fast_gate,6,1,2,0.0,200,0,200,0.0,1.0,1.0
c06_s01_cov100_seed00000011_xarm_nt2,tiered,fast_gate,6,1,2,0.1,400,56,344,0.14,0.875,0.7525
c06_s01_cov100_seed00000011_xarm_nt2,tiered,fast_gate,6,1,2,0.25,600,111,489,0.185,0.7566462167689162,0.6166666666666667
c06_s01_cov100_seed00000011_xarm_nt2,tiered,fast_gate,6,1,2,0.4,400,105,295,0.2625,0.6338983050847458,0.4675
c06_s01_cov100_seed00000011_xarm_nt2,tiered,fast_gate,6,1,2,0.55,400,164,236,0.41,0.4830508474576271,0.285
c06_s01_cov100_seed00000011_xarm_nt2,flip,fast_gate,6,1,2,0.55,200,0,200,0.0,0.785,0.785
c06_s01_cov100_seed00000011_xarm_nt2,flip,fast_gate,6,1,2,0.85,200,99,101,0.495,0.7425742574257426,0.375
c06_s01_cov100_seed00000011_xarm_nt2,flip,fast_gate,6,1,2,unresolved_all_contradictory,400,400,0,1.0,,0.0
c06_s01_cov100_seed00000019_xarm_nt2,tiered,fast_gate,6,1,2,0.0,200,0,200,0.0,1.0,1.0
c06_s01_cov100_seed00000019_xarm_nt2,tiered,fast_gate,6,1,2,0.15,800,346,454,0.4325,0.7180616740088106,0.4075
c06_s01_cov100_seed00000019_xarm_nt2,tiered,fast_gate,6,1,2,0.3,200,93,107,0.465,0.5887850467289719,0.315
c06_s01_cov100_seed00000019_xarm_nt2,tiered,fast_gate,6,1,2,0.5,400,233,167,0.5825,0.31137724550898205,0.13
c06_s01_cov100_seed00000019_xarm_nt2,tiered,fast_gate,6,1,2,0.65,400,246,154,0.615,0.11688311688311688,0.045
c06_s01_cov100_seed00000019_xarm_nt2,flip,fast_gate,6,1,2,1.0,200,0,200,0.0,0.0,0.0
c06_s01_cov100_seed00000021_xarm_nt2,tiered,fast_gate,6,1,2,0.0,200,0,200,0.0,1.0,1.0
c06_s01_cov100_seed00000021_xarm_nt2,tiered,fast_gate,6,1,2,0.15,600,169,431,0.2816666666666667,0.8306264501160093,0.5966666666666667
c06_s01_cov100_seed00000021_xarm_nt2,tiered,fast_gate,6,1,2,0.3,800,363,437,0.45375,0.5720823798627003,0.3125
