network,condition,model,naming,n_pairs,n_pairs_ok,n_k,n_asked,assert_rate,k_accuracy,n_k_wrong,k_g0,shd_truth,g0_status,median_AUC_frac,median_AUC_frac_contra_as_fail,median_radius,n_radius_ok
Acid_1996,D_LLM,qwen2.5:7b-instruct,real,10,10,1,1,1.0,0.0,1,1,2,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_32B,Qwen2.5-32B-Instruct,real,10,0,0,1,0.0,,0,,,n_k_zero,,,,0
Acid_1996,D_LLM_72B,Qwen2.5-72B-Instruct,real,10,10,1,1,1.0,1.0,0,1,0,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,10,10,1,1,1.0,1.0,0,1,0,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_GEMMA_27B,gemma-3-27b-it,real,10,10,1,1,1.0,0.0,1,1,2,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_INSTR,qwen2.5:7b-instruct,real,10,10,1,1,1.0,1.0,0,1,0,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_SRC,llama3.1:8b,real,10,10,1,1,1.0,1.0,0,1,0,ok,0.0,0.0,1.0,10
Acid_1996,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,10,10,1,1,1.0,1.0,0,1,0,ok,0.0,0.0,1.0,10
Acid_1996,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,10,0,0,1,0.0,,0,,,n_k_zero,,,,0
Acid_1996,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,10,0,0,1,0.0,,0,,,n_k_zero,,,,0
Didelez_2010,D_LLM,qwen2.5:7b-instruct,real,8,8,1,3,0.3333333333333333,1.0,0,3,0,ok,0.0,0.0,2.0,8
Didelez_2010,D_LLM_32B,Qwen2.5-32B-Instruct,real,8,8,2,3,0.6666666666666666,1.0,0,3,0,ok,0.3,0.3,2.0,8
Didelez_2010,D_LLM_72B,Qwen2.5-72B-Instruct,real,8,8,3,3,1.0,1.0,0,3,0,ok,0.7449612403100775,0.26480000000000004,2.0,8
Didelez_2010,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,8,8,3,3,1.0,1.0,0,3,0,ok,0.7317073170731707,0.2467,2.0,8
Didelez_2010,D_LLM_GEMMA_27B,gemma-3-27b-it,real,8,8,3,3,1.0,1.0,0,3,0,ok,0.74765625,0.2706,2.0,8
Didelez_2010,D_LLM_INSTR,qwen2.5:7b-instruct,real,8,0,1,3,0.3333333333333333,0.0,1,1,4,optimal_set_undefined,,,,0
Didelez_2010,D_LLM_SRC,llama3.1:8b,real,8,8,3,3,1.0,1.0,0,3,0,ok,0.7443946188340808,0.26660000000000006,2.0,8
Didelez_2010,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,8,8,2,3,0.6666666666666666,1.0,0,3,0,ok,0.3,0.3,2.0,8
Didelez_2010,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,8,5,2,3,0.6666666666666666,0.5,1,3,4,ok,0.0,0.0,1,5
Didelez_2010,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,8,8,3,3,1.0,1.0,0,3,0,ok,0.7375,0.26539999999999997,2.0,8
Kampen_2014,D_LLM,qwen2.5:7b-instruct,real,27,7,8,11,0.7272727272727273,0.5,4,10,9,ok,0.7631055900621118,0.1117,3,7
Kampen_2014,D_LLM_32B,Qwen2.5-32B-Instruct,real,27,7,9,11,0.8181818181818182,0.5555555555555556,4,10,9,ok,0.7608779921731295,0.0774,3,7
Kampen_2014,D_LLM_72B,Qwen2.5-72B-Instruct,real,27,13,10,11,0.9090909090909091,0.5,5,11,12,ok,0.6684606345475911,0.0538,1,13
Kampen_2014,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,27,13,11,11,1.0,0.6363636363636364,4,11,8,ok,0.5851468710089399,0.0455,2,13
Kampen_2014,D_LLM_GEMMA_27B,gemma-3-27b-it,real,27,12,8,11,0.7272727272727273,0.5,4,11,10,ok,0.8043588413516876,0.0854,3.0,12
Kampen_2014,D_LLM_INSTR,qwen2.5:7b-instruct,real,27,13,9,11,0.8181818181818182,0.7777777777777778,2,11,4,ok,0.6170498084291187,0.0752,1,13
Kampen_2014,D_LLM_SRC,llama3.1:8b,real,27,6,1,11,0.09090909090909091,0.0,1,5,10,ok,0.0,0.0,2.0,6
Kampen_2014,D_LLM_SRC_70B,Llama-3.3-70B-Instruct,real,27,13,11,11,1.0,0.36363636363636365,7,11,14,ok,0.1260655514755882,0.0235,1,13
Kampen_2014,D_SCRAMBLED,qwen2.5:7b-instruct,scrambled,27,8,9,11,0.8181818181818182,0.7777777777777778,2,10,5,ok,0.2621519806190701,0.0732,1.0,8
Kampen_2014,D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,scrambled,27,14,11,11,1.0,0.6363636363636364,4,11,8,ok,0.38418206499382973,0.034,1.0,14
Polzer_2012,D_LLM,qwen2.5:7b-instruct,real,49,12,4,9,0.4444444444444444,0.75,1,5,6,ok,0.1542,0.0771,2.0,12
Polzer_2012,D_LLM_32B,Qwen2.5-32B-Instruct,real,49,17,2,9,0.2222222222222222,0.0,2,5,10,ok,0.33039999999999997,0.33039999999999997,2,17
Polzer_2012,D_LLM_72B,Qwen2.5-72B-Instruct,real,49,48,8,9,0.8888888888888888,0.875,1,9,2,ok,0.22615907901622187,0.0775,1.0,48
Polzer_2012,D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,real,49,32,4,9,0.4444444444444444,1.0,0,5,4,ok,0.1312883435582822,0.06420000000000001,1.0,32
Polzer_2012,D_LLM_GEMMA_27B,gemma-3-27b-it,real,49,48,9,9,1.0,0.8888888888888888,1,9,2,ok,0.2815983242587584,0.0668,1.0,48
