condition,model,family,naming,n_units,n_units_ok,n_networks,sum_n_k,median_n_k_per_network,min_n_k,max_n_k,mean_accuracy_over_networks,median_accuracy_over_networks,n_networks_g0_blocked,median_AUC_frac_pair_weighted,median_AUC_frac_network_weighted,n_AUC_defined,median_AUC_frac_contra_as_fail,median_contradiction_rate,median_n_grid_points_S_defined,median_radius,share_radius_1,n_radius_ok,n_radius_unreached,status_counts
D_LLM,qwen2.5:7b-instruct,qwen2,real,540,216,24,130,5.0,1,14,0.6381639194139194,0.6571428571428571,4,0.3584,0.3453590421416804,216,0.1284,0.793,5.0,1.0,0.5787037037037037,216,0,"{""o_g0_extensions_intractable"": 95, ""ok"": 216, ""optimal_set_undefined"": 229}"
D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,540,223,24,158,6.0,0,23,0.691810443984357,0.75,6,0.3,0.41657867607653354,223,0.1778,0.8785,5,1,0.6816143497757847,223,0,"{""n_k_zero"": 42, ""o_g0_extensions_intractable"": 95, ""ok"": 223, ""optimal_set_undefined"": 180}"
D_LLM_72B,Qwen2.5-72B-Instruct,qwen2,real,540,446,24,191,7.0,0,21,0.7155106970324362,0.8333333333333334,2,0.3776673267326733,0.4324386236506777,446,0.11535000000000001,0.699,4.0,1.0,0.7152466367713004,446,0,"{""n_k_zero"": 11, ""o_g0_extensions_intractable"": 6, ""ok"": 446, ""optimal_set_undefined"": 77}"
D_LLM_72B_INSTR,Qwen2.5-72B-Instruct,qwen2,real,540,315,24,174,6.0,0,18,0.7350497328758199,0.8333333333333334,4,0.42790062386946737,0.42475177909744427,315,0.10429999999999999,0.8215,5,1,0.5555555555555556,315,0,"{""n_k_zero"": 11, ""o_g0_extensions_intractable"": 117, ""ok"": 315, ""optimal_set_undefined"": 97}"
D_LLM_GEMMA_27B,gemma-3-27b-it,gemma,real,540,239,24,146,6.0,0,15,0.6689025260453831,0.7333333333333333,5,0.3349376656941109,0.438266458172552,239,0.11069999999999999,0.746,6,1,0.602510460251046,239,0,"{""n_k_zero"": 126, ""o_g0_extensions_intractable"": 95, ""ok"": 239, ""optimal_set_undefined"": 80}"
D_LLM_INSTR,qwen2.5:7b-instruct,qwen2,real,540,283,24,109,3.0,1,17,0.6413982259570494,0.7222222222222222,7,0.429,0.33452400131519583,272,0.15750000000000003,0.791,3,1,0.6713780918727915,283,0,"{""o_g0_extensions_intractable"": 117, ""ok"": 283, ""optimal_set_undefined"": 140}"
D_LLM_SRC,llama3.1:8b,llama,real,540,343,24,160,4.5,1,24,0.6844967532467532,0.8035714285714286,1,0.42400000000000004,0.3853620987122035,343,0.0508,0.492,4,1,0.6151603498542274,343,0,"{""o_g0_extensions_intractable"": 22, ""ok"": 343, ""optimal_set_undefined"": 175}"
D_LLM_SRC_70B,Llama-3.3-70B-Instruct,llama,real,540,368,24,185,7.5,1,17,0.6985125985125985,0.8125,1,0.4447279571933588,0.418326933168332,368,0.074,0.787,6.0,1.0,0.5788043478260869,368,0,"{""o_g0_extensions_intractable"": 6, ""ok"": 368, ""optimal_set_undefined"": 166}"
D_SCRAMBLED,qwen2.5:7b-instruct,qwen2,scrambled,540,223,24,108,4.0,0,13,0.6936866273822796,0.6666666666666666,4,0.4444,0.4000867181759628,223,0.1071,0.873,4,2,0.452914798206278,223,0,"{""n_k_zero"": 10, ""o_g0_extensions_intractable"": 95, ""ok"": 223, ""optimal_set_undefined"": 212}"
D_SCRAMBLED_72B,Qwen2.5-72B-Instruct,qwen2,scrambled,540,249,24,140,4.5,0,19,0.7209278815888049,0.75,4,0.5766295522878997,0.5326308540712877,238,0.0698,0.8,3,1,0.6385542168674698,249,0,"{""n_k_zero"": 10, ""o_g0_extensions_intractable"": 95, ""ok"": 249, ""optimal_set_undefined"": 186}"
