stratification,stratum,predictor,endpoint,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips,r_assumes,status
within_condition,D_LLM,radius,AUC_frac,216,20,540,0,324,0.13564826511690073,0.011671259592367799,-0.17567809946507004,0.3984080462965678,0,0.09327815464880052,0.24031654679618183,Kampen_2014,child,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM,shd_truth,AUC_frac,216,20,540,0,324,0.21815633603116372,2.0121810903081722e-05,-0.03485597759944437,0.48384889850959967,0,0.1601357018714185,0.2778252255708904,Acid_1996,child,False,,ok
within_condition,D_LLM,n_k,AUC_frac,216,20,540,0,324,0.37099030036066555,2.895748083835622e-13,0.07617803325073819,0.6961113823722942,0,0.3077471803184254,0.46381184187282104,Acid_1996,barley,False,,ok
within_condition,D_LLM,k_g0,AUC_frac,216,20,540,0,324,0.23932784860161216,1.9253564557894444e-06,-0.059306223842556696,0.5590153080099216,0,0.1646572647568815,0.33562328549755394,Acid_1996,child,False,,ok
within_condition,D_LLM,k_accuracy,AUC_frac,216,20,540,0,324,0.10246899299724688,0.042564149729635674,-0.21696581479013696,0.4693094415633664,0,0.02150724387731181,0.17579907428971528,Acid_1996,Didelez_2010,False,,ok
within_condition,D_LLM,assert_rate,AUC_frac,216,20,540,0,324,0.032433316053819904,0.5121587084987245,-0.31667866965056307,0.42545667621331507,0,-0.061652622337549146,0.13208445896281953,child,Acid_1996,True,,ok
within_condition,D_LLM,radius,AUC_frac_contra_as_fail,216,20,540,0,324,-0.13427865705513983,0.012543710029910891,-0.3707811973689736,0.20916944724610398,0,-0.19203123308156653,-0.03428186520998221,Acid_1996,paths,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM,shd_truth,AUC_frac_contra_as_fail,216,20,540,0,324,0.11255911584184197,0.02782128190135131,-0.3096604951360451,0.5412671159443605,0,0.04001518804253736,0.30075811777832506,magic-irri,paths,False,,ok
within_condition,D_LLM,n_k,AUC_frac_contra_as_fail,216,20,540,0,324,-0.023384229038690887,0.6454588812511879,-0.44478784569356605,0.48933109537746844,0,-0.12690493266134364,0.11527989105098348,Acid_1996,paths,True,,ok
within_condition,D_LLM,k_g0,AUC_frac_contra_as_fail,216,20,540,0,324,-0.14204010526762348,0.004717792924875242,-0.5425729413637048,0.31094848486067,0,-0.25720971422806976,-0.01817732640401149,Acid_1996,paths,False,,ok
within_condition,D_LLM,k_accuracy,AUC_frac_contra_as_fail,216,20,540,0,324,0.1512173245849,0.0027648607085297536,-0.29552959706075593,0.5756358494501606,0,0.009944665330807914,0.24295457645133173,paths,barley,False,,ok
within_condition,D_LLM,assert_rate,AUC_frac_contra_as_fail,216,20,540,0,324,-0.029299203521532764,0.5537572468827059,-0.40347479373200906,0.3588342400138417,0,-0.1297481270434233,0.06402667194273813,child,Acid_1996,True,,ok
within_condition,D_LLM_32B,radius,AUC_frac,223,18,540,0,317,0.17149180222087948,0.0012980530004608759,-0.005009333537598198,0.44352887687648834,0,0.1200168942633225,0.22922315508525573,Polzer_2012,ecoli70,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM_32B,shd_truth,AUC_frac,223,18,540,0,317,0.025851566406112383,0.6136989885478483,-0.1332588553253404,0.20874034956386528,0,-0.014699841640142444,0.062323256626495724,child,paths,True,,ok
within_condition,D_LLM_32B,n_k,AUC_frac,223,18,540,0,317,0.16020965402519244,0.0012242136975374328,-0.008678535530156392,0.3158388691408554,0,0.12243569628076123,0.20789067337863157,water,paths,False,,ok
within_condition,D_LLM_32B,k_g0,AUC_frac,223,18,540,0,317,0.13407633914617223,0.0063964618191962395,-0.03956947390268815,0.29904808844528513,0,0.09284597053626793,0.17741125966074392,water,paths,False,,ok
within_condition,D_LLM_32B,k_accuracy,AUC_frac,223,18,540,0,317,0.05631559939268737,0.28462136479798805,-0.11352643759686874,0.2161812696682789,0,0.027449793626910596,0.09076785470296563,Polzer_2012,Kampen_2014,False,,ok
within_condition,D_LLM_32B,assert_rate,AUC_frac,223,18,540,0,317,-0.13233958770522938,0.008705434493916175,-0.306269519159464,0.09111266829793552,0,-0.1932925813853968,-0.06432191766357076,Polzer_2012,barley,False,,ok
within_condition,D_LLM_32B,radius,AUC_frac_contra_as_fail,223,18,540,0,317,0.07490302870889204,0.15979768599084532,-0.2659738199751964,0.503699195073678,0,-0.05449866106661225,0.28196525973102055,Polzer_2012,paths,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM_32B,shd_truth,AUC_frac_contra_as_fail,223,18,540,0,317,-0.33372853617698667,6.988849059663675e-11,-0.6117548940821088,0.09739113614404636,0,-0.43107715185566303,-0.20526464957080673,Polzer_2012,paths,False,,ok
within_condition,D_LLM_32B,n_k,AUC_frac_contra_as_fail,223,18,540,0,317,-0.19955917607051896,5.580257501866818e-05,-0.52932491879359,0.1559403447975866,0,-0.36065012325609414,-0.08646906454536991,barley,paths,False,,ok
within_condition,D_LLM_32B,k_g0,AUC_frac_contra_as_fail,223,18,540,0,317,-0.20491643281625044,3.0444535011540968e-05,-0.5220670267654929,0.13752079355200253,0,-0.34417525267704446,-0.10242393850193995,barley,paths,False,,ok
within_condition,D_LLM_32B,k_accuracy,AUC_frac_contra_as_fail,223,18,540,0,317,0.2639356927409223,5.220595592956136e-07,-0.12837976284743963,0.5540334352661239,0,0.11022449488542223,0.36111105232553903,paths,Polzer_2012,False,,ok
within_condition,D_LLM_32B,assert_rate,AUC_frac_contra_as_fail,223,18,540,0,317,-0.23993073468818782,1.9426351115944107e-06,-0.448432227056212,0.09438299584302941,0,-0.3030634808545887,-0.14848839738289338,child,paths,False,,ok
within_condition,D_LLM_72B,radius,AUC_frac,446,22,540,0,94,0.30998819604722483,1.2339090871459686e-16,0.0486301291656761,0.4825645611416073,0,0.195889631561748,0.37418893245935936,insurance,barley,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM_72B,shd_truth,AUC_frac,446,22,540,0,94,0.11698536227062419,0.0006543037168100566,-0.07336570824877739,0.3414806550822857,0,0.061013119914881515,0.2168037470842952,Polzer_2012,insurance,False,,ok
within_condition,D_LLM_72B,n_k,AUC_frac,446,22,540,0,94,0.22358487274923905,2.4894662329704394e-10,0.03466726000792104,0.4158540847719428,0,0.18254033942777903,0.27292316851886306,diabetes,Polzer_2012,False,,ok
within_condition,D_LLM_72B,k_g0,AUC_frac,446,22,540,0,94,0.19857498806132678,1.0308839252966676e-08,-0.010289183625331261,0.3533955118557164,0,0.156027849811046,0.2283938094997923,diabetes,sachs,False,,ok
within_condition,D_LLM_72B,k_accuracy,AUC_frac,446,22,540,0,94,-0.05343128387936224,0.11615535595525979,-0.30404253902643724,0.1473994182269305,0,-0.1561219416556802,-0.0029065733259713033,insurance,diabetes,False,,ok
within_condition,D_LLM_72B,assert_rate,AUC_frac,446,22,540,0,94,-0.05371726646940274,0.12428944749382365,-0.2693723283257738,0.15920095478294718,0,-0.13205338749514814,-0.010533803863823807,barley,Polzer_2012,False,,ok
within_condition,D_LLM_72B,radius,AUC_frac_contra_as_fail,446,22,540,0,94,-0.18762774596148354,5.431333693822674e-07,-0.339686228630365,0.13035034317885172,0,-0.21726321568989376,-0.10723148239213215,Polzer_2012,diabetes,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",ok
within_condition,D_LLM_72B,shd_truth,AUC_frac_contra_as_fail,446,22,540,0,94,0.3789933404962468,2.4933274702237384e-28,-0.19713823772370914,0.6402422463031238,0,0.18973159592989167,0.47559057054695797,diabetes,paths,False,,ok
within_condition,D_LLM_72B,n_k,AUC_frac_contra_as_fail,446,22,540,0,94,-0.24077856922577448,9.578491561543091e-12,-0.6405971433027239,0.36076100892065527,0,-0.5131539159973594,-0.01870180778247441,diabetes,insurance,False,,ok
within_condition,D_LLM_72B,k_g0,AUC_frac_contra_as_fail,446,22,540,0,94,-0.19015428879584814,4.216429696988466e-08,-0.523649466343091,0.41428044708333905,0,-0.3648361533342567,0.11882952042305023,diabetes,insurance,True,,ok
within_condition,D_LLM_72B,k_accuracy,AUC_frac_contra_as_fail,446,22,540,0,94,-0.38206603604744277,2.8424626891925723e-29,-0.6497788164366388,0.1451506913150004,0,-0.5010826519158001,-0.22763854287462687,paths,diabetes,False,,ok
