arm,status,in_balanced_panel,network,x,y,radius,r_status,shd_truth,n_k,k_g0,AUC_frac,AUC_frac_usable,endpoint_gap,AUC_frac_contra_as_fail,endpoint_contra_gap,n_grid_points_S_defined,contradiction_rate_at_d1,median_contradiction_rate,n_grid_points,n_grid_points_usable,n_grid_points_censored,endpoint_censored,min_n_eval,median_n_eval,separation,separation_status,largest_component_size,component_size,dispatch_leg,gate,assumes,shard_id,frame_row_id,condition,model,family,naming,elicit_arm,n_asked,n_asserted,assert_rate,k_accuracy,n_k_correct,n_k_wrong,n_declined,n_parse_fail,n_not_reached,n_off_skeleton,k_source,radius_committed_programmatic_k
llm,n_k_zero,False,Acid_1996,x4,x10,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,bfda8d867f276ef9,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x11,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,6452110315a85e00,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x12,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,e15536e68a58aeb2,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x13,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,2d2f7a04bd2a7102,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x15,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,1a9fb26cde2ba1f0,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x17,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,7ec1805904350188,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x18,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,4677b162733a7729,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x5,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,1d3b54df6c4d3b94,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x7,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,7a02b4ec2b626b8b,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
llm,n_k_zero,False,Acid_1996,x4,x9,,,,0,,,,,,,0,,,0,0,0,False,,,,no_z_member_in_component,2,2,,fast_gate,,llm__D_LLM_32B__Acid_1996,9569d3cd94e48936,D_LLM_32B,Qwen2.5-32B-Instruct,qwen2,real,deployment,1,0,0.0,,0,0,1,0,0,0,knowledge.json,1
