instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.774,0.774
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,2,323,677,0.0,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,1000,,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.68,0.68
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,2,339,661,0.0,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.64,0.64
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,2,325,675,0.0,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.749,0.749
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,2,330,670,0.5575757575757576,0.184
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,1000,,0.0
c06_s01_cov050_seed00000004_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.508,0.508
c06_s01_cov050_seed00000004_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,1,654,346,0.5091743119266054,0.333
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,2,678,322,0.0,0.0
c06_s01_cov050_seed00000005_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.495,0.495
c06_s01_cov050_seed00000006_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,1,509,491,0.0,0.0
c06_s01_cov050_seed00000007_bw000,flip,fast_gate,6,1,0.5,0.0,,2,1000,0,0.0,0.0
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.528,0.528
c06_s01_cov050_seed00000008_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,1,649,351,0.5238828967642527,0.34
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,2,651,349,0.4915514592933948,0.32
c06_s01_cov050_seed00000009_bw000,flip,fast_gate,6,1,0.5,0.0,,3,1000,0,0.0,0.0
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,1,750,250,0.6693333333333333,0.502
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,2,506,494,0.33992094861660077,0.172
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,3,241,759,0.0,0.0
c06_s01_cov050_seed00000010_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,1000,,0.0
c06_s01_cov050_seed00000011_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.647,0.647
c06_s01_cov050_seed00000011_bw000,flip,fast_gate,6,1,0.5,0.0,,2,0,1000,,0.0
c06_s01_cov050_seed00000011_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000012_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.746,0.746
c06_s01_cov050_seed00000012_bw000,flip,fast_gate,6,1,0.5,0.0,,2,324,676,0.5216049382716049,0.169
c06_s01_cov050_seed00000012_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
