instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,1,669,331,0.8011958146487295,0.536
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,2,220,780,0.6454545454545455,0.142
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,3,65,935,0.6615384615384615,0.043
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000000_bw000,flip,fast_gate,12,1,0.5,0.0,,8,0,1000,,0.0
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,1,855,145,0.7684210526315789,0.657
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,2,150,850,0.47333333333333333,0.071
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,3,61,939,0.0,0.0
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000001_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,1,851,149,0.8413631022326674,0.716
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,2,203,797,0.5073891625615764,0.103
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,3,31,969,0.0,0.0
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000002_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,1,612,388,0.7941176470588235,0.486
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,2,345,655,0.6753623188405797,0.233
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,3,117,883,0.5042735042735043,0.059
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,4,31,969,0.0,0.0
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000003_bw000,flip,fast_gate,12,1,0.5,0.0,,8,0,1000,,0.0
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,1,505,495,0.6772277227722773,0.342
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,2,53,947,0.0,0.0
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,3,96,904,0.0,0.0
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,4,52,948,0.0,0.0
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000004_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,1,568,432,0.727112676056338,0.413
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,2,310,690,0.3161290322580645,0.098
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,3,33,967,0.0,0.0
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000005_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,1,691,309,0.7655571635311144,0.529
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,2,313,687,0.8115015974440895,0.254
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,3,105,895,1.0,0.105
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000006_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,1,489,511,0.6952965235173824,0.34
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,2,188,812,0.0,0.0
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,3,58,942,0.0,0.0
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000007_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,1,363,637,0.6528925619834711,0.237
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,2,258,742,0.7751937984496124,0.2
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,3,108,892,1.0,0.108
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,4,24,976,1.0,0.024
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000008_bw000,flip,fast_gate,12,1,0.5,0.0,,8,0,1000,,0.0
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,1,413,587,0.7094430992736077,0.293
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,2,130,870,0.6692307692307692,0.087
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,3,115,885,0.4608695652173913,0.053
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,4,103,897,0.30097087378640774,0.031
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,5,45,955,0.0,0.0
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000009_bw000,flip,fast_gate,12,1,0.5,0.0,,7,0,1000,,0.0
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,1,825,175,0.8012121212121213,0.661
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,2,208,792,0.3557692307692308,0.074
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,3,58,942,0.0,0.0
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,5,0,1000,,0.0
c12_s01_cov050_seed00000010_bw000,flip,fast_gate,12,1,0.5,0.0,,6,0,1000,,0.0
c12_s01_cov050_seed00000011_bw000,flip,fast_gate,12,1,0.5,0.0,,1,1000,0,0.863,0.863
c12_s01_cov050_seed00000011_bw000,flip,fast_gate,12,1,0.5,0.0,,2,91,909,1.0,0.091
c12_s01_cov050_seed00000011_bw000,flip,fast_gate,12,1,0.5,0.0,,3,0,1000,,0.0
c12_s01_cov050_seed00000011_bw000,flip,fast_gate,12,1,0.5,0.0,,4,0,1000,,0.0
