instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,1,278,722,0.4676258992805755,0.13
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,2,234,766,0.6452991452991453,0.151
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,3,86,914,0.4069767441860465,0.035
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,4,30,970,0.0,0.0
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,5,0,1000,,0.0
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,6,0,1000,,0.0
c12_s01_cov050_seed00000005_bw025,flip,fast_gate,12,1,0.5,0.25,,7,0,1000,,0.0
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,1,179,821,1.0,0.179
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,2,195,805,0.676923076923077,0.132
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,3,163,837,0.3006134969325153,0.049
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,4,0,1000,,0.0
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,5,0,1000,,0.0
c12_s01_cov050_seed00000007_bw025,flip,fast_gate,12,1,0.5,0.25,,6,0,1000,,0.0
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,1,500,500,1.0,0.5
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,2,259,741,1.0,0.259
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,3,94,906,0.7340425531914894,0.069
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,4,31,969,0.0,0.0
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,5,0,1000,,0.0
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,6,0,1000,,0.0
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,7,0,1000,,0.0
c12_s01_cov050_seed00000008_bw025,flip,fast_gate,12,1,0.5,0.25,,8,0,1000,,0.0
c12_s01_cov050_seed00000018_bw025,flip,fast_gate,12,1,0.5,0.25,,1,432,568,0.6319444444444444,0.273
c12_s01_cov050_seed00000018_bw025,flip,fast_gate,12,1,0.5,0.25,,2,282,718,0.6453900709219859,0.182
c12_s01_cov050_seed00000018_bw025,flip,fast_gate,12,1,0.5,0.25,,3,154,846,0.2012987012987013,0.031
c12_s01_cov050_seed00000018_bw025,flip,fast_gate,12,1,0.5,0.25,,4,0,1000,,0.0
