instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2794,0,0.9269863994273443,0.9269863994273443
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2360,514,0.7898305084745763,0.6485734168406402
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1520,1300,0.42039473684210527,0.22659574468085106
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,3,602,742,0.15780730897009967,0.07068452380952381
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,4,107,657,0.0,0.0
c06_s01_cov100_seed00000002_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,404,,0.0
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4879,0,0.7702398032383685,0.7702398032383685
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2981,0,0.7463938275746393,0.7463938275746393
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,2,960,860,0.7302083333333333,0.3851648351648352
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,3,152,810,0.7763157894736842,0.12266112266112267
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,330,,0.0
c06_s01_cov100_seed00000011_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,28,,0.0
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,0,2779,0,0.9373875494782296,0.9373875494782296
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,1,1471,0,0.9687287559483345,0.9687287559483345
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,2,1191,1728,0.17296389588581024,0.07057211373758136
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,3,819,1473,0.0,0.0
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,4,134,1018,0.0,0.0
c06_s01_cov100_seed00000019_tiered_nt2,tiered,fast_gate,6,1,,,2,5,0,387,,0.0
c06_s01_cov100_seed00000021_tiered_nt2,tiered,fast_gate,6,1,,,2,0,3501,0,0.8897457869180234,0.8897457869180234
c06_s01_cov100_seed00000021_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2705,703,0.6354898336414048,0.5044014084507042
c06_s01_cov100_seed00000021_tiered_nt2,tiered,fast_gate,6,1,,,2,2,757,1809,0.24966974900924702,0.07365549493374902
c06_s01_cov100_seed00000021_tiered_nt2,tiered,fast_gate,6,1,,,2,3,95,1042,0.0,0.0
c06_s01_cov100_seed00000021_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,388,,0.0
c06_s01_cov100_seed00000023_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4919,0,0.7731246188249644,0.7731246188249644
c06_s01_cov100_seed00000023_tiered_nt2,tiered,fast_gate,6,1,,,2,1,2689,0,0.7363332093715136,0.7363332093715136
c06_s01_cov100_seed00000023_tiered_nt2,tiered,fast_gate,6,1,,,2,2,789,1270,0.7249683143219265,0.277804759592035
c06_s01_cov100_seed00000023_tiered_nt2,tiered,fast_gate,6,1,,,2,3,117,1002,0.7008547008547008,0.07327971403038427
c06_s01_cov100_seed00000023_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,214,,0.0
c06_s01_cov100_seed00000024_tiered_nt2,tiered,fast_gate,6,1,,,2,0,4933,0,0.7739712142712345,0.7739712142712345
c06_s01_cov100_seed00000024_tiered_nt2,tiered,fast_gate,6,1,,,2,1,3035,0,0.7657331136738056,0.7657331136738056
c06_s01_cov100_seed00000024_tiered_nt2,tiered,fast_gate,6,1,,,2,2,409,1622,0.7017114914425427,0.1413096996553422
c06_s01_cov100_seed00000024_tiered_nt2,tiered,fast_gate,6,1,,,2,3,0,872,,0.0
c06_s01_cov100_seed00000024_tiered_nt2,tiered,fast_gate,6,1,,,2,4,0,129,,0.0
