instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov100_seed00000002_tiered_nt2,c06_s01_cov100_seed00000002,tiered,fast_gate,6,1,measured,,,2,2,X,Y,2,3,3,3,0.6666666666666666,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->C04 X->Y C00-C03 C00-C05 C00-X C02-X,0.000586208000000088,0.0,0.000586208000000088,,1,3,2,0,0.7064309551753887,2.2950189537141257,6,1
c06_s01_cov100_seed00000011_tiered_nt2,c06_s01_cov100_seed00000011,tiered,fast_gate,6,1,measured,,,2,11,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y C02->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.0005518750000002015,0.0,0.0005518750000002015,,1,4,3,0,0.7558915616282385,3.0231577536200254,6,2
c06_s01_cov100_seed00000019_tiered_nt2,c06_s01_cov100_seed00000019,tiered,fast_gate,6,1,measured,,,2,19,X,Y,1,3,3,3,0.6666666666666666,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C03 X->Y C00-C04 C00-C05 C00-X C02-C03,0.00047670799999988134,0.0,0.00047670799999988134,,1,3,2,0,0.9530581527132819,2.079080201312374,6,1
c06_s01_cov100_seed00000021_tiered_nt2,c06_s01_cov100_seed00000021,tiered,fast_gate,6,1,measured,,,2,21,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 W->Y X->C04 X->Y C00-C02 C00-C05 C00-X,0.00023812499999920078,0.0,0.00023812499999920078,,1,3,3,0,0.5705949989070812,1.7749053695686752,5,1
c06_s01_cov100_seed00000023_tiered_nt2,c06_s01_cov100_seed00000023,tiered,fast_gate,6,1,measured,,,2,23,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.000558040999999676,0.0,0.000558040999999676,,1,4,4,0,0.7224114783952575,2.9352808433731052,5,1
c06_s01_cov100_seed00000024_tiered_nt2,c06_s01_cov100_seed00000024,tiered,fast_gate,6,1,measured,,,2,24,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C02->C05 W->Y X->Y C00-C02 C00-C03 C00-X,0.0004709170000012364,0.0,0.0004709170000012364,,1,3,3,0,0.7345461126179171,2.2414158193875826,5,2
c06_s01_cov100_seed00000030_tiered_nt2,c06_s01_cov100_seed00000030,tiered,fast_gate,6,1,measured,,,2,30,X,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C03 C02->C04 W->Y X->Y C00-C02 C00-C05 C00-X,0.00020970799999986411,0.0,0.00020970799999986411,,1,4,4,0,0.779678040919199,3.0969132146506677,5,1
c06_s01_cov100_seed00000036_tiered_nt2,c06_s01_cov100_seed00000036,tiered,fast_gate,6,1,measured,,,2,36,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C05 C03->C04 W->Y X->Y C00-C02 C00-C03 C00-X,0.00026141600000073595,0.0,0.00026141600000073595,,1,3,4,0,0.7072984878200721,2.1881898521873846,5,2
c06_s01_cov100_seed00000040_tiered_nt2,c06_s01_cov100_seed00000040,tiered,fast_gate,6,1,measured,,,2,40,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 W->Y X->C02 X->Y C00-C04 C00-C05 C00-X,0.00022408299999909786,0.0,0.00022408299999909786,,1,3,2,0,0.7866294244970714,1.8246874204227144,6,2
c06_s01_cov100_seed00000047_tiered_nt2,c06_s01_cov100_seed00000047,tiered,fast_gate,6,1,measured,,,2,47,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 W->Y X->Y C00-C02 C00-C04 C00-X,0.00024233399999928906,0.0,0.00024233399999928906,,1,3,3,0,0.731133468800654,2.2306077016941264,5,2
