instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.774,0.774
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,2,323,677,0.0,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000000_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,1000,,0.0
c06_s01_cov050_seed00000000_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.759,0.759
c06_s01_cov050_seed00000000_bw010,flip,fast_gate,6,1,0.5,0.1,,2,329,671,0.0,0.0
c06_s01_cov050_seed00000000_bw010,flip,fast_gate,6,1,0.5,0.1,,3,0,1000,,0.0
c06_s01_cov050_seed00000000_bw010,flip,fast_gate,6,1,0.5,0.1,,4,0,1000,,0.0
c06_s01_cov050_seed00000000_bw025,flip,fast_gate,6,1,0.5,0.25,,1,531,469,0.5009416195856874,0.266
c06_s01_cov050_seed00000000_bw025,flip,fast_gate,6,1,0.5,0.25,,2,494,506,0.7246963562753036,0.358
c06_s01_cov050_seed00000000_bw025,flip,fast_gate,6,1,0.5,0.25,,3,242,758,0.0,0.0
c06_s01_cov050_seed00000000_bw025,flip,fast_gate,6,1,0.5,0.25,,4,0,1000,,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.68,0.68
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,2,339,661,0.0,0.0
c06_s01_cov050_seed00000001_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000001_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.689,0.689
c06_s01_cov050_seed00000001_bw010,flip,fast_gate,6,1,0.5,0.1,,2,330,670,0.0,0.0
c06_s01_cov050_seed00000001_bw010,flip,fast_gate,6,1,0.5,0.1,,3,0,1000,,0.0
c06_s01_cov050_seed00000001_bw025,flip,fast_gate,6,1,0.5,0.25,,1,353,647,1.0,0.353
c06_s01_cov050_seed00000001_bw025,flip,fast_gate,6,1,0.5,0.25,,2,664,336,0.5015060240963856,0.333
c06_s01_cov050_seed00000001_bw025,flip,fast_gate,6,1,0.5,0.25,,3,1000,0,0.0,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.64,0.64
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,2,325,675,0.0,0.0
c06_s01_cov050_seed00000002_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000002_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.647,0.647
c06_s01_cov050_seed00000002_bw010,flip,fast_gate,6,1,0.5,0.1,,2,299,701,0.0,0.0
c06_s01_cov050_seed00000002_bw010,flip,fast_gate,6,1,0.5,0.1,,3,0,1000,,0.0
c06_s01_cov050_seed00000002_bw025,flip,fast_gate,6,1,0.5,0.25,,1,659,341,0.0,0.0
c06_s01_cov050_seed00000002_bw025,flip,fast_gate,6,1,0.5,0.25,,2,659,341,0.0,0.0
c06_s01_cov050_seed00000002_bw025,flip,fast_gate,6,1,0.5,0.25,,3,0,1000,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,1,1000,0,0.749,0.749
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,2,330,670,0.5575757575757576,0.184
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,3,0,1000,,0.0
c06_s01_cov050_seed00000003_bw000,flip,fast_gate,6,1,0.5,0.0,,4,0,1000,,0.0
c06_s01_cov050_seed00000003_bw010,flip,fast_gate,6,1,0.5,0.1,,1,1000,0,0.77,0.77
c06_s01_cov050_seed00000003_bw010,flip,fast_gate,6,1,0.5,0.1,,2,319,681,0.5611285266457681,0.179
c06_s01_cov050_seed00000003_bw010,flip,fast_gate,6,1,0.5,0.1,,3,0,1000,,0.0
c06_s01_cov050_seed00000003_bw010,flip,fast_gate,6,1,0.5,0.1,,4,0,1000,,0.0
