stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,seed,degeneracy_note
flip_cov0.5_bw0.0,flip,r_val,separation,AUC_common,ok,480,480,0,480,0.6811177652601165,0.6591577493176421,0.02196001594247432,0.015595349891219967,0.02901197338904667,1.0,2000,0,
flip_cov0.5_bw0.0,flip,r_val,neg_phi_1,AUC_common,ok,480,480,0,480,0.6811177652601165,0.8951806522196458,-0.21406288695952935,-0.2493291470251039,-0.18050751120214925,0.0,2000,0,
flip_cov0.5_bw0.0,flip,r_val,n_k,AUC_common,ok,480,480,0,480,0.6811177652601165,-0.10585486432440022,0.7869726295845167,0.710008840944317,0.8610226447591547,1.0,2000,0,
flip_cov0.5_bw0.0,flip,r_val,shd_truth,AUC_common,ok,480,480,0,480,0.6811177652601165,0.3943747051463066,0.28674306011380984,0.23288637963156741,0.34549829921580083,1.0,2000,0,
flip_cov0.5_bw0.1,flip,r_val,separation,AUC_common,ok,480,480,0,480,0.6621151952495175,0.5887084285252416,0.07340676672427582,0.05973010453520956,0.08947544829369575,1.0,2000,0,
flip_cov0.5_bw0.1,flip,r_val,neg_phi_1,AUC_common,ok,480,480,0,480,0.6621151952495175,0.8925449082804067,-0.23042971303088922,-0.2761545070119761,-0.1886434237159089,0.0,2000,0,
flip_cov0.5_bw0.1,flip,r_val,n_k,AUC_common,ok,480,480,0,480,0.6621151952495175,-0.018529347841838413,0.6806445430913559,0.6002340958836748,0.7595964375237139,1.0,2000,0,
flip_cov0.5_bw0.1,flip,r_val,shd_truth,AUC_common,ok,480,480,0,480,0.6621151952495175,0.2933238135371308,0.3687913817123867,0.2972007961240472,0.4439431381502631,1.0,2000,0,
flip_cov0.5_bw0.25,flip,r_val,separation,AUC_common,ok,476,476,0,476,0.5889028541197888,0.44556045717255416,0.14334239694723466,0.12425665609272285,0.16329163185497458,1.0,2000,0,
flip_cov0.5_bw0.25,flip,r_val,neg_phi_1,AUC_common,ok,476,476,0,476,0.5889028541197888,0.9520995325380074,-0.36319667841821857,-0.41882687894187465,-0.316628313601361,0.0,2000,0,
flip_cov0.5_bw0.25,flip,r_val,n_k,AUC_common,ok,476,476,0,476,0.5889028541197888,0.03723122763265128,0.5516716264871375,0.4660304696886153,0.6370178065713408,1.0,2000,0,
flip_cov0.5_bw0.25,flip,r_val,shd_truth,AUC_common,ok,476,476,0,476,0.5889028541197888,0.12035741834888546,0.46854543577090335,0.3992583771560776,0.5411189505554501,1.0,2000,0,
flip_cov1.0_bw0.0,flip,r_val,separation,AUC_common,ok,480,480,0,480,0.6591268114172386,0.6591268114172386,0.0,0.0,0.0,0.0,2000,0,"r_val == separation exactly on every row: the generator draws instances at target separations, so a zero delta is an identity, not a null result."
flip_cov1.0_bw0.0,flip,r_val,neg_phi_1,AUC_common,ok,480,480,0,480,0.6591268114172386,0.8467617947907298,-0.18763498337349116,-0.2317800368638694,-0.14411403604868314,0.0,2000,0,
flip_cov1.0_bw0.0,flip,r_val,n_k,AUC_common,ok,480,480,0,480,0.6591268114172386,-0.1470126587686298,0.8061394701858684,0.7343935188980825,0.8789593831127802,1.0,2000,0,
flip_cov1.0_bw0.0,flip,r_val,shd_truth,AUC_common,undefined (predictor or endpoint constant on matched sample),480,480,0,480,0.6591268114172386,,,,,,2000,0,
flip_cov1.0_bw0.1,flip,r_val,separation,AUC_common,ok,480,480,0,480,0.7008612094274537,0.6668379593199123,0.03402325010754137,0.021596135114567434,0.04612322953962453,1.0,2000,0,
flip_cov1.0_bw0.1,flip,r_val,neg_phi_1,AUC_common,ok,480,480,0,480,0.7008612094274537,0.6887987938813299,0.01206241554612375,-0.03971431825829064,0.06027098342318529,0.6705,2000,0,
flip_cov1.0_bw0.1,flip,r_val,n_k,AUC_common,ok,480,480,0,480,0.7008612094274537,-0.09961537129241559,0.8004765807198693,0.7262371885499759,0.875625838895413,1.0,2000,0,
flip_cov1.0_bw0.1,flip,r_val,shd_truth,AUC_common,ok,480,480,0,480,0.7008612094274537,-0.08187545207527741,0.7827366615027311,0.6974595993111333,0.862275305902618,1.0,2000,0,
flip_cov1.0_bw0.25,flip,r_val,separation,AUC_common,ok,334,334,0,334,0.742402338222812,0.5396705359776924,0.20273180224511955,0.15676586255477568,0.252161162485863,1.0,2000,0,
flip_cov1.0_bw0.25,flip,r_val,neg_phi_1,AUC_common,ok,334,334,0,334,0.742402338222812,0.5453434756265678,0.19705886259624417,0.14417212487791678,0.2530977533487573,1.0,2000,0,
flip_cov1.0_bw0.25,flip,r_val,n_k,AUC_common,ok,334,334,0,334,0.742402338222812,0.09036185132952261,0.6520404868932894,0.5643420785525792,0.7491326388390951,1.0,2000,0,
flip_cov1.0_bw0.25,flip,r_val,shd_truth,AUC_common,ok,334,334,0,334,0.742402338222812,0.08358927247616764,0.6588130657466443,0.5631559719891404,0.7615036924843092,1.0,2000,0,
tiered_nt2,tiered,r_val,separation,AUC_common,ok,414,414,0,414,0.824692049519746,0.7373566389665535,0.0873354105531925,0.05787609577418697,0.11753718756022125,1.0,2000,0,
tiered_nt2,tiered,r_val,neg_phi_1,AUC_common,ok,414,414,0,414,0.824692049519746,-0.5730900776363755,1.3977821271561215,1.353709017993626,1.4438265103098826,1.0,2000,0,
tiered_nt2,tiered,r_val,n_k,AUC_common,ok,414,414,0,414,0.824692049519746,-0.5730900776363755,1.3977821271561215,1.353709017993626,1.4438265103098826,1.0,2000,0,
tiered_nt2,tiered,r_val,shd_truth,AUC_common,ok,414,414,0,414,0.824692049519746,0.2912545061563635,0.5334375433633824,0.4737168194321702,0.591082799228681,1.0,2000,0,
tiered_nt3,tiered,r_val,separation,AUC_common,ok,480,480,0,480,0.8048493874733275,0.8234017111829756,-0.0185523237096481,-0.03182374159218425,-0.006901990678061491,0.0015,2000,0,
tiered_nt3,tiered,r_val,neg_phi_1,AUC_common,ok,480,480,0,480,0.8048493874733275,0.56351225944442,0.2413371280289075,0.2095247036425967,0.27447671573951976,1.0,2000,0,
tiered_nt3,tiered,r_val,n_k,AUC_common,ok,480,480,0,480,0.8048493874733275,-0.4317674974672484,1.2366168849405759,1.1727678180335595,1.2950822598082772,1.0,2000,0,
