stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,seed,degeneracy_note
flip_cov0.5_bw0.0,flip,r_val,separation,AUC_frac,ok,187,187,0,187,1.0,0.86421141883017,0.13578858116982995,0.10677089973639105,0.16888033050480525,1.0,10000,0,r_val outranks separation among discordant instances
flip_cov0.5_bw0.1,flip,r_val,separation,AUC_frac,ok,262,262,0,262,0.025740699246967803,0.26481200065567795,-0.23907130140871014,-0.33713902852291844,-0.14436203921543714,0.0,10000,0,separation outranks r_val among discordant instances
flip_cov0.5_bw0.25,flip,r_val,separation,AUC_frac,ok,396,396,0,396,-0.38369896213359217,-0.2368925366924664,-0.14680642544112577,-0.23732913104233352,-0.05576855745655445,0.0008,10000,0,separation outranks r_val among discordant instances
flip_cov1.0_bw0.1,flip,r_val,separation,AUC_frac,ok,308,308,0,308,0.5071700559448703,0.519450356786753,-0.012280300841882696,-0.040097065425149986,0.015592130449282872,0.1961,10000,0,
flip_cov1.0_bw0.25,flip,r_val,separation,AUC_frac,ok,254,254,0,254,0.12312604387995373,0.19958783946690992,-0.07646179558695619,-0.14384440112803892,-0.011255160051517388,0.012,10000,0,separation outranks r_val among discordant instances
tiered_nt2,tiered,r_val,separation,AUC_frac,ok,320,320,0,320,0.8084987752530973,0.7050745398883781,0.10342423536471923,0.0633680984888353,0.14533607589016073,1.0,10000,0,r_val outranks separation among discordant instances
tiered_nt3,tiered,r_val,separation,AUC_frac,ok,320,320,0,320,0.7341885974812639,0.7652698229129723,-0.031081225431708437,-0.05771060200879112,-0.005545018363669325,0.0081,10000,0,separation outranks r_val among discordant instances
tiered_nt4,tiered,r_val,separation,AUC_frac,ok,240,240,0,240,0.611229605002944,0.6179191065419896,-0.0066895015390455725,-0.021738273239139665,0.008567962831826247,0.1926,10000,0,
flip_POOLED,flip,r_val,separation,AUC_frac,ok,1407,1407,0,1407,0.22184402630088887,0.28928122041379284,-0.06743719411290397,-0.09774691283820149,-0.03780474906430852,0.0,10000,0,separation outranks r_val among discordant instances
tiered_POOLED,tiered,r_val,separation,AUC_frac,ok,880,880,0,880,0.739266804547904,0.5870403178308463,0.15222648671705774,0.13220303288181395,0.17263110943685,1.0,10000,0,r_val outranks separation among discordant instances
