stratum,arm,stratum_n,n,n_excluded,status,n_boot,seed,strict_n_pairs,strict_frac_agree_r,strict_frac_agree_r_ci_lo,strict_frac_agree_r_ci_hi,strict_frac_agree_sep,strict_frac_agree_sep_ci_lo,strict_frac_agree_sep_ci_hi,strict_frac_neither,any_n_pairs,any_frac_agree_r,any_frac_agree_r_ci_lo,any_frac_agree_r_ci_hi,any_frac_agree_sep,any_frac_agree_sep_ci_lo,any_frac_agree_sep_ci_hi,any_frac_neither
flip_cov0.5_bw0.0,flip,480,480,0,ok,2000,0,8120,0.8472906403940886,0.774876330838064,0.9118849582654623,0.15270935960591134,0.08811504173453766,0.22512366916193594,0.0,18691,0.46942378684928576,0.4095238861504251,0.526883746168424,0.08185757851372318,0.04520261154678497,0.12165449804449875,0.4487186346369911
flip_cov0.5_bw0.1,flip,480,480,0,ok,2000,0,7798,0.5896383688125161,0.48639056220625615,0.6910901469857952,0.410361631187484,0.3089098530142048,0.5136094377937439,0.0,26278,0.3482000152218586,0.2973626993678394,0.3974985523312315,0.17668772357104803,0.13966774943944948,0.21459136828543135,0.4751122612070934
flip_cov0.5_bw0.25,flip,476,476,0,ok,2000,0,10613,0.35663808536700276,0.26264527997935355,0.4513184971040005,0.6433619146329973,0.5486815028959995,0.7373547200206463,0.0,40589,0.2477025795166178,0.20345771798083706,0.2943160120510474,0.29584370149547906,0.2510270070124275,0.3408195975447194,0.4564537189879031
flip_cov1.0_bw0.0,flip,480,480,0,ok,2000,0,0,,,,,,,,0,,,,,,,
flip_cov1.0_bw0.1,flip,480,480,0,ok,2000,0,1599,0.41025641025641024,0.2787371776469903,0.5458165084547666,0.5647279549718575,0.43036374800782745,0.6998002715085693,0.025015634771732333,14827,0.4435826532676873,0.3859901439344618,0.49966449574298766,0.21588993053213731,0.17218883281113181,0.2635942873672574,0.34052741620017535
flip_cov1.0_bw0.25,flip,334,334,0,ok,2000,0,3076,0.3784135240572172,0.2746932241281531,0.48181198078127363,0.6215864759427828,0.518188019218726,0.725306775871847,0.0,16709,0.3777006403734514,0.3212580611025146,0.4392315149497975,0.3164163025914178,0.26628614655722604,0.3676529795453707,0.30588305703513075
tiered_nt2,tiered,414,414,0,ok,2000,0,1512,0.8154761904761905,0.6643734448631219,0.9406042831751911,0.18452380952380953,0.059395716824808875,0.33562655513687806,0.0,12828,0.283910196445276,0.23205727149273808,0.33630489368629474,0.34424695977549113,0.2877714834093762,0.4043457297134136,0.37184284377923293
tiered_nt3,tiered,480,480,0,ok,2000,0,870,0.30919540229885056,0.15786150983519404,0.48140687174778085,0.6908045977011494,0.5185931282522191,0.8421384901648057,0.0,6253,0.2336478490324644,0.18289839595445762,0.28009487798634075,0.4724132416440109,0.4108021553406579,0.5406293382277259,0.29393890932352473
tiered_nt4,tiered,480,480,0,ok,2000,0,960,0.125,0.0,0.2777777777777778,0.875,0.7222222222222222,1.0,0.0,6144,0.16097005208333334,0.10499658513955826,0.21716516382017928,0.54931640625,0.4823439902908742,0.6207487695375132,0.2897135416666667
flip_POOLED,flip,2730,2730,0,ok,2000,0,269618,0.5506531463032883,0.521340744685187,0.5797177172038857,0.4126208190847792,0.3845527097041718,0.4410946997329019,0.03672603461193244,903246,0.41791826368453333,0.4015425160372446,0.4340843905990822,0.2597144078135967,0.24540610497980067,0.2751438074245846,0.32236732850186994
tiered_POOLED,tiered,1374,1374,0,ok,2000,0,26316,0.7435020519835841,0.6975494437383506,0.7868569107061889,0.24616203070375436,0.2011952650368504,0.2910937720121137,0.0103359173126615,138289,0.42309221991626234,0.39896299819328634,0.4466999461233401,0.28879375799955165,0.26376553035913813,0.31543165947472335,0.288114022084186
