stratum,arm,predictor,endpoint,stratum_n,n,n_excluded,tau_b,ci_lo_2p5,ci_hi_97p5,n_boot,seed,status
flip_cov0.5_bw0.0,flip,r_val,AUC_frac,480,480,0,0.6135336154814215,0.5388062088092074,0.6846713215526786,10000,0,ok
flip_cov0.5_bw0.0,flip,shd_truth,AUC_frac,480,480,0,0.2296133572215578,0.16013360705606092,0.2981209841760809,10000,0,ok
flip_cov0.5_bw0.0,flip,n_k,AUC_frac,480,480,0,0.25826831138419415,0.17629508645577222,0.3386474547207561,10000,0,ok
flip_cov0.5_bw0.0,flip,k_g0,AUC_frac,480,480,0,0.08876670994329884,0.013005087136498984,0.16313527231055192,10000,0,ok
flip_cov0.5_bw0.0,flip,separation,AUC_frac,480,480,0,0.46057317146751914,0.39247009171473923,0.5259642101675551,10000,0,ok
flip_cov0.5_bw0.0,flip,neg_phi_1,AUC_frac,480,480,0,0.37851176348088633,0.30261537147646667,0.44860221844061066,10000,0,ok
flip_cov0.5_bw0.0,flip,r_claim,AUC_frac,480,240,240,0.3694614500490676,0.27280684196264077,0.46344283873717795,10000,0,ok
flip_cov0.5_bw0.1,flip,r_val,AUC_frac,480,480,0,0.32837606536161185,0.24348988157894033,0.41218968224532354,10000,0,ok
flip_cov0.5_bw0.1,flip,shd_truth,AUC_frac,480,480,0,-0.009287322407708338,-0.08534626159112961,0.06575942732121026,10000,0,ok
flip_cov0.5_bw0.1,flip,n_k,AUC_frac,480,480,0,-0.05630882701259604,-0.12882246706992717,0.014728871163592856,10000,0,ok
flip_cov0.5_bw0.1,flip,k_g0,AUC_frac,480,480,0,-0.11518054287369298,-0.17551176057706308,-0.05402048378323619,10000,0,ok
flip_cov0.5_bw0.1,flip,separation,AUC_frac,480,480,0,0.245212360971122,0.16418341469990125,0.32102028766592305,10000,0,ok
flip_cov0.5_bw0.1,flip,neg_phi_1,AUC_frac,480,480,0,0.3457137957508384,0.25701955019343015,0.42823547690409125,10000,0,ok
flip_cov0.5_bw0.1,flip,r_claim,AUC_frac,480,240,240,0.37023801329830675,0.2706743024439613,0.46583746735597953,10000,0,ok
flip_cov0.5_bw0.25,flip,r_val,AUC_frac,476,476,0,-0.0270338065199596,-0.12221546164747653,0.06481442557997097,10000,0,ok
flip_cov0.5_bw0.25,flip,shd_truth,AUC_frac,476,476,0,-0.1693379498755582,-0.2289195726304417,-0.11020281034781308,10000,0,ok
flip_cov0.5_bw0.25,flip,n_k,AUC_frac,476,476,0,-0.26639781497718706,-0.349526309651474,-0.18365288100550275,10000,0,ok
flip_cov0.5_bw0.25,flip,k_g0,AUC_frac,476,476,0,-0.21685863838782707,-0.29579080004852876,-0.13923299033513237,10000,0,ok
flip_cov0.5_bw0.25,flip,separation,AUC_frac,476,476,0,0.0045748344846777474,-0.07984793800081591,0.08914454109754522,10000,0,ok
flip_cov0.5_bw0.25,flip,neg_phi_1,AUC_frac,476,476,0,0.3417026754552311,0.2559875067552301,0.41936432501029836,10000,0,ok
flip_cov0.5_bw0.25,flip,r_claim,AUC_frac,476,379,97,0.13252952570344273,0.030217159426990926,0.23108388839106347,10000,0,ok
flip_cov1.0_bw0.0,flip,r_val,AUC_frac,480,480,0,0.4693567707761453,0.40535614220597926,0.5318777163508035,10000,0,ok
flip_cov1.0_bw0.0,flip,shd_truth,AUC_frac,480,480,0,,,,10000,0,undefined (predictor or endpoint constant)
flip_cov1.0_bw0.0,flip,n_k,AUC_frac,480,480,0,-0.0947107327302256,-0.16447439372253594,-0.02459962259401226,10000,0,ok
flip_cov1.0_bw0.0,flip,k_g0,AUC_frac,480,480,0,-0.0947107327302256,-0.16447439372253594,-0.02459962259401226,10000,0,ok
flip_cov1.0_bw0.0,flip,separation,AUC_frac,480,480,0,0.4693567707761453,0.40535614220597926,0.5318777163508035,10000,0,ok
flip_cov1.0_bw0.0,flip,neg_phi_1,AUC_frac,480,480,0,0.3619879282018309,0.2892346738351914,0.4314081107839618,10000,0,ok
flip_cov1.0_bw0.0,flip,r_claim,AUC_frac,480,200,280,0.25662188601241404,0.17487233064977162,0.3352911489865062,10000,0,ok
flip_cov1.0_bw0.1,flip,r_val,AUC_frac,480,480,0,0.4181611899400737,0.35332923961601026,0.4818136829611838,10000,0,ok
flip_cov1.0_bw0.1,flip,shd_truth,AUC_frac,480,480,0,-0.17554061002257842,-0.2585189913233137,-0.09169753671738812,10000,0,ok
flip_cov1.0_bw0.1,flip,n_k,AUC_frac,480,480,0,-0.10913963960611275,-0.18239753140787207,-0.03524309260844373,10000,0,ok
flip_cov1.0_bw0.1,flip,k_g0,AUC_frac,480,480,0,-0.10913963960611275,-0.18239753140787207,-0.03524309260844373,10000,0,ok
flip_cov1.0_bw0.1,flip,separation,AUC_frac,480,480,0,0.4185249857281884,0.3569129212702718,0.4799285146836398,10000,0,ok
flip_cov1.0_bw0.1,flip,neg_phi_1,AUC_frac,480,480,0,0.3042702663321648,0.2222760910092132,0.3798372403584562,10000,0,ok
flip_cov1.0_bw0.1,flip,r_claim,AUC_frac,480,212,268,0.32588768864906664,0.22985525585694735,0.42003730309554466,10000,0,ok
flip_cov1.0_bw0.25,flip,r_val,AUC_frac,334,334,0,0.27955168033772343,0.19649102051975664,0.35893130577993615,10000,0,ok
