stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,seed,degeneracy_note
flip_cov0.5_bw0.0,flip,r_val,shd_truth,AUC_frac,ok,480,480,0,480,0.6135336154814215,0.2296133572215578,0.3839202582598637,0.30153596622313017,0.46579962499418565,1.0,10000,0,
flip_cov0.5_bw0.0,flip,r_val,n_k,AUC_frac,ok,480,480,0,480,0.6135336154814215,0.25826831138419415,0.35526530409722734,0.24532298424309443,0.4650673995972847,1.0,10000,0,
flip_cov0.5_bw0.0,flip,r_val,k_g0,AUC_frac,ok,480,480,0,480,0.6135336154814215,0.08876670994329884,0.5247669055381227,0.40876179285344755,0.6373922521271523,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
flip_cov0.5_bw0.0,flip,r_val,separation,AUC_frac,ok,480,480,0,480,0.6135336154814215,0.46057317146751914,0.15296044401390235,0.11782495752076366,0.1902626425535142,1.0,10000,0,
flip_cov0.5_bw0.0,flip,r_val,neg_phi_1,AUC_frac,ok,480,480,0,480,0.6135336154814215,0.37851176348088633,0.23502185200053516,0.19696523818520417,0.2751914042068661,1.0,10000,0,
flip_cov0.5_bw0.0,flip,r_val,r_claim,AUC_frac,ok,480,240,240,240,0.3694614500490676,0.3694614500490676,0.0,0.0,0.0,0.0,10000,0,"r_val == r_claim on every uncensored row; a zero delta is an identity. 240 of 480 rows right-censored and dropped, not imputed."
flip_cov0.5_bw0.1,flip,r_val,shd_truth,AUC_frac,ok,480,480,0,480,0.32837606536161185,-0.009287322407708338,0.3376633877693202,0.24384395540643927,0.4340424212425398,1.0,10000,0,
flip_cov0.5_bw0.1,flip,r_val,n_k,AUC_frac,ok,480,480,0,480,0.32837606536161185,-0.05630882701259604,0.3846848923742079,0.2776081604474902,0.48936606824579626,1.0,10000,0,
flip_cov0.5_bw0.1,flip,r_val,k_g0,AUC_frac,ok,480,480,0,480,0.32837606536161185,-0.11518054287369298,0.44355660823530485,0.332029109223286,0.552486245290377,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
flip_cov0.5_bw0.1,flip,r_val,separation,AUC_frac,ok,480,480,0,480,0.32837606536161185,0.245212360971122,0.08316370439048984,0.03972962639433682,0.12773332325729986,0.9999,10000,0,
flip_cov0.5_bw0.1,flip,r_val,neg_phi_1,AUC_frac,ok,480,480,0,480,0.32837606536161185,0.3457137957508384,-0.017337730389226536,-0.07739172222711327,0.03950402569184938,0.2793,10000,0,
flip_cov0.5_bw0.1,flip,r_val,r_claim,AUC_frac,ok,480,240,240,240,0.37023801329830675,0.37023801329830675,0.0,0.0,0.0,0.0,10000,0,"r_val == r_claim on every uncensored row; a zero delta is an identity. 240 of 480 rows right-censored and dropped, not imputed."
flip_cov0.5_bw0.25,flip,r_val,shd_truth,AUC_frac,ok,476,476,0,476,-0.0270338065199596,-0.1693379498755582,0.1423041433555986,0.05987766624093203,0.2245247704955442,0.9996,10000,0,
flip_cov0.5_bw0.25,flip,r_val,n_k,AUC_frac,ok,476,476,0,476,-0.0270338065199596,-0.26639781497718706,0.23936400845722747,0.14480060733498937,0.3355186863658295,1.0,10000,0,
flip_cov0.5_bw0.25,flip,r_val,k_g0,AUC_frac,ok,476,476,0,476,-0.0270338065199596,-0.21685863838782707,0.18982483186786747,0.0992460473576836,0.281301361493311,1.0,10000,0,"k_g0 is definitionally shd_cpdag, but differs from n_k here."
flip_cov0.5_bw0.25,flip,r_val,separation,AUC_frac,ok,476,476,0,476,-0.0270338065199596,0.0045748344846777474,-0.031608641004637346,-0.09705123530863294,0.032435062213986766,0.1689,10000,0,
flip_cov0.5_bw0.25,flip,r_val,neg_phi_1,AUC_frac,ok,476,476,0,476,-0.0270338065199596,0.3417026754552311,-0.3687364819751907,-0.4442375310016994,-0.2956380188380705,0.0,10000,0,
flip_cov0.5_bw0.25,flip,r_val,r_claim,AUC_frac,ok,476,379,97,379,0.102092629615022,0.13252952570344273,-0.030436896088420734,-0.07221440110987573,0.011380498564276609,0.0814,10000,0,"97 of 476 rows right-censored and dropped, not imputed."
