arm,stratum,grid_point,n_cells,n_draw_sets,n_draws,n_contradictory,contradiction_rate,n_draws_pair_weighted,contradiction_rate_pair_weighted
flip,flip_cov025_bw000,1,106,8,8000,0,0.0,106000,0.0
flip,flip_cov025_bw000,2,60,5,5000,1000,0.2,60000,0.03333333333333333
flip,flip_cov025_bw010,1,318,24,24000,0,0.0,318000,0.0
flip,flip_cov025_bw010,2,180,15,15000,3000,0.2,180000,0.03333333333333333
flip,flip_cov025_bw025,1,318,24,24000,0,0.0,318000,0.0
flip,flip_cov025_bw025,2,180,15,15000,3000,0.2,180000,0.03333333333333333
flip,flip_cov025_bwa1,1,112,14,14000,1511,0.10792857142857143,112000,0.026982142857142857
flip,flip_cov025_bwa1,2,112,14,14000,0,0.0,112000,0.0
flip,flip_cov050_bw000,1,182,17,17000,0,0.0,182000,0.0
flip,flip_cov050_bw000,2,153,14,14000,1907,0.1362142857142857,153000,0.029313725490196077
flip,flip_cov050_bw000,3,98,8,8000,2820,0.3525,98000,0.08462244897959184
flip,flip_cov050_bw000,4,97,7,7000,3605,0.515,97000,0.14484536082474228
flip,flip_cov050_bw000,5,10,1,1000,1000,1.0,10000,1.0
flip,flip_cov050_bw010,1,546,51,51000,0,0.0,546000,0.0
flip,flip_cov050_bw010,2,459,42,42000,5841,0.13907142857142857,459000,0.030766884531590415
flip,flip_cov050_bw010,3,294,24,24000,8367,0.348625,294000,0.08099659863945578
flip,flip_cov050_bw010,4,291,21,21000,10775,0.513095238095238,291000,0.14347079037800686
flip,flip_cov050_bw010,5,30,3,3000,3000,1.0,30000,1.0
flip,flip_cov050_bw025,1,515,48,48000,2080,0.043333333333333335,515000,0.01443495145631068
flip,flip_cov050_bw025,2,428,39,39000,6365,0.1632051282051282,428000,0.04148831775700935
flip,flip_cov050_bw025,3,263,21,21000,4153,0.19776190476190475,263000,0.054866920152091256
flip,flip_cov050_bw025,4,260,18,18000,3382,0.18788888888888888,260000,0.04930769230769231
flip,flip_cov050_bw025,5,20,2,2000,0,0.0,20000,0.0
flip,flip_cov050_bwa1,1,310,38,38000,2796,0.07357894736842105,310000,0.0203741935483871
flip,flip_cov050_bwa1,2,286,32,32000,3565,0.11140625,286000,0.031118881118881118
flip,flip_cov050_bwa1,3,231,22,22000,5115,0.2325,231000,0.06014718614718615
flip,flip_cov050_bwa1,4,228,19,19000,3211,0.169,228000,0.06971052631578947
flip,flip_cov050_bwa1,5,18,2,2000,2000,1.0,18000,1.0
flip,flip_cov100_bw000,1,445,22,22000,595,0.027045454545454546,445000,0.011692134831460674
flip,flip_cov100_bw000,2,396,18,18000,3108,0.17266666666666666,396000,0.18187121212121213
flip,flip_cov100_bw000,3,452,17,17000,7330,0.43117647058823527,452000,0.4311349557522124
flip,flip_cov100_bw000,4,219,10,10000,5646,0.5646,219000,0.6231689497716895
flip,flip_cov100_bw000,5,308,11,11000,7285,0.6622727272727272,308000,0.6034155844155844
flip,flip_cov100_bw000,6,176,10,10000,8000,0.8,176000,0.8516761363636364
flip,flip_cov100_bw000,7,167,8,8000,6580,0.8225,167000,0.8924191616766467
flip,flip_cov100_bw000,8,169,8,8000,6060,0.7575,169000,0.44701775147928996
flip,flip_cov100_bw000,9,50,5,5000,4000,0.8,50000,0.78
flip,flip_cov100_bw000,10,122,3,3000,1131,0.377,122000,0.27589344262295085
flip,flip_cov100_bw000,12,6,1,1000,1000,1.0,6000,1.0
flip,flip_cov100_bw000,13,89,1,1000,209,0.209,89000,0.209
flip,flip_cov100_bw000,14,6,1,1000,1000,1.0,6000,1.0
flip,flip_cov100_bw000,16,92,2,2000,1385,0.6925,92000,0.40505434782608696
flip,flip_cov100_bw000,17,6,1,1000,1000,1.0,6000,1.0
flip,flip_cov100_bw000,18,89,1,1000,473,0.473,89000,0.473
