stratum,stratum_class,predictor,endpoint,dropped_network,n,n_networks,tau_b,ci_lo_2p5,ci_hi_97p5,excludes_zero,full_tau_b,full_excludes_zero,loses_zero_exclusion
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,Kampen_2014,99,7,-0.49832325356447515,-0.9862062358989765,0.021166901210460845,False,-0.5267509728699254,True,True
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,Polzer_2012,99,7,-0.49988841842679343,-0.913969505124187,0.021166901210460845,False,-0.5267509728699254,True,True
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,Sebastiani_2005,104,7,-0.5261430337892129,-0.9077375936584372,-0.09762647709527665,True,-0.5267509728699254,True,False
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,barley,64,7,-0.7655935100476603,-0.9862062358989765,-0.18551426028105733,True,-0.5267509728699254,True,False
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,insurance,74,7,-0.32057399971420125,-0.8782490560284876,0.023806649131117977,False,-0.5267509728699254,True,True
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,magic-niab,93,7,-0.5808066385304561,-0.9863939238321436,-0.1773827231221527,True,-0.5267509728699254,True,False
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,munin1,104,7,-0.5105150228845828,-0.904616762018266,-0.07243254752230203,True,-0.5267509728699254,True,False
flip_cov025_bw000,supplementary,radius,AUC_frac_usable,win95pts,105,7,-0.5271219446600257,-0.9145969722686905,-0.0990673798646951,True,-0.5267509728699254,True,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,Kampen_2014,99,7,-0.4957152119265598,-0.87365282640944,0.4095130522435125,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,Polzer_2012,99,7,-0.3131632712911779,-0.8669444408446522,0.7586879383601072,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,Sebastiani_2005,104,7,-0.32063283980172524,-0.7839923366472135,0.7197016060085818,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,barley,64,7,-0.2930457090548968,-0.8506437498619777,0.7729948590275533,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,insurance,74,7,0.3001552658871953,-0.46922569873307635,0.8002388719267529,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,magic-niab,93,7,-0.47278665224518074,-0.8208816288890213,0.7437684379978099,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,munin1,104,7,-0.34188794285425644,-0.8161771853044795,0.7154730885423751,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,shd_truth,AUC_frac_usable,win95pts,105,7,-0.3408745843631305,-0.8488712278440871,0.6832956931546987,False,-0.32228931435067226,False,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,Kampen_2014,99,7,0.8016736132975949,0.4144254476303788,0.9863939238321436,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,Polzer_2012,99,7,0.8016736132975949,0.4144254476303788,0.9863939238321436,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,Sebastiani_2005,104,7,0.8322422764110812,0.42136560178383087,0.9941690465022818,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,barley,64,7,0.9420508516391006,0.6601497295081243,0.9962894120648842,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,insurance,74,7,0.6263705197599004,0.38773587759734957,0.9682458365518541,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,magic-niab,93,7,0.8752847061365795,0.4654500417907664,0.997293635091789,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,munin1,104,7,0.8322422764110812,0.42136560178383087,0.995485304256668,True,0.8244001199323044,True,False
flip_cov025_bw000,supplementary,n_k,AUC_frac_usable,win95pts,105,7,0.8282792473724709,0.4144254476303788,0.9919720403240447,True,0.8244001199323044,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,Kampen_2014,297,7,-0.48486818501736434,-0.9822275762649096,-0.0037556402274149157,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,Polzer_2012,297,7,-0.48626134154653133,-0.9094816201900933,-0.0037556402274149157,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,Sebastiani_2005,312,7,-0.5124801675088603,-0.9017264044836638,-0.09986527629405322,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,barley,192,7,-0.7536764633683336,-0.983086058829386,-0.19398418738021306,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,insurance,222,7,-0.3108893401202581,-0.8591180897806925,-0.0008525525059614624,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,magic-niab,279,7,-0.5527259107715036,-0.9838489670569475,-0.1472142829400158,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,munin1,312,7,-0.49720711998082595,-0.8962653545984449,-0.08969789081672055,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,radius,AUC_frac_usable,win95pts,315,7,-0.5130528248437376,-0.9103492960719513,-0.10619778357683712,True,-0.513414151685496,True,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Kampen_2014,297,7,-0.5058773910742994,-0.8469547269217353,0.3925763215023924,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Polzer_2012,297,7,-0.33106259117788406,-0.8446643331688795,0.7153103033635854,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,Sebastiani_2005,312,7,-0.33661371246234234,-0.7539465657534736,0.6690212648244294,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,barley,192,7,-0.2820149949870981,-0.8093306240275066,0.7331255570641959,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,insurance,222,7,0.22258365818377382,-0.4096780682607321,0.7476331635267122,False,-0.33695805307406584,False,False
flip_cov025_bw010,supplementary,shd_truth,AUC_frac_usable,magic-niab,279,7,-0.44996642744878923,-0.7875522712976175,0.6836360963157947,False,-0.33695805307406584,False,False
