stratum,stratum_class,arm,network,n_units,endpoint_raw_name,median_endpoint_raw,q1_endpoint_raw,q3_endpoint_raw,endpoint_usable_name,median_endpoint_usable,q1_endpoint_usable,q3_endpoint_usable,n_distinct_radius,share_radius_1,median_n_k,median_shd_truth
flip_cov025_bw000,supplementary,flip,Kampen_2014,7,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,2,0.0,1,3
flip_cov025_bw000,supplementary,flip,Polzer_2012,7,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,0.0,1,6
flip_cov025_bw000,supplementary,flip,Sebastiani_2005,2,AUC_frac,0.35,0.336,0.364,AUC_frac_usable,0.35,0.336,0.364,1,1.0,2.0,5.0
flip_cov025_bw000,supplementary,flip,barley,42,AUC_frac,0.3472,0.3472,0.3528,AUC_frac_usable,0.3472,0.3472,0.3528,2,0.5238095238095238,2.0,5.0
flip_cov025_bw000,supplementary,flip,insurance,32,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,0.0,1.0,8.0
flip_cov025_bw000,supplementary,flip,magic-niab,13,AUC_frac,0.35420000000000007,0.35420000000000007,0.35420000000000007,AUC_frac_usable,0.35420000000000007,0.35420000000000007,0.35420000000000007,2,0.6923076923076923,2,7
flip_cov025_bw000,supplementary,flip,munin1,2,AUC_frac,0.5,0.49950000000000006,0.5005000000000001,AUC_frac_usable,0.5,0.49950000000000006,0.5005000000000001,1,1.0,2.0,6.0
flip_cov025_bw000,supplementary,flip,win95pts,1,AUC_frac,0.3521,0.3521,0.3521,AUC_frac_usable,0.3521,0.3521,0.3521,1,1.0,2,9
flip_cov025_bw010,supplementary,flip,Kampen_2014,21,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,2,0.0,1,3
flip_cov025_bw010,supplementary,flip,Polzer_2012,21,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,0.0,1,6
flip_cov025_bw010,supplementary,flip,Sebastiani_2005,6,AUC_frac,0.35,0.3373999999999999,0.36260000000000003,AUC_frac_usable,0.35,0.3373999999999999,0.36260000000000003,1,1.0,2.0,5.0
flip_cov025_bw010,supplementary,flip,barley,126,AUC_frac,0.34650000000000003,0.3437,0.35629999999999995,AUC_frac_usable,0.34650000000000003,0.3437,0.35629999999999995,2,0.5238095238095238,2.0,5.0
flip_cov025_bw010,supplementary,flip,insurance,96,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0,1,0.0,1.0,8.0
flip_cov025_bw010,supplementary,flip,magic-niab,39,AUC_frac,0.35699999999999993,0.3486000000000001,0.3597999999999999,AUC_frac_usable,0.35699999999999993,0.3486000000000001,0.3597999999999999,2,0.6923076923076923,2,7
