arm,stratum,stratum_class,status,network,x,y,coverage,base_wrongness,bw_abs,analyst_replicate,n_tiers,radius,shd_truth,n_k,k_g0,AUC_frac,AUC_frac_usable,AUC_rate,AUC_rate_usable,endpoint_gap,n_grid_points,n_grid_points_usable,n_grid_points_censored,endpoint_censored,min_n_eval,median_n_eval,separation,separation_status,largest_component_size,component_size,n_claims_actually_wrong,bw_is_inert,dispatch_leg,gate,assumes,shard_id,frame_row_id
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x10,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,bfda8d867f276ef9
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x11,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,6452110315a85e00
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x12,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,e15536e68a58aeb2
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x13,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,2d2f7a04bd2a7102
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x15,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,1a9fb26cde2ba1f0
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x17,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,7ec1805904350188
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x18,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,4677b162733a7729
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x5,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,1d3b54df6c4d3b94
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x7,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,7a02b4ec2b626b8b
flip,flip_cov100_bw000,primary,ok,Acid_1996,x4,x9,1.0,0.0,,0,,1,0,1,1,0.0,0.0,,,0.0,1,1,0,False,1000,1000,,no_z_member_in_component,2,2,0,False,local_up_fast,fast_gate,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",flip__Acid_1996__cov100__bw000__r0,9569d3cd94e48936
