stratum,stratum_class,arm,predictor,endpoint,pooled_tau_b,n_rows,n_networks_total,n_networks_with_variation,n_networks_positive,within_mean_tau,within_median_tau,within_ci_lo_2p5,within_ci_hi_97p5,within_excludes_zero,between_tau_b
flip_cov025_bwa1,supplementary,flip,radius,AUC_frac_usable,0.0785662691340324,112,5,3,1,0.2696686826278844,0.0,-0.19099395211634693,1.0,False,-0.16666666666666666
flip_cov050_bw000,primary,flip,radius,AUC_frac_usable,0.19074657597977682,182,17,5,4,0.3032940565033038,0.3235731536483542,-0.36142057422636703,0.8647146307296708,False,-0.036487819155789
flip_cov050_bw010,primary,flip,radius,AUC_frac_usable,0.13973192068019674,546,17,5,4,0.09525755414008476,0.09447793865558292,-0.3554915315207226,0.46760141510906045,False,-0.03662897178791283
flip_cov050_bw025,primary,flip,radius,AUC_frac_usable,0.11169010319610785,515,17,6,4,0.1581128402282406,0.2779437138383344,-0.24226222645037507,0.4733048289635573,False,-0.012162606385262998
flip_cov050_bw025,primary,flip,shd_truth,AUC_frac_usable,0.539591281918056,515,17,6,4,0.316538317394044,0.3521992257127811,-0.011411757743951126,0.6281393550973514,False,0.5334358875758606
flip_cov050_bwa1,supplementary,flip,radius,AUC_frac_usable,0.4444277481883542,310,15,3,3,0.38452593739576235,0.23251467391511052,0.18251419239618008,0.7385489458759965,True,0.31555791640509484
flip_cov050_bwa1,supplementary,flip,shd_truth,AUC_frac_usable,-0.3019274689603861,310,15,9,5,0.3466952781604075,0.5477225575051662,0.02451205637129536,0.6675109214866277,True,-0.07152172054019794
flip_cov100_bw000,primary,flip,radius,AUC_frac_usable,0.06377025915559671,540,24,11,7,0.29583161735024777,0.43398455669674574,0.016011350514939404,0.5614258986924993,True,-0.25265357110423303
flip_cov100_bw010,primary,flip,radius,AUC_frac_usable,0.12632490904524413,1579,24,15,14,0.30317912896074384,0.3175536744149779,0.1848898967662841,0.4117339684580813,True,-0.14419824297011055
flip_cov100_bw010,primary,flip,shd_truth,AUC_frac_usable,0.25982410200025896,1579,24,6,5,0.16297673566128226,0.21392328104877859,-0.040517731822500055,0.3440491983361677,False,0.47468966161023723
flip_cov100_bw025,primary,flip,radius,AUC_frac_usable,0.2922494086052659,1386,23,18,17,0.40308067557238597,0.3977733125423024,0.2950623490765903,0.5108271459461005,True,-0.07055637431113225
flip_cov100_bw025,primary,flip,shd_truth,AUC_frac_usable,0.21198786251089868,1386,23,9,5,-0.1064330140324122,0.00015386129490673617,-0.36326206583626175,0.107342729489915,False,0.2959275511846777
flip_cov100_bwa1,supplementary,flip,radius,AUC_frac_usable,0.2995305420966374,1146,21,16,13,0.4008094921624502,0.39800122291014556,0.2529401259939508,0.5498473904490271,True,0.1355261854357877
flip_cov100_bwa1,supplementary,flip,shd_truth,AUC_frac_usable,0.020134129260886396,1146,21,5,2,-0.03614107273051039,-0.10956642697819578,-0.4545407572065473,0.4191525447881469,False,0.03136661633374337
tiered_nt2,primary,tiered,radius,AUC_rate_usable,0.5802354721554341,60,11,3,3,0.8363544960509252,0.894427190999916,0.6146362971528592,1.0,True,0.525884991156284
tiered_nt3,primary,tiered,radius,AUC_rate_usable,0.377616815579245,176,18,8,7,0.6541800083052349,0.7537418168425725,0.3747609448126757,0.863261293411479,True,0.32368692037257435
tiered_nt4,primary,tiered,radius,AUC_rate_usable,0.4832453597995131,265,19,9,9,0.6306743046330878,0.6287052332136821,0.5341011360134241,0.7171142894848686,True,0.45241392835886407
