network,coverage,knowledge_model,n_k,n_single_reversals,n_contradictory,contradiction_rate,n_undirected_cpdag,g0_is_true_dag,g0_undirected_edges
Acid_1996,1.0,all_undirected_edges,1,1,0,0.0,1,True,0
Acid_1996,1.0,minimal_generator,1,1,0,0.0,1,True,0
Didelez_2010,1.0,all_undirected_edges,3,3,2,0.6666666666666666,3,True,0
Didelez_2010,1.0,minimal_generator,1,1,0,0.0,3,True,0
Kampen_2014,1.0,all_undirected_edges,11,11,8,0.7272727272727273,11,True,0
Kampen_2014,0.25,minimal_generator,1,1,0,0.0,11,False,3
Kampen_2014,0.5,minimal_generator,2,2,0,0.0,11,False,2
Kampen_2014,1.0,minimal_generator,3,3,0,0.0,11,True,0
Polzer_2012,1.0,all_undirected_edges,9,9,4,0.4444444444444444,9,True,0
Polzer_2012,0.25,minimal_generator,1,1,0,0.0,9,False,6
Polzer_2012,0.5,minimal_generator,2,2,0,0.0,9,False,5
Polzer_2012,1.0,minimal_generator,5,5,0,0.0,9,True,0
Schipf_2010,1.0,all_undirected_edges,6,6,3,0.5,6,True,0
Schipf_2010,0.5,minimal_generator,2,2,0,0.0,6,False,4
Schipf_2010,1.0,minimal_generator,3,3,0,0.0,6,True,0
Sebastiani_2005,1.0,all_undirected_edges,7,7,0,0.0,7,True,0
Sebastiani_2005,0.25,minimal_generator,2,2,0,0.0,7,False,5
Sebastiani_2005,0.5,minimal_generator,4,4,0,0.0,7,False,3
Sebastiani_2005,1.0,minimal_generator,7,7,0,0.0,7,True,0
Shrier_2008,1.0,all_undirected_edges,3,3,1,0.3333333333333333,3,True,0
Shrier_2008,0.5,minimal_generator,1,1,0,0.0,3,False,2
Shrier_2008,1.0,minimal_generator,2,2,0,0.0,3,True,0
arth150,1.0,all_undirected_edges,45,45,16,0.35555555555555557,45,True,0
arth150,1.0,minimal_generator,29,29,0,0.0,45,True,0
asia,1.0,all_undirected_edges,3,3,0,0.0,3,True,0
asia,0.5,minimal_generator,2,2,0,0.0,3,False,1
asia,1.0,minimal_generator,3,3,0,0.0,3,True,0
barley,1.0,all_undirected_edges,9,9,2,0.2222222222222222,9,True,0
barley,0.25,minimal_generator,2,2,0,0.0,9,False,5
barley,0.5,minimal_generator,4,4,0,0.0,9,False,3
barley,1.0,minimal_generator,7,7,0,0.0,9,True,0
child,1.0,all_undirected_edges,12,12,10,0.8333333333333334,12,True,0
child,0.5,minimal_generator,1,1,0,0.0,12,False,1
child,1.0,minimal_generator,2,2,0,0.0,12,True,0
diabetes,1.0,all_undirected_edges,26,26,0,0.0,26,True,0
diabetes,1.0,minimal_generator,26,26,0,0.0,26,True,0
ecoli70,1.0,all_undirected_edges,25,25,16,0.64,25,True,0
ecoli70,0.5,minimal_generator,5,5,0,0.0,25,False,12
ecoli70,1.0,minimal_generator,10,10,1,0.1,25,True,0
hailfinder,1.0,all_undirected_edges,17,17,16,0.9411764705882353,17,True,0
hailfinder,1.0,minimal_generator,1,1,0,0.0,17,True,0
hepar2,1.0,all_undirected_edges,9,9,0,0.0,9,True,0
hepar2,0.5,minimal_generator,4,4,0,0.0,9,False,5
hepar2,1.0,minimal_generator,9,9,0,0.0,9,True,0
insurance,1.0,all_undirected_edges,18,18,15,0.8333333333333334,18,True,0
insurance,0.25,minimal_generator,1,1,0,0.0,18,False,8
insurance,0.5,minimal_generator,2,2,0,0.0,18,False,6
insurance,1.0,minimal_generator,3,3,0,0.0,18,True,0
magic-irri,1.0,all_undirected_edges,12,12,2,0.16666666666666666,12,True,0
magic-irri,1.0,minimal_generator,10,10,0,0.0,12,True,0
magic-niab,1.0,all_undirected_edges,10,10,2,0.2,10,True,0
magic-niab,0.25,minimal_generator,2,2,0,0.0,10,False,7
magic-niab,0.5,minimal_generator,4,4,0,0.0,10,False,4
magic-niab,1.0,minimal_generator,8,8,0,0.0,10,True,0
mediator,1.0,all_undirected_edges,5,5,3,0.6,5,True,0
mediator,0.5,minimal_generator,2,2,0,0.0,5,False,1
mediator,1.0,minimal_generator,3,3,1,0.3333333333333333,5,True,0
munin1,1.0,all_undirected_edges,8,8,2,0.25,8,True,0
munin1,0.25,minimal_generator,2,2,0,0.0,8,False,6
munin1,0.5,minimal_generator,3,3,0,0.0,8,False,4
munin1,1.0,minimal_generator,6,6,0,0.0,8,True,0
pathfinder,1.0,all_undirected_edges,122,122,45,0.36885245901639346,122,True,0
pathfinder,1.0,minimal_generator,79,79,2,0.02531645569620253,122,True,0
paths,1.0,all_undirected_edges,14,14,13,0.9285714285714286,14,True,0
paths,1.0,minimal_generator,1,1,0,0.0,14,True,0
sachs,1.0,all_undirected_edges,17,17,10,0.5882352941176471,17,True,0
sachs,0.5,minimal_generator,4,4,0,0.0,17,False,8
sachs,1.0,minimal_generator,8,8,1,0.125,17,True,0
water,1.0,all_undirected_edges,6,6,4,0.6666666666666666,6,True,0
water,0.5,minimal_generator,1,1,0,0.0,6,False,3
water,1.0,minimal_generator,2,2,0,0.0,6,True,0
win95pts,1.0,all_undirected_edges,12,12,3,0.25,12,True,0
win95pts,0.25,minimal_generator,2,2,0,0.0,12,False,9
win95pts,0.5,minimal_generator,4,4,0,0.0,12,False,6
win95pts,1.0,minimal_generator,9,9,0,0.0,12,True,0
