shard_id,arm,network,coverage,base_wrongness,bw_abs,n_k,n_draws_per_grid_point,n_grid_points,space_size,n_distinct_states_computed,n_draws_total,coverage_of_space,is_exhaustive
flip__Acid_1996__cov100__bw000__r0,flip,Acid_1996,1.0,0.0,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw010__r0,flip,Acid_1996,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw010__r1,flip,Acid_1996,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw010__r2,flip,Acid_1996,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw025__r0,flip,Acid_1996,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw025__r1,flip,Acid_1996,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bw025__r2,flip,Acid_1996,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bwa1__r0,flip,Acid_1996,1.0,,1,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bwa1__r1,flip,Acid_1996,1.0,,1,1,1000,1,1,1,1000,1.0,True
flip__Acid_1996__cov100__bwa1__r2,flip,Acid_1996,1.0,,1,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw000__r0,flip,Didelez_2010,1.0,0.0,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw010__r0,flip,Didelez_2010,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw010__r1,flip,Didelez_2010,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw010__r2,flip,Didelez_2010,1.0,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw025__r0,flip,Didelez_2010,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw025__r1,flip,Didelez_2010,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Didelez_2010__cov100__bw025__r2,flip,Didelez_2010,1.0,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw000__r0,flip,Kampen_2014,0.25,0.0,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw010__r0,flip,Kampen_2014,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw010__r1,flip,Kampen_2014,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw010__r2,flip,Kampen_2014,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw025__r0,flip,Kampen_2014,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw025__r1,flip,Kampen_2014,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov025__bw025__r2,flip,Kampen_2014,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Kampen_2014__cov050__bw000__r0,flip,Kampen_2014,0.5,0.0,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw010__r0,flip,Kampen_2014,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw010__r1,flip,Kampen_2014,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw010__r2,flip,Kampen_2014,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw025__r0,flip,Kampen_2014,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw025__r1,flip,Kampen_2014,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bw025__r2,flip,Kampen_2014,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov050__bwa1__r2,flip,Kampen_2014,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Kampen_2014__cov100__bw000__r0,flip,Kampen_2014,1.0,0.0,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw010__r0,flip,Kampen_2014,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw010__r1,flip,Kampen_2014,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw010__r2,flip,Kampen_2014,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw025__r0,flip,Kampen_2014,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw025__r1,flip,Kampen_2014,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bw025__r2,flip,Kampen_2014,1.0,0.25,,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bwa1__r0,flip,Kampen_2014,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bwa1__r1,flip,Kampen_2014,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__Kampen_2014__cov100__bwa1__r2,flip,Kampen_2014,1.0,,1,3,1000,3,7,7,3000,1.0,True
flip__Polzer_2012__cov025__bw000__r0,flip,Polzer_2012,0.25,0.0,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw010__r0,flip,Polzer_2012,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw010__r1,flip,Polzer_2012,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw010__r2,flip,Polzer_2012,0.25,0.1,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw025__r0,flip,Polzer_2012,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw025__r1,flip,Polzer_2012,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov025__bw025__r2,flip,Polzer_2012,0.25,0.25,,1,1000,1,1,1,1000,1.0,True
flip__Polzer_2012__cov050__bw000__r0,flip,Polzer_2012,0.5,0.0,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw010__r0,flip,Polzer_2012,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw010__r1,flip,Polzer_2012,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw010__r2,flip,Polzer_2012,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw025__r0,flip,Polzer_2012,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw025__r1,flip,Polzer_2012,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bw025__r2,flip,Polzer_2012,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bwa1__r0,flip,Polzer_2012,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bwa1__r1,flip,Polzer_2012,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov050__bwa1__r2,flip,Polzer_2012,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Polzer_2012__cov100__bw000__r0,flip,Polzer_2012,1.0,0.0,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw010__r0,flip,Polzer_2012,1.0,0.1,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw010__r1,flip,Polzer_2012,1.0,0.1,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw010__r2,flip,Polzer_2012,1.0,0.1,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw025__r0,flip,Polzer_2012,1.0,0.25,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw025__r1,flip,Polzer_2012,1.0,0.25,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bw025__r2,flip,Polzer_2012,1.0,0.25,,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bwa1__r0,flip,Polzer_2012,1.0,,1,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bwa1__r1,flip,Polzer_2012,1.0,,1,5,1000,5,31,31,5000,1.0,True
flip__Polzer_2012__cov100__bwa1__r2,flip,Polzer_2012,1.0,,1,5,1000,5,31,31,5000,1.0,True
flip__Schipf_2010__cov050__bw000__r0,flip,Schipf_2010,0.5,0.0,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw010__r0,flip,Schipf_2010,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw010__r1,flip,Schipf_2010,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw010__r2,flip,Schipf_2010,0.5,0.1,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw025__r0,flip,Schipf_2010,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw025__r1,flip,Schipf_2010,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bw025__r2,flip,Schipf_2010,0.5,0.25,,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bwa1__r0,flip,Schipf_2010,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov050__bwa1__r2,flip,Schipf_2010,0.5,,1,2,1000,2,3,3,2000,1.0,True
flip__Schipf_2010__cov100__bw000__r0,flip,Schipf_2010,1.0,0.0,,3,1000,3,7,7,3000,1.0,True
flip__Schipf_2010__cov100__bw010__r0,flip,Schipf_2010,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
flip__Schipf_2010__cov100__bw010__r1,flip,Schipf_2010,1.0,0.1,,3,1000,3,7,7,3000,1.0,True
