network,x,y,n_k,k_g0,leverage,shd_truth,radius,separation,separation_status,z_size,grid_point,n_draws,n_eval,n_contradictory,S,assumes
paths,1,D,1,14,14.0,0,14,6,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,1,E,1,14,14.0,0,14,6,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,2,D,1,14,14.0,0,13,5,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,2,E,1,14,14.0,0,13,5,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,3,D,1,14,14.0,0,12,4,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,3,E,1,14,14.0,0,12,4,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,4,D,1,14,14.0,0,11,3,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,4,E,1,14,14.0,0,11,3,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,5,D,1,14,14.0,0,10,2,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,5,E,1,14,14.0,0,10,2,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,6,D,1,14,14.0,0,9,1,measured,3,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,6,E,1,14,14.0,0,9,1,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,7,D,1,14,14.0,0,8,1,measured,2,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,8,D,1,14,14.0,0,7,7,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,9,D,1,14,14.0,0,6,6,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,10,D,1,14,14.0,0,5,5,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,11,D,1,14,14.0,0,4,4,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,12,D,1,14,14.0,0,3,3,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,13,D,1,14,14.0,0,2,2,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
paths,14,D,1,14,14.0,0,1,1,measured,1,1,1000,1000,0,0.0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
