network,x,y,n_tiers,arm,intensity_bin,n_draws,n_eval,n_contradictory,n_survived,S,contradiction_rate,silent_failure_rate,instance_sha256
Didelez_2010,Smo,HRT,4,xarm_flip,0.3,1000,1000,0,496,0.496,0.0,0.504,0805d0a36aef0274
Didelez_2010,Smo,HRT,4,xarm_tiered,0.0,4000,3687,313,3545,0.9614863032275562,0.07825,0.03550000000000004,0805d0a36aef0274
Didelez_2010,Smo,HRT,4,xarm_tiered,0.1,6000,4442,1558,3686,0.829806393516434,0.25966666666666666,0.126,0805d0a36aef0274
Didelez_2010,Smo,S,4,xarm_flip,0.3,1000,1000,0,496,0.496,0.0,0.504,360032ddfdb9ab98
Didelez_2010,Smo,S,4,xarm_tiered,0.0,4000,3687,313,3545,0.9614863032275562,0.07825,0.03550000000000004,360032ddfdb9ab98
Didelez_2010,Smo,S,4,xarm_tiered,0.1,6000,4442,1558,3686,0.829806393516434,0.25966666666666666,0.126,360032ddfdb9ab98
Didelez_2010,Smo,TCI,4,xarm_flip,0.3,1000,1000,0,496,0.496,0.0,0.504,360032ddfdb9ab98
Didelez_2010,Smo,TCI,4,xarm_tiered,0.0,4000,3687,313,3545,0.9614863032275562,0.07825,0.03550000000000004,360032ddfdb9ab98
Didelez_2010,Smo,TCI,4,xarm_tiered,0.1,6000,4442,1558,3686,0.829806393516434,0.25966666666666666,0.126,360032ddfdb9ab98
Didelez_2010,Thist,S,3,xarm_flip,0.4,1000,1000,0,0,0.0,0.0,1.0,b5988dcb0a7fc204
Didelez_2010,Thist,S,3,xarm_tiered,0.0,4000,3555,445,3322,0.9344585091420534,0.11125,0.05825000000000003,b5988dcb0a7fc204
Didelez_2010,Thist,S,3,xarm_tiered,0.1,5000,3688,1312,3028,0.8210412147505423,0.2624,0.13200000000000003,b5988dcb0a7fc204
Didelez_2010,Thist,S,3,xarm_tiered,0.2,1000,656,344,454,0.6920731707317073,0.344,0.20200000000000004,b5988dcb0a7fc204
Didelez_2010,Thist,S,4,xarm_flip,0.3,1000,1000,0,504,0.504,0.0,0.496,ea5a92d01ff75433
Didelez_2010,Thist,S,4,xarm_tiered,0.0,4000,3687,313,3540,0.9601301871440195,0.07825,0.036749999999999984,ea5a92d01ff75433
Didelez_2010,Thist,S,4,xarm_tiered,0.1,6000,4442,1558,3724,0.8383610986042324,0.25966666666666666,0.11966666666666664,ea5a92d01ff75433
Didelez_2010,Thist,TCI,3,xarm_flip,0.4,1000,1000,0,0,0.0,0.0,1.0,b5988dcb0a7fc204
Didelez_2010,Thist,TCI,3,xarm_tiered,0.0,4000,3555,445,3322,0.9344585091420534,0.11125,0.05825000000000003,b5988dcb0a7fc204
Didelez_2010,Thist,TCI,3,xarm_tiered,0.1,5000,3688,1312,3028,0.8210412147505423,0.2624,0.13200000000000003,b5988dcb0a7fc204
Didelez_2010,Thist,TCI,3,xarm_tiered,0.2,1000,656,344,454,0.6920731707317073,0.344,0.20200000000000004,b5988dcb0a7fc204
Didelez_2010,Thist,TCI,4,xarm_flip,0.3,1000,1000,0,504,0.504,0.0,0.496,ea5a92d01ff75433
Didelez_2010,Thist,TCI,4,xarm_tiered,0.0,4000,3687,313,3540,0.9601301871440195,0.07825,0.036749999999999984,ea5a92d01ff75433
Didelez_2010,Thist,TCI,4,xarm_tiered,0.1,6000,4442,1558,3724,0.8383610986042324,0.25966666666666666,0.11966666666666664,ea5a92d01ff75433
Kampen_2014,ALN,DET,4,xarm_flip,0.3,1000,856,144,593,0.6927570093457944,0.144,0.26299999999999996,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_flip,0.35,1000,243,757,101,0.4156378600823045,0.757,0.142,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_flip,0.5,1000,165,835,0,0.0,0.835,0.16500000000000004,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_flip,0.6,1000,82,918,0,0.0,0.918,0.08199999999999996,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_tiered,0.0,2000,1659,341,1595,0.9614225437010248,0.1705,0.031999999999999966,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_tiered,0.05,2000,1352,648,1247,0.9223372781065089,0.324,0.052499999999999984,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_tiered,0.1,1000,563,437,478,0.8490230905861457,0.437,0.08499999999999998,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_tiered,0.15,4000,1601,2399,1182,0.7382885696439725,0.59975,0.10475000000000001,1fdcb380c7655276
Kampen_2014,ALN,DET,4,xarm_tiered,0.25,1000,319,681,183,0.5736677115987461,0.681,0.13599999999999998,1fdcb380c7655276
Kampen_2014,ALN,EGC,4,xarm_flip,0.3,1000,856,144,593,0.6927570093457944,0.144,0.26299999999999996,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_flip,0.35,1000,243,757,101,0.4156378600823045,0.757,0.142,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_flip,0.5,1000,165,835,0,0.0,0.835,0.16500000000000004,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_flip,0.6,1000,82,918,0,0.0,0.918,0.08199999999999996,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_tiered,0.0,2000,1659,341,1595,0.9614225437010248,0.1705,0.031999999999999966,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_tiered,0.05,2000,1352,648,1247,0.9223372781065089,0.324,0.052499999999999984,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_tiered,0.1,1000,563,437,478,0.8490230905861457,0.437,0.08499999999999998,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_tiered,0.15,4000,1601,2399,1182,0.7382885696439725,0.59975,0.10475000000000001,6341704d6955fb56
Kampen_2014,ALN,EGC,4,xarm_tiered,0.25,1000,319,681,183,0.5736677115987461,0.681,0.13599999999999998,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_flip,0.3,1000,856,144,593,0.6927570093457944,0.144,0.26299999999999996,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_flip,0.35,1000,243,757,101,0.4156378600823045,0.757,0.142,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_flip,0.5,1000,165,835,0,0.0,0.835,0.16500000000000004,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_flip,0.6,1000,82,918,0,0.0,0.918,0.08199999999999996,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_tiered,0.0,2000,1659,341,1595,0.9614225437010248,0.1705,0.031999999999999966,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_tiered,0.05,2000,1352,648,1247,0.9223372781065089,0.324,0.052499999999999984,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_tiered,0.1,1000,563,437,478,0.8490230905861457,0.437,0.08499999999999998,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_tiered,0.15,4000,1601,2399,1182,0.7382885696439725,0.59975,0.10475000000000001,6341704d6955fb56
Kampen_2014,ALN,FTW,4,xarm_tiered,0.25,1000,319,681,183,0.5736677115987461,0.681,0.13599999999999998,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_flip,0.3,1000,856,144,593,0.6927570093457944,0.144,0.26299999999999996,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_flip,0.35,1000,243,757,101,0.4156378600823045,0.757,0.142,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_flip,0.5,1000,165,835,0,0.0,0.835,0.16500000000000004,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_flip,0.6,1000,82,918,0,0.0,0.918,0.08199999999999996,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_tiered,0.0,2000,1659,341,1595,0.9614225437010248,0.1705,0.031999999999999966,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_tiered,0.05,2000,1352,648,1247,0.9223372781065089,0.324,0.052499999999999984,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_tiered,0.1,1000,563,437,478,0.8490230905861457,0.437,0.08499999999999998,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_tiered,0.15,4000,1601,2399,1182,0.7382885696439725,0.59975,0.10475000000000001,6341704d6955fb56
Kampen_2014,ALN,HOS,4,xarm_tiered,0.25,1000,319,681,183,0.5736677115987461,0.681,0.13599999999999998,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_flip,0.3,1000,856,144,593,0.6927570093457944,0.144,0.26299999999999996,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_flip,0.35,1000,243,757,101,0.4156378600823045,0.757,0.142,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_flip,0.5,1000,165,835,0,0.0,0.835,0.16500000000000004,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_flip,0.6,1000,82,918,0,0.0,0.918,0.08199999999999996,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_tiered,0.0,2000,1659,341,1595,0.9614225437010248,0.1705,0.031999999999999966,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_tiered,0.05,2000,1352,648,1247,0.9223372781065089,0.324,0.052499999999999984,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_tiered,0.1,1000,563,437,478,0.8490230905861457,0.437,0.08499999999999998,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_tiered,0.15,4000,1601,2399,1182,0.7382885696439725,0.59975,0.10475000000000001,6341704d6955fb56
Kampen_2014,ALN,SUS,4,xarm_tiered,0.25,1000,319,681,183,0.5736677115987461,0.681,0.13599999999999998,6341704d6955fb56
Kampen_2014,CDR,DET,3,xarm_flip,0.3,1000,1000,0,681,0.681,0.0,0.31899999999999995,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_flip,0.45,1000,581,419,383,0.6592082616179001,0.419,0.198,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_flip,0.5,1000,164,836,119,0.725609756097561,0.836,0.04500000000000001,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.0,2000,1579,421,1480,0.9373020899303357,0.2105,0.04949999999999996,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.05,1000,616,384,569,0.9237012987012987,0.384,0.04700000000000001,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.1,2000,1141,859,1001,0.8773006134969326,0.4295,0.06999999999999998,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.15,1000,419,581,334,0.7971360381861575,0.581,0.085,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.2,2000,798,1202,631,0.7907268170426065,0.601,0.0835,bc55a4f54c4528d1
Kampen_2014,CDR,DET,3,xarm_tiered,0.25,2000,679,1321,537,0.7908689248895434,0.6605,0.07100000000000002,bc55a4f54c4528d1
Kampen_2014,CDR,DET,4,xarm_flip,0.3,1000,856,144,567,0.6623831775700935,0.144,0.289,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_flip,0.35,1000,243,757,186,0.7654320987654321,0.757,0.05700000000000001,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_flip,0.5,1000,165,835,165,1.0,0.835,0.0,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_flip,0.6,1000,82,918,82,1.0,0.918,0.0,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_flip,0.65,1000,39,961,39,1.0,0.961,0.0,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_tiered,0.0,2000,1659,341,1618,0.9752863170584689,0.1705,0.02050000000000004,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_tiered,0.05,2000,1352,648,1252,0.9260355029585798,0.324,0.050000000000000024,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_tiered,0.1,1000,563,437,489,0.8685612788632326,0.437,0.07400000000000001,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_tiered,0.15,4000,1601,2399,1295,0.8088694565896315,0.59975,0.0765,677bc0b245b1220d
Kampen_2014,CDR,DET,4,xarm_tiered,0.25,1000,319,681,252,0.7899686520376176,0.681,0.06699999999999999,677bc0b245b1220d
Kampen_2014,PER,DET,2,xarm_flip,0.6,1000,1000,0,0,0.0,0.0,1.0,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.0,2000,1681,319,1525,0.9071980963712076,0.1595,0.07799999999999999,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.1,2000,1313,687,1087,0.8278750952018279,0.3435,0.11299999999999999,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.2,1000,522,478,385,0.7375478927203065,0.478,0.137,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.25,1000,406,594,309,0.7610837438423645,0.594,0.097,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.35,1000,409,591,315,0.7701711491442543,0.591,0.09399999999999999,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.4,2000,688,1312,492,0.7151162790697675,0.656,0.09799999999999998,c9e3604696fe3732
Kampen_2014,PER,DET,2,xarm_tiered,0.55,1000,355,645,240,0.676056338028169,0.645,0.115,c9e3604696fe3732
Kampen_2014,PER,DET,3,xarm_flip,0.3,1000,1000,0,814,0.814,0.0,0.18600000000000005,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_flip,0.45,1000,581,419,425,0.7314974182444062,0.419,0.156,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_flip,0.5,1000,164,836,104,0.6341463414634146,0.836,0.06000000000000001,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.0,2000,1579,421,1500,0.9499683343888538,0.2105,0.03949999999999996,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.05,1000,616,384,551,0.8944805194805194,0.384,0.06500000000000003,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.1,2000,1141,859,1000,0.8764241893076249,0.4295,0.07050000000000001,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.15,1000,419,581,363,0.8663484486873508,0.581,0.05600000000000001,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.2,2000,798,1202,669,0.8383458646616542,0.601,0.06449999999999999,dab9491bfa336dca
Kampen_2014,PER,DET,3,xarm_tiered,0.25,2000,679,1321,569,0.8379970544918999,0.6605,0.055,dab9491bfa336dca
Kampen_2014,PER,DET,4,xarm_flip,0.3,1000,856,144,856,1.0,0.144,0.0,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_flip,0.35,1000,243,757,243,1.0,0.757,0.0,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_flip,0.5,1000,165,835,130,0.7878787878787878,0.835,0.03500000000000001,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_flip,0.6,1000,82,918,27,0.32926829268292684,0.918,0.054999999999999966,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_flip,0.65,1000,39,961,0,0.0,0.961,0.039000000000000035,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_tiered,0.0,2000,1659,341,1659,1.0,0.1705,0.0,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_tiered,0.05,2000,1352,648,1349,0.9977810650887574,0.324,0.0014999999999999888,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_tiered,0.1,1000,563,437,559,0.9928952042628775,0.437,0.003999999999999982,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_tiered,0.15,4000,1601,2399,1571,0.981261711430356,0.59975,0.007500000000000007,7d6df3e606a023f0
Kampen_2014,PER,DET,4,xarm_tiered,0.25,1000,319,681,303,0.9498432601880877,0.681,0.01600000000000001,7d6df3e606a023f0
Polzer_2012,Caries,Mortality,4,xarm_flip,0.0,1000,724,276,499,0.6892265193370166,0.276,0.22499999999999995,9b1f7cfa792c52cf
Polzer_2012,Caries,Mortality,4,xarm_flip,0.05,1000,488,512,337,0.6905737704918032,0.512,0.15100000000000002,9b1f7cfa792c52cf
Polzer_2012,Caries,Mortality,4,xarm_flip,0.1,1000,252,748,252,1.0,0.748,0.0,9b1f7cfa792c52cf
Polzer_2012,Caries,Mortality,4,xarm_tiered,0.0,6000,4517,1483,4208,0.9315917644454283,0.24716666666666667,0.051500000000000025,9b1f7cfa792c52cf
Polzer_2012,Caries,Mortality,4,xarm_tiered,0.05,4000,2216,1784,1814,0.8185920577617328,0.446,0.10050000000000002,9b1f7cfa792c52cf
Polzer_2012,Caries,ToothLoss,4,xarm_flip,0.0,1000,724,276,499,0.6892265193370166,0.276,0.22499999999999995,0fcb04cc09906976
Polzer_2012,Caries,ToothLoss,4,xarm_flip,0.05,1000,488,512,337,0.6905737704918032,0.512,0.15100000000000002,0fcb04cc09906976
Polzer_2012,Caries,ToothLoss,4,xarm_flip,0.1,1000,252,748,252,1.0,0.748,0.0,0fcb04cc09906976
Polzer_2012,Caries,ToothLoss,4,xarm_tiered,0.0,6000,4517,1483,4208,0.9315917644454283,0.24716666666666667,0.051500000000000025,0fcb04cc09906976
Polzer_2012,Caries,ToothLoss,4,xarm_tiered,0.05,4000,2216,1784,1814,0.8185920577617328,0.446,0.10050000000000002,0fcb04cc09906976
Polzer_2012,Psychosocial,Caries,4,xarm_flip,0.0,1000,724,276,499,0.6892265193370166,0.276,0.22499999999999995,0e4234bb2a0a644e
Polzer_2012,Psychosocial,Caries,4,xarm_flip,0.05,1000,488,512,337,0.6905737704918032,0.512,0.15100000000000002,0e4234bb2a0a644e
Polzer_2012,Psychosocial,Caries,4,xarm_flip,0.1,1000,252,748,252,1.0,0.748,0.0,0e4234bb2a0a644e
Polzer_2012,Psychosocial,Caries,4,xarm_tiered,0.0,6000,4517,1483,4208,0.9315917644454283,0.24716666666666667,0.051500000000000025,0e4234bb2a0a644e
Polzer_2012,Psychosocial,Caries,4,xarm_tiered,0.05,4000,2216,1784,1814,0.8185920577617328,0.446,0.10050000000000002,0e4234bb2a0a644e
Polzer_2012,Smoking,Diabetes,3,xarm_flip,0.05,1000,663,337,0,0.0,0.337,0.663,769de68be0690502
Polzer_2012,Smoking,Diabetes,3,xarm_flip,0.1,2000,1659,341,0,0.0,0.1705,0.8295,769de68be0690502
Polzer_2012,Smoking,Diabetes,3,xarm_tiered,0.0,5000,3717,1283,2699,0.7261232176486414,0.2566,0.2036,769de68be0690502
