arm,intensity_bin,n_cells,n_draws
xarm_flip,0.0,268,268000
xarm_flip,0.05,430,430000
xarm_flip,0.1,353,353000
xarm_flip,0.15,172,172000
xarm_flip,0.2,194,194000
xarm_flip,0.25,93,93000
xarm_flip,0.3,73,73000
xarm_flip,0.35,143,143000
xarm_flip,0.4,16,16000
xarm_flip,0.45,34,34000
xarm_flip,0.5,42,42000
xarm_flip,0.55,2,2000
xarm_flip,0.6,29,29000
xarm_flip,0.65,14,14000
xarm_flip,0.7,3,3000
xarm_flip,0.75,6,6000
xarm_flip,0.8,11,11000
xarm_flip,0.85,20,20000
xarm_flip,1.0,7,7000
xarm_flip,1.05,6,6000
xarm_flip,1.1,18,18000
xarm_flip,1.2,11,11000
xarm_flip,1.25,1,1000
xarm_flip,1.35,12,12000
xarm_flip,1.45,6,6000
xarm_flip,1.5,39,39000
xarm_flip,1.6,3,3000
xarm_flip,1.75,1,1000
xarm_flip,1.8,2,2000
xarm_flip,1.9,2,2000
xarm_flip,2.0,4,4000
xarm_flip,2.25,1,1000
xarm_tiered,0.0,2534,2534000
xarm_tiered,0.05,1199,1199000
xarm_tiered,0.1,570,570000
xarm_tiered,0.15,211,211000
xarm_tiered,0.2,118,118000
xarm_tiered,0.25,58,58000
xarm_tiered,0.3,36,36000
xarm_tiered,0.35,25,25000
xarm_tiered,0.4,28,28000
xarm_tiered,0.45,41,41000
xarm_tiered,0.5,21,21000
xarm_tiered,0.55,1,1000
xarm_tiered,0.6,48,48000
xarm_tiered,0.65,12,12000
xarm_tiered,0.75,15,15000
xarm_tiered,0.8,4,4000
xarm_tiered,1.0,8,8000
xarm_tiered,1.3,2,2000
