stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov025_bw000,flip,radius,AUC_frac,ok,106,8,106,0,0,-0.5267509728699254,2.7547072097720332e-09,-0.9219103336365858,-0.08970719583905339,8,-0.7655935100476603,-0.32057399971420125,barley,insurance,False
flip_cov025_bw000,flip,radius,AUC_frac_usable,ok,106,8,106,0,0,-0.5267509728699254,2.7547072097720332e-09,-0.9219103336365858,-0.08970719583905339,8,-0.7655935100476603,-0.32057399971420125,barley,insurance,False
flip_cov025_bw000,flip,shd_truth,AUC_frac,ok,106,8,106,0,0,-0.32228931435067226,8.100030976821283e-05,-0.7916116105051918,0.6698331831133948,6,-0.4957152119265598,0.3001552658871953,Kampen_2014,insurance,True
flip_cov025_bw000,flip,shd_truth,AUC_frac_usable,ok,106,8,106,0,0,-0.32228931435067226,8.100030976821283e-05,-0.7916116105051918,0.6698331831133948,6,-0.4957152119265598,0.3001552658871953,Kampen_2014,insurance,True
flip_cov025_bw000,flip,n_k,AUC_frac,ok,106,8,106,0,0,0.8244001199323044,1.9841237442967085e-20,0.41127239320508663,0.9902946564969836,228,0.6263705197599004,0.9420508516391006,insurance,barley,False
flip_cov025_bw000,flip,n_k,AUC_frac_usable,ok,106,8,106,0,0,0.8244001199323044,1.9841237442967085e-20,0.41127239320508663,0.9902946564969836,228,0.6263705197599004,0.9420508516391006,insurance,barley,False
flip_cov025_bw000,flip,k_g0,AUC_frac,ok,106,8,106,0,0,-0.6180666906681382,5.226612055224276e-14,-0.8986383041049504,0.09123501781522494,9,-0.783799839017847,-0.3033620292453971,Polzer_2012,insurance,False
flip_cov025_bw000,flip,k_g0,AUC_frac_usable,ok,106,8,106,0,0,-0.6180666906681382,5.226612055224276e-14,-0.8986383041049504,0.09123501781522494,9,-0.783799839017847,-0.3033620292453971,Polzer_2012,insurance,False
flip_cov025_bw000,flip,separation,AUC_frac,ok,58,5,106,0,48,-0.49369746129704073,0.00015476198334241553,-0.8375427533398455,0.3816612668068967,897,-0.7437001611350523,-0.14113496640665685,Polzer_2012,insurance,False
flip_cov025_bw000,flip,separation,AUC_frac_usable,ok,58,5,106,0,48,-0.49369746129704073,0.00015476198334241553,-0.8375427533398455,0.3816612668068967,897,-0.7437001611350523,-0.14113496640665685,Polzer_2012,insurance,False
flip_cov025_bw000,flip,phi_1,AUC_frac,ok,106,8,106,0,0,-0.8244001199323044,1.9841237442967085e-20,-0.9902946564969836,-0.41127239320508663,228,-0.9420508516391006,-0.6263705197599004,barley,insurance,False
flip_cov025_bw000,flip,phi_1,AUC_frac_usable,ok,106,8,106,0,0,-0.8244001199323044,1.9841237442967085e-20,-0.9902946564969836,-0.41127239320508663,228,-0.9420508516391006,-0.6263705197599004,barley,insurance,False
flip_cov025_bw000,flip,r_claim,AUC_frac,undefined (predictor constant),106,8,106,0,0,,,,,,,,,,
flip_cov025_bw000,flip,r_claim,AUC_frac_usable,undefined (predictor constant),106,8,106,0,0,,,,,,,,,,
