stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,scope_note
flip_cov025_bw000,flip,radius,shd_truth,AUC_frac_usable,ok,106,106,0,8,-0.5267509728699254,-0.32228931435067226,-0.2044616585192532,-1.282281408011423,0.23112966245672367,0.19365492393915132,10000,9992,8,0,-0.6207292656013965,-0.002608041637915337,insurance,Kampen_2014,8,False,
flip_cov025_bw000,flip,radius,n_k,AUC_frac_usable,ok,106,106,0,8,-0.5267509728699254,0.8244001199323044,-1.35115109280223,-1.902504061608846,-0.5565433498133823,0.0,10000,9772,228,0,-1.707644361686761,-0.9469445194741017,barley,insurance,8,False,
flip_cov025_bw000,flip,radius,k_g0,AUC_frac_usable,ok,106,106,0,8,-0.5267509728699254,-0.6180666906681382,0.09131571779821279,-0.49784425324579795,0.38931139208410037,0.5959555511062168,10000,9989,11,0,-0.0727820616791578,0.28391142059105356,barley,Polzer_2012,8,True,
flip_cov025_bw000,flip,radius,separation,AUC_frac_usable,ok,106,58,48,5,-0.7176305227933403,-0.49369746129704073,-0.22393306149629955,-0.9041661602159093,0.06475405224692377,0.2183895419092607,10000,9103,897,0,-0.47799227803444183,0.034771336940982556,insurance,Polzer_2012,5,True,
flip_cov025_bw000,flip,radius,phi_1,AUC_frac_usable,ok,106,106,0,8,-0.5267509728699254,-0.8244001199323044,0.297649147062379,0.03485569590469198,0.3645490994858019,0.9767703643061809,10000,9772,228,0,0.17645734159144033,0.32172725352649834,barley,munin1,8,False,
flip_cov025_bw000,flip,radius,r_claim,AUC_frac_usable,undefined (predictor or endpoint constant on matched sample),106,106,0,8,-0.5267509728699254,,,,,,10000,0,0,0,,,,,0,,
flip_cov025_bw010,flip,radius,shd_truth,AUC_frac_usable,ok,318,318,0,8,-0.513414151685496,-0.33695805307406584,-0.17645609861143013,-1.2344343271441431,0.21358160857816863,0.21297037630104082,10000,9992,8,0,-0.5334729983040319,0.02100920605693507,insurance,Kampen_2014,8,True,
flip_cov025_bw010,flip,radius,n_k,AUC_frac_usable,ok,318,318,0,8,-0.513414151685496,0.7925961738316143,-1.3060103255171103,-1.895426146118135,-0.5066615054817251,0.0,10000,9772,228,0,-1.6772154959710481,-0.8936477678696797,barley,insurance,8,False,
flip_cov025_bw010,flip,radius,k_g0,AUC_frac_usable,ok,318,318,0,8,-0.513414151685496,-0.5650941697847244,0.0516800180992284,-0.49181172108620796,0.28660128445075583,0.548503353689058,10000,9989,11,0,-0.0897511648803403,0.23081443875995278,insurance,Polzer_2012,8,True,
flip_cov025_bw010,flip,radius,separation,AUC_frac_usable,ok,318,174,144,5,-0.7023505298689791,-0.48274625516431485,-0.2196042747046642,-0.8317255370998902,0.06056776235328876,0.2183895419092607,10000,9103,897,0,-0.4432932396416789,0.03200610273267401,insurance,Polzer_2012,5,True,
flip_cov025_bw010,flip,radius,phi_1,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov025_bw010,flip,radius,r_claim,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov025_bw025,flip,radius,shd_truth,AUC_frac_usable,ok,318,318,0,8,-0.520992930173906,-0.38636818549927426,-0.13462474467463176,-1.28730765898908,0.23762992324329235,0.25200160128102483,10000,9992,8,0,-0.4959909369581237,0.07219348983325824,barley,Kampen_2014,8,True,
flip_cov025_bw025,flip,radius,n_k,AUC_frac_usable,ok,318,318,0,8,-0.520992930173906,0.8019290158944388,-1.3229219460683448,-1.895049649390773,-0.5249503906737324,0.0,10000,9772,228,0,-1.6978196856529444,-0.9153998696109233,barley,insurance,8,False,
flip_cov025_bw025,flip,radius,k_g0,AUC_frac_usable,ok,318,318,0,8,-0.520992930173906,-0.5244321932304932,0.0034392630565871496,-0.5175600510309915,0.2943420563168357,0.48793673040344376,10000,9989,11,0,-0.19463252236109363,0.17809538454873047,insurance,Polzer_2012,8,True,
flip_cov025_bw025,flip,radius,separation,AUC_frac_usable,ok,318,174,144,5,-0.7157759521045614,-0.49088278273442937,-0.22489316937013198,-0.8317255370998902,0.05625764512624609,0.20619575963967923,10000,9103,897,0,-0.4525369168779668,0.027995836981465683,insurance,Polzer_2012,5,True,
flip_cov025_bw025,flip,radius,phi_1,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov025_bw025,flip,radius,r_claim,AUC_frac_usable,insufficient_n,318,0,318,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov025_bwa1,flip,radius,shd_truth,AUC_frac_usable,ok,318,112,206,5,0.0785662691340324,-0.2643648649393593,0.3429311340733917,-0.2418797404110291,0.638316560393716,0.7816965643052599,10000,9867,133,0,0.03486698803958588,0.39526657133383275,barley,Sebastiani_2005,5,False,
