stratum,predictor,endpoint,stratum_n,n,tau_b,ci_lo_2p5,ci_hi_97p5,n_boot,n_boot_nan,status
n_tiers=2,r_val,AUC_frac,160,160,0.4466297970764342,0.36350349436294344,0.5174909766422887,10000,0,ok
n_tiers=2,separation,AUC_frac,160,160,0.38250824965393565,0.2694891282893605,0.48608292390005936,10000,0,ok
n_tiers=2,n_k,AUC_frac,160,160,-0.0942754721804296,-0.21659490834995543,0.029603477610735014,10000,0,ok
n_tiers=2,k_g0,AUC_frac,160,160,0.0024814924928761323,-0.10333319422935704,0.11095953699622815,10000,0,ok
n_tiers=2,shd_truth,AUC_frac,160,160,0.10104697923388492,-0.007261956041065661,0.21155582113310673,10000,0,ok
n_tiers=3,r_val,AUC_frac,160,160,0.3510238407273412,0.22390288206894715,0.4659025993227001,10000,0,ok
n_tiers=3,separation,AUC_frac,160,160,0.4787726344428934,0.38047056797234624,0.5689332191963533,10000,0,ok
n_tiers=3,n_k,AUC_frac,160,160,0.10813426578359751,-0.006549637963762888,0.22035364965370877,10000,0,ok
n_tiers=3,k_g0,AUC_frac,160,160,0.16350096780054008,0.0542378182529894,0.2704635883492441,10000,0,ok
n_tiers=3,shd_truth,AUC_frac,160,160,0.18861950350087175,0.07702254910876427,0.29847985342099753,10000,0,ok
n_tiers=4,r_val,AUC_frac,160,160,0.1958746407538913,0.07399912621258095,0.3152142509979737,10000,0,ok
n_tiers=4,separation,AUC_frac,160,160,0.42217702773929733,0.3162398448637393,0.5211464549778636,10000,0,ok
n_tiers=4,n_k,AUC_frac,160,160,0.20403115743879,0.09139920489523684,0.3111049961479648,10000,0,ok
n_tiers=4,k_g0,AUC_frac,160,160,0.2486794707880801,0.14442959594982818,0.3489036430472074,10000,0,ok
n_tiers=4,shd_truth,AUC_frac,160,160,0.28294330711921567,0.1847886363031694,0.37936803033959915,10000,0,ok
pooled,r_val,AUC_frac,480,480,0.2917711592106407,0.22006069276072937,0.36014402671390033,10000,0,ok
pooled,separation,AUC_frac,480,480,0.34481590762349107,0.28146875986983255,0.4045662711445969,10000,0,ok
pooled,n_k,AUC_frac,480,480,0.17336357899733162,0.10758116919882563,0.23751752428885015,10000,0,ok
pooled,k_g0,AUC_frac,480,480,0.21746628171933668,0.15551758086659875,0.27833311601943705,10000,0,ok
pooled,shd_truth,AUC_frac,480,480,-0.014830390834861953,-0.07758958708874164,0.04944947645616193,10000,0,ok
