predictor_a,predictor_b,endpoint,cluster_col,stratum_n,n,n_excluded,n_excluded_missing,n_excluded_censored,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,status,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,stratum
r_val,separation,AUC_frac,instance_id,160,160,0,0,0,160,0.4466297970764342,0.38250824965393565,0.06412154742249854,-0.037466817164263214,0.1651147432019142,0.8943,10000,10000,0,0,ok,0.04450759874967303,0.07482681816782999,u2_c06_seed00000059_xC05_tiered_nt2,u2_c08_seed00000008_xC04_tiered_nt2,160,False,n_tiers=2
r_val,n_k,AUC_frac,instance_id,160,160,0,0,0,160,0.4466297970764342,-0.0942754721804296,0.5409052692568638,0.3754415855113501,0.7013459050491154,1.0,10000,10000,0,0,ok,0.5187375299463662,0.5585427050005582,u2_c12_seed00000046_xC09_tiered_nt2,u2_c12_seed00000016_xC11_tiered_nt2,160,False,n_tiers=2
r_val,k_g0,AUC_frac,instance_id,160,160,0,0,0,160,0.4466297970764342,0.0024814924928761323,0.44414830458355803,0.3092947121851409,0.5749402386235644,1.0,10000,10000,0,0,ok,0.4253805123885508,0.4599719466380207,u2_c06_seed00000004_xC04_tiered_nt2,u2_c12_seed00000016_xC11_tiered_nt2,160,False,n_tiers=2
r_val,shd_truth,AUC_frac,instance_id,160,160,0,0,0,160,0.4466297970764342,0.10104697923388492,0.3455828178425493,0.21353947205339943,0.4730203920502982,1.0,10000,10000,0,0,ok,0.3262722548085722,0.3564868031679593,u2_c06_seed00000004_xC04_tiered_nt2,u2_c06_seed00000050_xC04_tiered_nt2,160,False,n_tiers=2
r_val,r_claim,AUC_frac,instance_id,160,160,0,0,0,160,0.4466297970764342,0.14059422980839825,0.30603556726803594,0.20123379126962765,0.4151316877310411,1.0,10000,9984,16,0,ok,0.29295122229225057,0.3263401307862388,u2_c12_seed00000046_xC09_tiered_nt2,u2_c12_seed00000073_xC06_tiered_nt2,160,False,n_tiers=2
r_val,separation,AUC_frac,instance_id,160,160,0,0,0,160,0.3510238407273412,0.4787726344428934,-0.1277487937155522,-0.23877615015305353,-0.020882104904715395,0.0081,10000,10000,0,0,ok,-0.1421668453589095,-0.10499605847145088,u2_c10_seed00000025_xC03_tiered_nt3,u2_c08_seed00000027_xC07_tiered_nt3,160,False,n_tiers=3
r_val,n_k,AUC_frac,instance_id,160,160,0,0,0,160,0.3510238407273412,0.10813426578359751,0.2428895749437437,0.06390318409034991,0.409085502778269,0.9957,10000,10000,0,0,ok,0.2190956703635753,0.2604958526906984,u2_c12_seed00000004_xC11_tiered_nt3,u2_c06_seed00000013_xC04_tiered_nt3,160,False,n_tiers=3
r_val,k_g0,AUC_frac,instance_id,160,160,0,0,0,160,0.3510238407273412,0.16350096780054008,0.18752287292680114,0.020929549393917234,0.34195136033221796,0.9866,10000,10000,0,0,ok,0.16747812653935856,0.2053713160808561,u2_c06_seed00000004_xC04_tiered_nt3,u2_c06_seed00000039_xC05_tiered_nt3,160,False,n_tiers=3
r_val,shd_truth,AUC_frac,instance_id,160,160,0,0,0,160,0.3510238407273412,0.18861950350087175,0.16240433722646946,-0.007617718100472832,0.3254651118254404,0.9706,10000,10000,0,0,ok,0.14187489669598255,0.18755225132893885,u2_c06_seed00000004_xC04_tiered_nt3,u2_c06_seed00000025_xC03_tiered_nt3,160,False,n_tiers=3
r_val,r_claim,AUC_frac,instance_id,160,160,0,0,0,160,0.3510238407273412,0.24895288157473877,0.10207095915260245,0.05165807381540409,0.1591714847016689,1.0,10000,10000,0,0,ok,0.09117279211947321,0.1071295156208305,u2_c12_seed00000014_xC05_tiered_nt3,u2_c08_seed00000021_xC07_tiered_nt3,160,False,n_tiers=3
r_val,separation,AUC_frac,instance_id,160,160,0,0,0,160,0.1958746407538913,0.42217702773929733,-0.22630238698540603,-0.3254707078448784,-0.1301569334026559,0.0,10000,10000,0,0,ok,-0.2397169875151199,-0.21231797690431084,u2_c10_seed00000025_xC03_tiered_nt4,u2_c12_seed00000030_xC08_tiered_nt4,160,False,n_tiers=4
r_val,n_k,AUC_frac,instance_id,160,160,0,0,0,160,0.1958746407538913,0.20403115743879,-0.008156516684898696,-0.17993288974417826,0.16878586338974882,0.4644,10000,10000,0,0,ok,-0.034902748527743443,0.009716162440847137,u2_c08_seed00000004_xC07_tiered_nt4,u2_c06_seed00000013_xC04_tiered_nt4,160,True,n_tiers=4
r_val,k_g0,AUC_frac,instance_id,160,160,0,0,0,160,0.1958746407538913,0.2486794707880801,-0.05280483003418879,-0.21187079533960262,0.11139991864261573,0.2632,10000,10000,0,0,ok,-0.07604279391221475,-0.03604482541006673,u2_c08_seed00000004_xC07_tiered_nt4,u2_c06_seed00000013_xC04_tiered_nt4,160,False,n_tiers=4
r_val,shd_truth,AUC_frac,instance_id,160,160,0,0,0,160,0.1958746407538913,0.28294330711921567,-0.08706866636532437,-0.23506070161438505,0.06289607255724403,0.1295,10000,10000,0,0,ok,-0.10796927382633556,-0.06942075925400384,u2_c06_seed00000004_xC04_tiered_nt4,u2_c06_seed00000013_xC04_tiered_nt4,160,False,n_tiers=4
r_val,r_claim,AUC_frac,instance_id,160,160,0,0,0,160,0.1958746407538913,0.13869559634844852,0.057179044405442775,0.013996941899835792,0.10594141125170112,0.9953,10000,10000,0,0,ok,0.04512822285007126,0.06422546730127487,u2_c10_seed00000021_xC07_tiered_nt4,u2_c06_seed00000005_xC02_tiered_nt4,160,False,n_tiers=4
r_val,separation,AUC_frac,instance_id,480,480,0,0,0,480,0.2917711592106407,0.34481590762349107,-0.053044748412850395,-0.12508294329736272,0.01748460828030464,0.0739,10000,10000,0,0,ok,-0.05928662838926868,-0.045696844627023114,u2_c10_seed00000025_xC03_tiered_nt4,u2_c12_seed00000030_xC08_tiered_nt4,480,False,pooled
r_val,n_k,AUC_frac,instance_id,480,480,0,0,0,480,0.2917711592106407,0.17336357899733162,0.11840758021330905,0.027538921034909514,0.20677820185014936,0.9938,10000,10000,0,0,ok,0.1107962026617014,0.12430870260099058,u2_c12_seed00000004_xC11_tiered_nt3,u2_c06_seed00000013_xC04_tiered_nt4,480,False,pooled
r_val,k_g0,AUC_frac,instance_id,480,480,0,0,0,480,0.2917711592106407,0.21746628171933668,0.07430487749130399,-0.011975584447380215,0.15650882329458785,0.9541,10000,10000,0,0,ok,0.0675946135819018,0.08030383536503563,u2_c06_seed00000004_xC04_tiered_nt3,u2_c06_seed00000013_xC04_tiered_nt4,480,False,pooled
r_val,shd_truth,AUC_frac,instance_id,480,480,0,0,0,480,0.2917711592106407,-0.014830390834861953,0.3066015500455026,0.19859206778518806,0.41155018978801683,1.0,10000,10000,0,0,ok,0.2994159648316821,0.31574754086952733,u2_c06_seed00000004_xC04_tiered_nt4,u2_c06_seed00000013_xC04_tiered_nt4,480,False,pooled
r_val,r_claim,AUC_frac,instance_id,480,480,0,0,0,480,0.2917711592106407,0.19386141452035796,0.09790974469028271,0.06361020226184315,0.1348328906900615,1.0,10000,10000,0,0,ok,0.0939953491870445,0.10122909188784349,u2_c10_seed00000021_xC07_tiered_nt4,u2_c06_seed00000005_xC02_tiered_nt4,480,False,pooled
