instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,d,n_eval,n_contradictory,S,S_contra_as_fail
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,0,5670,0,0.882363315696649,0.882363315696649
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,1,1179,725,0.8982188295165394,0.5561974789915967
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,2,712,335,0.8960674157303371,0.609360076408787
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,3,11,1241,0.5454545454545454,0.004792332268370607
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,4,0,863,,0.0
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,5,0,240,,0.0
u2_c06_seed00000000_xC04_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,6,0,24,,0.0
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,0,5859,0,0.8713090971155487,0.8713090971155487
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,1,1287,1086,0.846930846930847,0.45933417614833544
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,2,175,1134,0.9428571428571428,0.12605042016806722
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,3,20,520,1.0,0.037037037037037035
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,4,0,626,,0.0
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,5,0,252,,0.0
u2_c06_seed00000000_xC04_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,6,0,41,,0.0
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,0,4618,0,0.8533997401472498,0.8533997401472498
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,1,1247,1536,0.863672814755413,0.3869924541861301
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,2,365,1786,0.7671232876712328,0.1301720130172013
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,3,31,805,0.12903225806451613,0.004784688995215311
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,4,6,442,0.0,0.0
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,5,0,163,,0.0
u2_c06_seed00000001_xC01_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,6,0,1,,0.0
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,fast_gate,6,1,,,2,0,4913,0,0.7756971300630979,0.7756971300630979
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,fast_gate,6,1,,,2,1,2728,0,0.7642961876832844,0.7642961876832844
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,fast_gate,6,1,,,2,2,755,1286,0.7549668874172185,0.2792748652621264
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,fast_gate,6,1,,,2,3,106,991,0.8490566037735849,0.0820419325432999
u2_c06_seed00000002_xC05_tiered_nt2,tiered_unconfounded,fast_gate,6,1,,,2,4,0,221,,0.0
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,0,6319,0,0.8724481721791423,0.8724481721791423
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,1,1516,0,0.895778364116095,0.895778364116095
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,2,1024,431,0.82421875,0.5800687285223368
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,3,43,781,0.7209302325581395,0.03762135922330097
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,4,0,833,,0.0
u2_c06_seed00000002_xC05_tiered_nt3,tiered_unconfounded,fast_gate,6,1,,,3,5,0,53,,0.0
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,0,6985,0,0.9146743020758769,0.9146743020758769
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,1,1354,583,0.879615952732644,0.6148683531233867
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,2,128,706,0.96875,0.1486810551558753
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,3,10,408,1.0,0.023923444976076555
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,4,0,689,,0.0
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,5,0,128,,0.0
u2_c06_seed00000002_xC05_tiered_nt4,tiered_unconfounded,fast_gate,6,1,,,4,6,0,9,,0.0
