network,source_file,sha256,source_format,n_nodes,n_edges,is_dag,n_undirected_edges,undirected_fraction,n_components,max_component_size,n_components_ge3,n_components_ge6,n_nodes_in_components,seconds_to_cpdag
Acid_1996,Acid_1996.txt,26b8f81b1b01e8e4a93e1c070d390acc9c0cd91fe66aeafb503c4ea9e379ca14,dagitty,18,22,True,1,0.045454545454545456,1,2,0,0,2,0.001
Didelez_2010,Didelez_2010.txt,eefa012eaa59b3570c71acda397ea8bd1b348414575d8740c61287c058bc0227,dagitty,7,11,True,3,0.2727272727272727,1,4,1,0,4,0.0
Kampen_2014,Kampen_2014.txt,0d4670c6e58458765ec6fe30c370e93d3fbb36b075df6c45d075aeb762c50467,dagitty,12,24,True,11,0.4583333333333333,1,7,1,1,7,0.001
M-bias,M-bias.txt,54e23d916898f7334b1fca3fe43e3da44304378ad0faabce9e70fe198a6297f6,dagitty,3,1,False,,,,,,,,
Polzer_2012,Polzer_2012.txt,828a8617782766d76dc7f58ae2a828ff02ba592579f09d5617eb7aa61708287b,dagitty,14,69,True,9,0.13043478260869565,2,5,2,0,8,0.005
Schipf_2010,Schipf_2010.txt,b5329a25f9940b9e4a218d0bdd34d1a521a4ab3d10093f9a88a190bef338e439,dagitty,7,14,True,6,0.42857142857142855,1,5,1,0,5,0.0
Sebastiani_2005,Sebastiani_2005.txt,a9d73e89b87e6d85a1d31dffafe8c6e56d1c4637fee93168769405e89041cce4,dagitty,36,60,True,7,0.11666666666666667,5,4,1,0,12,0.005
Shrier_2008,Shrier_2008.txt,6145e8dbc79e6ae9b173dba30f324d4bc530b7cc50b551d764c6cc321185771e,dagitty,13,19,True,3,0.15789473684210525,2,3,1,0,5,0.0
Thoemmes_2013,Thoemmes_2013.txt,fbb1cc96946c48de9e5227a64bad088768911be1a60307f6516b8d7c472b88be,dagitty,13,14,True,1,0.07142857142857142,1,2,0,0,2,0.0
alarm,alarm.bif.gz,f5860caa7137b5817e0c4f169cce0f1451ce6c246b96f5ce4fb4a8167993be29,bif,37,46,True,4,0.08695652173913043,4,2,0,0,8,0.001
andes,andes.bif.gz,dc9cd41e8658c4fd2b96305cc60392224032f02934d27e43123a61c2eab9dab7,bif,223,338,True,10,0.029585798816568046,4,5,3,0,14,0.011
arth150,arth150.json,96e141aa767bb2556aea2eabb835603a286d951e95646f8ae0197d679acd551a,bnjson,107,150,True,45,0.3,8,19,5,2,51,0.152
asia,asia.bif.gz,7d5e7b8549834824c1b05f367eb7860fa3fca3adaf3649f0c7be6035af197197,bif,8,8,True,3,0.375,2,3,1,0,5,0.0
barley,barley.bif.gz,b8a18fdb91701da379f260eea0808bdaa690612f7de9a34397df8d8f5d43afd9,bif,48,84,True,9,0.10714285714285714,4,4,3,0,13,0.002
cancer,cancer.bif.gz,dcfafbaadabcd1b8c9ec531e16721a19fc06829e980a3967d6345496ea081818,bif,5,4,True,0,0.0,0,0,0,0,0,0.0
child,child.bif.gz,2bc3236dcbdbf9c9f1bbdeb060aa93c0bdee389d23a549b7248b9d89ed8a980c,bif,20,25,True,12,0.48,1,12,1,1,12,0.001
confounding,confounding.txt,8da9fd8abc0bbb38f4ec85e01ab7f21fd446485659076340b193a0f24a0dce0a,dagitty,5,7,True,0,0.0,0,0,0,0,0,0.0
diabetes,diabetes.bif.gz,2100374d7be11024e708a50cac537102ef9f9b693aba4cc0e6918a60e4599d59,bif,413,602,True,26,0.04318936877076412,25,3,1,0,51,0.693
earthquake,earthquake.bif.gz,77a41f1d509cea15eb7caf9dba932907837149e7145a2cc9d6c95c80849e62b0,bif,5,4,True,0,0.0,0,0,0,0,0,0.0
ecoli70,ecoli70.json,e3cfe98302c885deb4f13f012e9209b03ef803e718ba7ca666fb09324b2ad921,bnjson,46,70,True,25,0.35714285714285715,4,10,3,2,25,0.01
hailfinder,hailfinder.bif.gz,efa122a88c4b550569ec821c7879bed9007f2b1e012e1ea52ea26069c7f26099,bif,56,66,True,17,0.25757575757575757,1,18,1,1,18,0.003
hepar2,hepar2.bif.gz,f98d4a65c496b79d76b15797e6a6cbeafaff32a17d66a844d8e5b9506d379fcd,bif,70,123,True,9,0.07317073170731707,5,6,1,1,14,0.025
insurance,insurance.bif.gz,92bcecd1b85387726af564bf1b50cd400ddbbea1b017303cc54d4654e50a8971,bif,27,52,True,18,0.34615384615384615,1,11,1,1,11,0.001
link,link.bif.gz,5d09fd46f685fed1ba795f7cd944e1860938175c541826a2a342ffa5ec6ed1c5,bif,724,1125,True,118,0.10488888888888889,118,2,0,0,236,1.975
magic-irri,magic-irri.json,d592e1ed92ae08d8f7152cc8cfc607089b1f19680b4df79377166bf7dd561338,bnjson,64,102,True,12,0.11764705882352941,9,4,1,0,20,0.004
magic-niab,magic-niab.json,1694a2ccae07a5cee0a1fa9e3131f3f2d552a79c825fddecfaa996624e629d6d,bnjson,44,66,True,10,0.15151515151515152,7,3,3,0,17,0.001
mediator,mediator.txt,85a16ce8c3a839eeeb24cfb18809771c39dd3bd884a72b73c325a1b92245436e,dagitty,4,5,True,5,1.0,1,4,1,0,4,0.0
mildew,mildew.bif.gz,06f4342f1bef2eef67988b41382b327ca7bf4b308841534c9a3b3c48ff61189a,bif,35,46,True,0,0.0,0,0,0,0,0,0.0
