network,pairs_screened,admissible,separation_measurable,separation_undefined,sep_ge2,sep_ge2_pct,max_separation,radius_1_pct,max_radius,max_component,law_agree_pct,censored_runs
Acid_1996,918,10,0,10,0,,,100.0,1,2,,0
Didelez_2010,126,8,8,0,5,62.5,2,37.5,2,4,100.0,0
Kampen_2014,396,42,42,0,18,42.9,2,40.5,4,7,83.3,0
Polzer_2012,546,66,49,17,0,0.0,1,66.7,2,5,55.1,0
Schipf_2010,126,13,13,0,2,15.4,2,69.2,2,5,53.8,0
Sebastiani_2005,3780,11,0,11,0,,,100.0,1,4,,0
Shrier_2008,468,10,3,7,0,0.0,1,90.0,2,3,100.0,0
Thoemmes_2013,468,0,0,0,0,,,,,,,0
alarm,3996,0,0,0,0,,,,,,,0
andes,7428,0,0,0,0,,,,,,,0
arth150,6807,6,6,0,0,0.0,1,100.0,1,3,100.0,0
asia,168,3,1,2,1,100.0,2,100.0,1,3,0.0,0
barley,6768,189,7,182,7,100.0,2,68.3,2,4,0.0,0
cancer,60,0,0,0,0,,,,,,,0
child,1140,35,35,0,34,97.1,2,2.9,2,12,100.0,0
confounding,60,0,0,0,0,,,,,,,0
diabetes,7509,89,8,81,0,0.0,1,100.0,1,3,100.0,0
earthquake,60,0,0,0,0,,,,,,,0
ecoli70,6210,32,23,9,0,0.0,1,100.0,1,10,100.0,0
hailfinder,9240,11,8,3,8,100.0,2,0.0,2,18,100.0,0
hepar2,7245,11,4,7,0,0.0,1,100.0,1,6,100.0,0
insurance,2106,160,160,0,104,65.0,2,25.6,3,11,65.6,0
link,1200,0,0,0,0,,,,,,,0
magic-irri,6048,11,9,2,0,0.0,1,72.7,2,4,66.7,0
magic-niab,5676,48,41,7,11,26.8,2,75.0,2,3,87.8,0
mediator,36,4,4,0,0,0.0,1,100.0,1,4,100.0,0
mildew,3570,0,0,0,0,,,,,,,0
munin,1200,0,0,0,0,,,,,,,0
munin1,7374,6,0,6,0,,,100.0,1,6,,0
munin2,1200,0,0,0,0,,,,,,,0
munin3,1200,0,0,0,0,,,,,,,0
munin4,1203,0,0,0,0,,,,,,,0
pathfinder,1416,3,2,1,0,0.0,1,66.7,2,85,50.0,3
paths,816,20,20,0,16,80.0,7,5.0,14,15,35.0,0
pigs,7464,0,0,0,0,,,,,,,0
sachs,330,13,13,0,0,0.0,1,84.6,2,8,84.6,0
survey,90,0,0,0,0,,,,,,,0
water,2976,23,0,23,0,,,78.3,2,4,,0
win95pts,8550,7,7,0,4,57.1,2,100.0,1,4,42.9,0
