cpdag,g0,x,y,z,r,L_descendant,L_backdoor,L_combined,U,admissible,tight,u_valid,exact_cert
,,V0,V1,,-1,-1,-1,-1,-1,,False,,False
,,V0,V2,,-1,-1,-1,-1,-1,,False,,False
,,V0,V3,,-1,-1,-1,-1,-1,,False,,False
,,V1,V0,,-1,-1,-1,-1,-1,,False,,False
,,V1,V2,,-1,-1,-1,-1,-1,,False,,False
,,V1,V3,,-1,-1,-1,-1,-1,,False,,False
,,V2,V0,,-1,-1,-1,-1,-1,,False,,False
,,V2,V1,,-1,-1,-1,-1,-1,,False,,False
,,V2,V3,,-1,-1,-1,-1,-1,,False,,False
,,V3,V0,,-1,-1,-1,-1,-1,,False,,False
,,V3,V1,,-1,-1,-1,-1,-1,,False,,False
,,V3,V2,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V0,V1,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V0,V2,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V0,V3,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V1,V2,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V3,V0,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V3,V1,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V1->V2 V3->V1,V0->V1 V0->V2 V1->V2 V3->V1,V3,V2,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V0,V1,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V0,V2,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V0,V3,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V2,V1,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V3,V0,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V3,V1,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V2->V1 V3->V2,V0->V1 V0->V2 V2->V1 V3->V2,V3,V2,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V0,V1,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V0,V2,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V0,V3,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V3,V0,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V3,V1,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2,V0->V1 V0->V2 V3->V1 V3->V2,V3,V2,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0,V1,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0,V2,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0,V3,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V3,V0,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V3,V1,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V3,V2,V0,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V0,V1,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V0,V2,V3,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V0,V3,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V1,V2,"V0,V3",1,-1,1,1,1,True,True,True,True
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V3,V0,,-1,-1,-1,-1,-1,,False,,False
V0->V1 V0->V2 V3->V1 V3->V2 V1-V2,V0->V1 V0->V2 V1->V2 V3->V1 V3->V2,V3,V1,V0,-1,-1,-1,-1,-1,,False,,False
