cpdag,n_nodes,k_undirected,space_size,upset_size,n_retractable,build_seconds,bfs_query_seconds,fast_seconds,bfs_single_query_seconds,speedup_single_query,speedup_amortised,crossover_queries,fast_elements_visited,fast_closures,fast_validity_checks,fast_peak_kib,r_bfs,r_fast,agree
V0->V1 V0->V2 V0->V3 V1->V2 V1->V3 V4->V1 V2-V3,5,1,3,1,0,0.00011570799999982562,3.2457999999957465e-05,8.895899999994406e-05,0.00014816599999978308,1.6655537944432408,0.36486471295740597,2.047892957644167,1,0,1,3.6640625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V1->V3 V4->V1 V2-V3,5,1,3,1,0,0.00011570799999982562,3.7583000000118716e-05,8.07499999999628e-05,0.00015329099999994433,1.898340557275727,0.46542414860849574,2.680473509862709,1,0,1,3.8359375,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V1->V3 V4->V1 V2-V3,5,1,3,1,0,0.00011570799999982562,3.691599999999795e-05,7.749999999995261e-05,0.00015262399999982357,1.9693419354827988,0.4763354838712326,2.8510743149998743,1,0,1,3.78125,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V3->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,0.00010037499999993038,3.733299999986173e-05,7.412500000003597e-05,0.0001377079999997921,1.8577807757129887,0.5036492411446019,2.7281746031597907,1,0,1,3.90625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V3->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,0.00010037499999993038,4.616700000004137e-05,8.283400000008712e-05,0.00014654199999997175,1.769104474006056,0.5573436028683006,2.737475113857287,1,0,1,4.1171875,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V3->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,0.00010037499999993038,3.729100000016139e-05,7.279099999979444e-05,0.00013766600000009177,1.8912502919382965,0.5123023450737962,2.82746478875966,1,0,1,3.8515625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,8.916699999983457e-05,3.375000000005457e-05,7.104199999985461e-05,0.00012291699999988914,1.7302018524273064,0.47507108471219334,2.3910490185646434,1,0,1,3.625,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,8.916699999983457e-05,3.64170000000108e-05,7.333300000000875e-05,0.00012558399999984537,1.712516875074392,0.496597711807869,2.415402535481621,1,0,1,3.8359375,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V2 V4->V1 V4->V3 V1-V3,5,1,3,1,0,8.916699999983457e-05,3.3082999999933804e-05,6.87919999999842e-05,0.00012224999999976838,1.7770961739707591,0.4809134783105798,2.4970455627351296,1,0,1,3.5703125,-1,-1,True
V0->V1 V0->V2 V0->V3 V1->V3 V2->V3 V4->V1 V4->V2 V1-V2,5,1,3,1,0,9.537499999989763e-05,3.658299999997894e-05,7.050000000008438e-05,0.00013195799999987656,1.8717446808470726,0.5189078014175199,2.8120116755491673,1,0,1,3.90625,-1,-1,True
