edge_string,n_directed,n_undirected,n_extensions,z_valid,z_is_optimal,mean_abs_bias,max_abs_bias,mean_abs_effect,shell,in_component,moves_from_g0,n_moves
Age->BP Age->CVD BMI->Chol BP->CVD Chol->CRP Chol->Statin Smoke->BMI Smoke->CVD Statin->BP Statin->CVD CRP-Statin,10,1,2,True,True,1.5307199952019347e-16,1.3322676295501878e-15,1.0649595704536057,0,True,,0
Age->BP Age->CVD BMI->Chol BP->CVD CRP->Statin Chol->CRP Chol->Statin Smoke->BMI Smoke->CVD Statin->BP Statin->CVD,11,0,1,True,True,1.482299526178732e-16,8.881784197001252e-16,1.0001664321931836,1,True,orient CRP->Statin,1
Age->BP Age->CVD BMI->Chol BP->CVD Chol->CRP Chol->Statin Smoke->BMI Smoke->CVD Statin->BP Statin->CRP Statin->CVD,11,0,1,True,True,1.6322446866334772e-16,8.881784197001252e-16,1.1402480444723007,1,True,orient Statin->CRP,1
Age->BP Age->CVD BMI->Chol BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Smoke CRP-Statin,9,2,4,True,True,1.5551199650937206e-16,1.3322676295501878e-15,1.0980755713651678,1,True,un-orient BMI-Smoke,1
Age->BP Age->CVD BMI->Chol BMI->Smoke BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD CRP-Statin,10,1,2,True,True,1.3685558762632777e-16,8.881784197001252e-16,1.0729614708561204,2,True,un-orient BMI-Smoke ; orient BMI->Smoke,2
Age->BP Age->CVD BMI->Chol BP->CVD CRP->Statin Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Smoke,10,1,2,True,True,1.5485605419501836e-16,1.3322676295501878e-15,1.0569519336396356,2,True,un-orient BMI-Smoke ; orient CRP->Statin,2
Age->BP Age->CVD BMI->Chol BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CRP Statin->CVD BMI-Smoke,10,1,2,True,True,1.6852513308462934e-16,1.3322676295501878e-15,1.1255855772110994,2,True,un-orient BMI-Smoke ; orient Statin->CRP,2
Age->BP Age->CVD BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD BMI-Chol BMI-Smoke CRP-Statin,8,3,6,True,True,1.5108104293078591e-16,1.3322676295501878e-15,1.090490231494412,2,True,un-orient BMI-Chol ; un-orient BMI-Smoke,2
Age->BP Age->CVD BMI->Chol BMI->Smoke BP->CVD CRP->Statin Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CVD,11,0,1,True,True,1.2786816148014495e-16,8.881784197001252e-16,1.0040955358853356,3,True,un-orient BMI-Smoke ; orient BMI->Smoke ; orient CRP->Statin,3
Age->BP Age->CVD BMI->Chol BMI->Smoke BP->CVD Chol->CRP Chol->Statin Smoke->CVD Statin->BP Statin->CRP Statin->CVD,11,0,1,True,True,1.5752129418553085e-16,8.881784197001252e-16,1.1092246352527766,3,True,un-orient BMI-Smoke ; orient BMI->Smoke ; orient Statin->CRP,3
