shell,n_graphs,n_z_invalid,n_z_suboptimal,mean_abs_bias,max_abs_bias
0,1,0,0,1.5307199952019347e-16,1.3322676295501878e-15
1,3,0,0,1.5565547259686433e-16,1.3322676295501878e-15
2,4,0,0,1.5282945445919035e-16,1.3322676295501878e-15
3,7,1,1,0.013331543117415995,3.7934865755696237
4,8,3,3,0.06248395856113102,4.430941026160076
5,9,5,5,0.12569008339749155,5.872660618173863
6,5,4,4,0.24245072185533303,5.203827571190498
7,6,5,5,0.4178645003604786,8.278639622520526
8,3,3,3,0.6092022672678487,5.261508981987634
9,2,2,2,0.7719078844034095,6.006669942835629
