shell,n_graphs,n_z_invalid,n_z_suboptimal,mean_abs_bias,max_abs_bias
0,1,0,0,1.6322446866334772e-16,8.881784197001252e-16
1,2,0,0,1.607985663024114e-16,1.3322676295501878e-15
2,4,0,0,1.5335414054803756e-16,1.3322676295501878e-15
3,5,1,1,0.033042151781596654,3.0593612615882226
4,8,3,3,0.07735739807335182,5.872660618173863
5,8,4,4,0.12727659785128997,4.430941026160076
6,8,5,5,0.2138139501312735,4.882763283077013
7,4,3,3,0.31351910230325536,5.261508981987634
8,5,4,4,0.46552169459210013,8.278639622520526
9,2,2,2,0.5511160643189676,4.59685291292806
10,1,1,1,0.6185550647715237,2.847972428501459
