shell,n_graphs,n_z_invalid,n_z_suboptimal,mean_abs_bias,max_abs_bias
0,1,0,0,1.6852513308462934e-16,1.3322676295501878e-15
1,4,0,0,1.5710276955940617e-16,1.3322676295501878e-15
2,6,1,1,0.02753512648466391,3.0593612615882226
3,9,3,3,0.06876213162075719,5.872660618173863
4,8,4,4,0.12727659785128997,4.430941026160076
5,8,5,5,0.2138139501312735,4.882763283077013
6,4,3,3,0.31351910230325536,5.261508981987634
7,5,4,4,0.46552169459210013,8.278639622520526
8,2,2,2,0.5511160643189676,4.59685291292806
9,1,1,1,0.6185550647715237,2.847972428501459
