n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,gate_exhausted,gate_error
8,0.3,0,0,0,V3,V1,1,6,6,5,0.05683854199924099,3.2750000173109584e-05,0.00025400000049558,False,False,0.05709254199973657,0.0568712919994141,0.0002053339994745329,False,False,0.00014162499974190723,False,False,0.00013799999942420982,False,False,local_up_fast,True,403.1247456577592,,1.026268118353785,,413.71407418803676,,276.9696793758099,1.4879275386323694,412.11081330944535,False,
8,0.3,1,0,1,V0,V3,2,2,2,3,0.0002774160002445569,8.241700015787501e-05,9.391699859406799e-05,False,False,0.0003713329988386249,0.00035983300040243194,0.00035016699985135347,False,False,0.00013241699889476877,False,False,0.00013404200035438407,False,False,local_up_fast,True,2.8042698591418893,,0.9878769232380964,,2.7702734803784197,,1.0276039734046376,2.612367757311678,2.6844794874076423,False,
8,0.3,2,0,2,V3,V1,1,3,3,3,0.001190874998428626,6.483300057880115e-05,0.00012208299995108973,False,False,0.0013129579983797157,0.0012557079990074271,0.00017058299999916926,False,False,9.729199882713147e-05,False,False,0.00010658300016075373,False,False,local_up_fast,True,13.495025430740517,,0.9128284874735266,,12.318643652359643,,7.361272805693079,1.6004709920145574,11.781503589817387,False,
8,0.3,3,0,3,V2,V0,1,2,2,2,0.00032012500014388934,0.00011399999857530929,0.00017474999913247302,False,False,0.0004948749992763624,0.00043412499871919863,0.0003725829992617946,False,False,0.00017345800006296486,False,False,0.00017599999955564272,False,False,local_up_fast,True,2.8529961091256895,,0.9855568210278648,,2.811789775714782,,1.1651766172351887,2.116948864786797,2.4666193171321527,False,
8,0.3,4,0,4,V0,V4,1,2,2,3,0.00023141599922382738,5.2041999879293144e-05,7.570799971290398e-05,False,False,0.00030712399893673137,0.00028345799910312053,0.000200542001039139,False,False,9.558400051901117e-05,False,False,9.61660007305909e-05,False,False,local_up_fast,True,3.2131318763504355,,0.9939479628230543,,3.1936858827803336,,1.4134595128917615,2.085373203789118,2.9475905928252986,False,
8,0.3,5,0,5,V1,V0,1,3,3,4,0.00108258299951558,9.91669985523913e-05,0.00013824999950884376,False,False,0.0012208329990244238,0.0011817499980679713,0.00020312499873398338,False,False,0.00012429200069163926,False,False,0.00011458300105005037,False,False,local_up_fast,True,9.822297430493816,,1.084733333501607,,10.654573434423824,,5.8178461805955015,1.7727324024726623,10.313484436943465,False,
8,0.3,6,0,6,V2,V0,2,3,3,4,0.001052457999321632,0.0001662499998928979,0.0002862499986804323,False,False,0.0013387079980020644,0.00121870799921453,0.0008655410001665587,False,False,0.0003769170016312273,False,False,0.00038558300002478063,False,False,local_up_fast,True,3.551731527652992,,0.9775249469167563,,3.471906173031561,,1.4080303520919406,2.244759235004998,3.1606891360257223,False,
8,0.3,7,0,7,V0,V1,2,1,1,2,9.291700007452164e-05,4.787499892699998e-05,6.212500011315569e-05,False,False,0.00015504200018767733,0.00014079199900152162,0.00012712500029010698,False,False,6.966700129851233e-05,False,False,7.516700134146959e-05,False,False,local_up_fast,True,2.225472566607917,,0.9268295935077709,,2.0626338342719115,,1.1075083475337322,1.6912341588911064,1.873055948606091,False,
8,0.5,0,0,0,V1,V7,2,6,6,5,0.06654604200048198,0.00038991699875623453,0.0006224579992704093,False,False,0.06716849999975238,0.06693595899923821,0.0003222919986001216,False,False,0.0001961250000022119,False,False,0.0002002080000238493,False,False,local_up_fast,True,342.47801146715034,,0.979606209436431,,335.49358662866166,,207.68731240606405,1.6097858155604636,334.33208958315663,False,
8,0.5,1,0,1,V0,V4,1,7,7,5,0.43847850000020117,7.13339995854767e-05,0.00040095799886330497,False,False,0.43887945799906447,0.43854983399978664,0.0006689589990855893,False,False,0.00022054100008972455,False,False,0.00022570799956156407,False,False,local_up_fast,True,1990.0130035708166,,0.9771075926335071,,1944.4568152284553,,655.5705724853801,2.963824943666315,1942.9964150657756,False,
