instance_id,generator,generator_params_json,n,seed,knows_fraction,corruption_name,corruption_rate,n_undirected_cpdag,n_k0,x,y,z_size,z,r_val,r_val_method,r_val_seconds,r_val_exact,theta_z,tau_true,beta_top,r0_d,staircase_json,traversal_limit_d,monotone_violation,k_false,realised_error_effect,beta_up_at_kfalse,beta_up_at_kfalse_is_lower_bound,certificate_holds,conservativeness_ratio,staircase_shape,staircase_n_distinct,staircase_total_rise,cost_incremental_seconds,cost_incremental_states,cost_incremental_shells,cost_incremental_radius,cost_bisection_seconds,cost_bisection_states,cost_bisection_shells,cost_bisection_radius,cost_disagreement,cost_greedy_seconds,cost_greedy_states,cost_greedy_radius,cost_greedy_tight,states_saved_subsample,states_saved_below_rval,old_reps_subsample,old_r_eps_json,old_new_disagree_count,old_new_disagree_direction,old_mean_abs_bias_monotone,status,notes,timing_total_seconds,r_eps_0.01,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.25,r_eps_0.5,r_eps_1
inst_000012,erdos_renyi,"{""edge_prob"": 0.25}",7,20260928,0.4,none,0.0,2,2,V6,V2,1,V1,2,local_up_fast,0.00015387500752694905,True,0.5081799451394056,0.5081799451394057,0.2886803605358434,2,"[[0, 0.0], [1, 0.0], [2, 0.2886803605358434]]",2,False,0,1.1102230246251565e-16,0.0,False,True,nan,step,2,0.2886803605358434,4.099999205209315e-05,1,1,-1,4.075001925230026e-05,1,1,-1,False,0.00011512500350363553,3,-1,True,True,3,True,"{""0.0050818"": 2, ""0.0101636"": 2, ""0.025409"": 2, ""0.050818"": 2, ""0.127045"": 2, ""0.25409"": 2, ""0.50818"": 4}",1,new_larger,violated_2_6,ok,,0.022204708016943187,2,2,2,2,2,2,-1
inst_000023,erdos_renyi,"{""edge_prob"": 0.25}",7,20260939,1.0,omit,0.3,2,1,V4,V6,2,V2|V5,1,local_up_fast,5.2624993259087205e-05,True,0.4497927256684563,0.44979272566845635,0.12496175036670032,1,"[[0, 0.0], [1, 0.12496175036670032]]",1,False,0,5.551115123125783e-17,0.0,False,True,nan,step,2,0.12496175036670032,3.0208000680431724e-05,1,1,-1,2.691600820980966e-05,1,1,-1,False,2.7875008527189493e-05,1,-1,True,False,-1,True,"{""0.00449793"": 1, ""0.00899585"": 1, ""0.0224896"": 1, ""0.0449793"": 1, ""0.112448"": 1, ""0.224896"": 1, ""0.449793"": 2}",2,new_larger,violated_5_12,ok,,0.020204792002914473,1,1,1,1,1,-1,-1
inst_000036,erdos_renyi,"{""edge_prob"": 0.25}",10,20260952,0.4,none,0.0,2,1,V8,V6,1,V9,1,local_up_fast,0.00012337500811554492,True,-0.16482711637766534,-0.16482711637766534,0.061877027523566636,1,"[[0, 0.0], [1, 0.061877027523566636]]",1,False,0,0.0,0.0,False,True,nan,step,2,0.061877027523566636,3.433297388255596e-05,1,1,-1,4.412498674355447e-05,1,1,-1,False,3.6250014090910554e-05,1,-1,True,False,-1,True,"{""0.00164827"": 1, ""0.00329654"": 1, ""0.00824136"": 1, ""0.0164827"": 1, ""0.0412068"": 1, ""0.0824136"": 1, ""0.164827"": 1}",2,new_larger,violated_3_12,ok,,0.032741958973929286,1,1,1,1,1,-1,-1
inst_000037,erdos_renyi,"{""edge_prob"": 0.25}",10,20260953,0.4,flip,0.15,6,3,V3,V0,1,V6,1,local_up_fast,0.0003575420123524964,True,0.49057197533722474,0.49057197533722485,0.5126012308451978,1,"[[0, 0.0], [1, 0.09255573631611891], [2, 0.5126012308451978]]",2,False,0,1.1102230246251565e-16,0.0,False,True,nan,ramp,3,0.5126012308451978,0.00564350001513958,6,2,2,0.005721833003917709,7,3,2,False,0.003778874990530312,5,2,True,False,-1,False,,-1,,,ok,,0.022920459014130756,1,1,1,1,2,2,2
inst_000048,erdos_renyi,"{""edge_prob"": 0.25}",12,20260964,0.4,none,0.0,4,2,V02,V06,3,V00|V03|V04,1,local_up_fast,0.0001101669913623482,True,1.5568081122225899,1.5568081122225896,1.5568081122225907,1,"[[0, 0.0], [1, 1.5568081122225907]]",1,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,1.5568081122225907,0.00019333299132995307,2,1,1,0.00018658299813978374,3,2,1,False,0.00013020899496041238,2,1,True,False,-1,True,"{""0.0155681"": 1, ""0.0311362"": 1, ""0.0778404"": 1, ""0.155681"": 1, ""0.389202"": 3, ""0.778404"": -1, ""1.55681"": -1}",3,old_larger,violated_72_216,ok,,0.8781263749988284,1,1,1,1,1,1,1
inst_000052,erdos_renyi,"{""edge_prob"": 0.25}",12,20260968,0.7,none,0.0,4,3,V09,V05,2,V06|V07,1,local_up_fast,0.0002230420068372041,True,-0.968603433789209,-0.968603433789209,0.34230702292661164,1,"[[0, 0.0], [1, 0.34230702292661164], [2, 0.34230702292661164], [3, 0.34230702292661164]]",3,False,0,0.0,0.0,False,True,nan,step,2,0.34230702292661164,4.929202259518206e-05,1,1,-1,4.6667002607136965e-05,1,1,-1,False,0.000504958996316418,6,-1,True,False,-1,True,"{""0.00968603"": 1, ""0.0193721"": 1, ""0.0484302"": 1, ""0.0968603"": 1, ""0.242151"": 1, ""0.484302"": 2, ""0.968603"": 2}",2,new_larger,violated_48_126,ok,,0.4554398750187829,1,1,1,1,1,-1,-1
inst_000053,erdos_renyi,"{""edge_prob"": 0.25}",12,20260969,0.7,flip,0.15,7,7,V08,V11,3,V01|V06|V10,1,local_up_fast,0.00017795900930650532,True,0.3900925055323401,0.39009250553234026,0.1576173768897674,1,"[[0, 0.0], [1, 0.1576173768897674], [2, 0.1576173768897674], [3, 0.1576173768897674], [4, 0.1576173768897674], [5, 0.1576173768897674], [6, 0.1576173768897674], [7, 0.1576173768897674]]",7,False,1,1.6653345369377348e-16,0.1576173768897674,False,True,1.0565678542553192e-15,step,2,0.1576173768897674,0.00012866701581515372,1,1,-1,0.00012895799591206014,1,1,-1,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.006702124985168,1,1,1,1,1,-1,-1
inst_000056,erdos_renyi,"{""edge_prob"": 0.25}",12,20260972,1.0,none,0.0,4,4,V02,V09,2,V04|V06,1,local_up_fast,0.00021737499628216028,True,-1.1194637928428428,-1.1194637928428428,0.23472885580630942,1,"[[0, 0.0], [1, 0.23472885580630942], [2, 0.23472885580630942], [3, 0.23472885580630942], [4, 0.23472885580630942]]",4,False,0,0.0,0.0,False,True,nan,step,2,0.23472885580630942,0.00023358300677500665,1,1,-1,0.00021895798272453249,1,1,-1,False,0.002097583987051621,10,-1,True,False,-1,True,"{""0.0111946"": 1, ""0.0223893"": 1, ""0.0559732"": 1, ""0.111946"": 1, ""0.279866"": 1, ""0.559732"": 2, ""1.11946"": -1}",2,new_larger,violated_10_26,ok,,0.19329674998880364,1,1,1,1,-1,-1,-1
inst_000057,erdos_renyi,"{""edge_prob"": 0.25}",12,20260973,1.0,flip,0.15,1,1,V10,V07,3,V01|V05|V08,1,local_up_fast,9.920800221152604e-05,True,1.147047302620864,1.1470473026208643,0.25903161773686545,1,"[[0, 0.0], [1, 0.25903161773686545]]",1,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,0.25903161773686545,3.791699418798089e-05,1,1,-1,3.6500015994533896e-05,1,1,-1,False,3.791702329181135e-05,1,-1,True,True,1,True,"{""0.0114705"": 1, ""0.0229409"": 1, ""0.0573524"": 1, ""0.114705"": 1, ""0.286762"": 1, ""0.573524"": 2, ""1.14705"": -1}",2,new_larger,violated_1_2,ok,,0.01773799999500625,1,1,1,1,-1,-1,-1
inst_000069,erdos_renyi,"{""edge_prob"": 0.35}",6,20260985,1.0,flip,0.15,1,1,V3,V5,2,V0|V4,1,local_up_fast,5.77080063521862e-05,True,1.1644049059236707,1.1644049059236707,0.432962116750644,1,"[[0, 0.0], [1, 0.432962116750644]]",1,False,0,0.0,0.0,False,True,nan,step,2,0.432962116750644,2.545802271924913e-05,1,1,-1,2.4958018912002444e-05,1,1,-1,False,2.5084009394049644e-05,1,-1,True,False,-1,True,"{""0.011644"": 1, ""0.0232881"": 1, ""0.0582202"": 1, ""0.11644"": 1, ""0.291101"": 1, ""0.582202"": 2, ""1.1644"": -1}",1,new_larger,violated_1_2,ok,,0.006885167007567361,1,1,1,1,1,-1,-1
