network,nodes,undirected_edges,components_ge2,candidate_treatments,frame_pairs,sampled_pairs,inclusion_probability,committed_admissible,committed_inside_frame,committed_outside_frame
munin2,1003,102,21,123,22016,20,0.000908,0,0,0
munin3,1041,78,11,89,19786,20,0.001011,0,0,0
link,724,118,118,236,9336,20,0.002142,0,0,0
pathfinder,109,122,3,89,9226,20,0.002168,3,3,0
diabetes,413,26,25,51,8136,20,0.002458,89,89,0
munin,1041,22,10,32,2110,20,0.009479,0,0,0
munin4,1038,22,10,32,2110,20,0.009479,0,0,0
arth150,107,45,8,51,1883,20,0.010621,6,6,0
andes,223,10,4,14,977,20,0.020471,0,0,0
munin1,186,8,2,10,878,20,0.022779,3,3,0
ecoli70,46,25,4,25,625,20,0.032,22,22,0
hailfinder,56,17,1,18,432,20,0.046296,11,11,0
hepar2,70,9,5,14,372,20,0.053763,8,8,0
insurance,27,18,1,11,275,20,0.072727,95,95,0
barley,48,9,4,13,264,20,0.075758,85,85,0
paths,17,14,1,15,240,20,0.083333,20,20,0
child,20,12,1,12,228,20,0.087719,18,18,0
magic-irri,64,12,9,20,208,20,0.096154,11,11,0
Sebastiani_2005,36,7,5,12,192,20,0.104167,5,5,0
win95pts,76,12,6,16,142,20,0.140845,3,3,0
magic-niab,44,10,7,17,117,20,0.17094,21,21,0
water,32,6,2,8,108,20,0.185185,14,14,0
alarm,37,4,4,8,84,20,0.238095,0,0,0
Kampen_2014,12,11,1,7,77,20,0.25974,27,27,0
Polzer_2012,14,9,2,8,73,20,0.273973,49,49,0
sachs,11,17,2,11,62,20,0.322581,12,12,0
Shrier_2008,13,3,2,5,40,20,0.5,7,7,0
Acid_1996,18,1,1,2,30,20,0.666667,10,10,0
Schipf_2010,7,6,1,5,30,20,0.666667,11,11,0
Didelez_2010,7,3,1,4,24,20,0.833333,8,8,0
asia,8,3,2,5,23,20,0.869565,2,2,0
Thoemmes_2013,13,1,1,2,16,16,1.0,0,0,0
mediator,4,5,1,4,12,12,1.0,3,3,0
cancer,5,0,0,0,0,0,0.0,0,0,0
confounding,5,0,0,0,0,0,0.0,0,0,0
earthquake,5,0,0,0,0,0,0.0,0,0,0
mildew,35,0,0,0,0,0,0.0,0,0,0
pigs,441,0,0,0,0,0,0.0,0,0,0
survey,6,0,0,0,0,0,0.0,0,0,0
