network,x,y,arm,coverage,rep,n_k,status,g0_undirected,z_size,separation,separation_status,k_g0,r_hop,hop_method,hop_exact,r_claim,r_claim_status,r_id,phi_1,n_wrong_claims,z_valid_at_truth
Acid_1996,x1,x10,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x10,D_RAND,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x10,D_RAND,1.0,1,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x10,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x10,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x10,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x10,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x11,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x11,D_RAND,1.0,0,1,ok,0,2,1,measured,1,1,local_up_fast,1,1,exact,1,1.0,1,0
Acid_1996,x1,x11,D_RAND,1.0,1,1,ok,0,2,1,measured,1,1,local_up_fast,1,1,exact,1,1.0,1,0
Acid_1996,x1,x11,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x11,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x11,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x11,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x12,A_TRUE,1.0,0,1,ok,0,1,,no_z_member_in_component,1,1,local_up_fast,1,1,exact,1,1.0,0,1
Acid_1996,x1,x12,D_RAND,1.0,0,1,ok,0,2,1,measured,1,1,local_up_fast,1,1,exact,1,1.0,1,0
Acid_1996,x1,x12,D_RAND,1.0,1,1,ok,0,2,1,measured,1,1,local_up_fast,1,1,exact,1,1.0,1,0
Acid_1996,x1,x12,D_DEGEN,1.0,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x12,A_TRUE,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x12,D_RAND,0.5,0,0,not_amenable,1,,,,,,,,,,,,,
Acid_1996,x1,x12,D_RAND,0.5,1,0,not_amenable,1,,,,,,,,,,,,,
