network,treatment,outcome,n_claims,retraction_depth,retraction_set,retraction_sits,n_sets_at_depth,what_it_costs,free_rule_said,hop_radius_said,closure_size_said,claim_count_said,free_rule_unit_gap,hop_unit_gap,closure_unit_gap,z_valid_at_truth
mediator,I,Y,3,1,X -> I,into the treatment,1,identifiability,1,1,5,3,0,0,4,1
mediator,X,I,3,1,X -> I,out of the treatment,2,identifiability,1,1,5,3,0,0,4,1
mediator,X,Y,3,1,X -> I,out of the treatment,2,identifiability,1,1,5,3,0,0,4,1
Didelez_2010,Occ,HRT,1,1,Age -> Occ,into the treatment,1,identifiability,1,1,3,1,0,0,2,1
Didelez_2010,Occ,S,1,1,Age -> Occ,into the treatment,1,identifiability,1,1,3,1,0,0,2,1
Didelez_2010,Occ,TCI,1,1,Age -> Occ,into the treatment,1,identifiability,1,1,3,1,0,0,2,1
Didelez_2010,Smo,HRT,1,1,Age -> Occ,elsewhere in the component,1,identifiability,2,2,3,1,1,1,2,1
Didelez_2010,Smo,S,1,1,Age -> Occ,elsewhere in the component,1,identifiability,2,2,3,1,1,1,2,1
Didelez_2010,Smo,TCI,1,1,Age -> Occ,elsewhere in the component,1,identifiability,2,2,3,1,1,1,2,1
Didelez_2010,Thist,S,1,1,Age -> Occ,elsewhere in the component,1,identifiability,2,2,3,1,1,1,2,1
Didelez_2010,Thist,TCI,1,1,Age -> Occ,elsewhere in the component,1,identifiability,2,2,3,1,1,1,2,1
Schipf_2010,PA,T2DM,3,1,A -> PA,into the treatment,2,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,PA,TT,3,1,A -> PA,into the treatment,2,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,PA,U,3,1,A -> PA,into the treatment,2,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,PA,WC,3,1,A -> PA,into the treatment,2,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,S,T2DM,3,1,A -> S,into the treatment,1,identifiability,2,1,6,3,1,0,5,1
Schipf_2010,S,TT,3,1,A -> S,into the treatment,1,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,U,T2DM,3,1,PA -> WC,elsewhere in the component,1,identifiability,1,2,6,3,0,1,5,1
Schipf_2010,U,TT,3,1,PA -> WC,elsewhere in the component,1,identifiability,1,2,6,3,0,1,5,1
Schipf_2010,WC,T2DM,3,1,A -> PA,elsewhere in the component,2,identifiability,1,1,6,3,0,0,5,1
Schipf_2010,WC,TT,3,1,A -> PA,elsewhere in the component,2,identifiability,1,2,6,3,0,1,5,1
Schipf_2010,WC,U,3,1,A -> PA,elsewhere in the component,2,identifiability,1,2,6,3,0,1,5,1
asia,bronc,dysp,3,1,smoke -> bronc,into the treatment,1,identifiability,1,1,3,3,0,0,2,1
asia,lung,dysp,3,1,smoke -> lung,into the treatment,1,identifiability,2,1,3,3,1,0,2,1
sachs,Mek,Akt,8,1,PKA -> Raf,elsewhere in the component,2,identifiability,1,2,17,8,0,1,16,1
sachs,Mek,Erk,8,1,PKA -> Raf,elsewhere in the component,2,identifiability,1,2,17,8,0,1,16,1
sachs,PIP3,PIP2,8,1,PIP3 -> PIP2,out of the treatment,2,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,Akt,8,1,PKA -> Raf,out of the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,Erk,8,1,PKA -> Raf,out of the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,Jnk,8,1,PKA -> Jnk,out of the treatment,2,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,Mek,8,1,PKA -> Raf,out of the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,P38,8,1,PKA -> P38,out of the treatment,2,identifiability,1,1,17,8,0,0,16,1
sachs,PKA,Raf,8,1,PKA -> Raf,out of the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,Raf,Akt,8,1,PKA -> Raf,into the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,Raf,Erk,8,1,PKA -> Raf,into the treatment,3,identifiability,1,1,17,8,0,0,16,1
sachs,Raf,Mek,8,1,PKA -> Raf,into the treatment,3,identifiability,1,1,17,8,0,0,16,1
Kampen_2014,AFF,ALN,3,1,AIS -> AFF,into the treatment,2,identifiability,1,2,11,3,0,1,10,1
Kampen_2014,AFF,APA,3,1,AIS -> AFF,into the treatment,2,identifiability,1,2,11,3,0,1,10,1
Kampen_2014,AFF,CDR,3,1,AIS -> AFF,into the treatment,2,identifiability,1,2,11,3,0,1,10,1
Kampen_2014,AFF,DET,3,1,AIS -> AFF,into the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AFF,EGC,3,1,AIS -> AFF,into the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AFF,FTW,3,1,AIS -> AFF,into the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AFF,HOS,3,1,AIS -> AFF,into the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AFF,PER,3,1,AIS -> AFF,into the treatment,2,identifiability,1,2,11,3,0,1,10,1
Kampen_2014,AFF,SUS,3,1,AIS -> AFF,into the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AIS,AFF,3,1,AIS -> AFF,out of the treatment,2,identifiability,1,1,11,3,0,0,10,1
Kampen_2014,AIS,ALN,3,1,AIS -> AFF,out of the treatment,2,identifiability,1,1,11,3,0,0,10,1
