network,tier,x,y,arm,rep,true_dag_on_path,chat_source_sha256,generating_dag_sha256,k_sha256,n_k,status,committed_verdict,z_size,g0_undirected,k_g0,separation,separation_status,component_size,r_claim,r_claim_status,r_id,r_hop,hop_method,hop_exact,hop_lower_bound,phi_1,witness,n_wrong_claims,n_omitted,z_valid_at_truth,z_backdoor_at_truth,severity,bucket_B2_free_rule,bucket_B4_kg0,bucket_B5_k,bucket_B6_hop,bucket_B7_claim
Shrier_2008,T2,Coach,FitnessLevel,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,1,0,3,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,Coach,IntraGameProprioception,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,3,0,3,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,0.3333,Coach->TeamMotivation,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,Coach,PreGameProprioception,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,1,0,3,,no_z_member_in_component,2,,unreached,,-1,e1_ladder,1,,0.0,,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,Coach,TeamMotivation,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,0,0,3,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,0.3333,Coach->TeamMotivation,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,ConnectiveTissueDisorder,FitnessLevel,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,y_not_possible_descendant,y_not_possible_descendant,,0,3,,,,,,,,,,,,,,,,,,,,,,
Shrier_2008,T2,ConnectiveTissueDisorder,Injury,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,4,0,3,1,measured,3,1,exact,1,1,local_up_fast,1,,0.3333,Genetics->ConnectiveTissueDisorder,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,ConnectiveTissueDisorder,NeuromuscularFatigue,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,2,0,3,1,measured,3,1,exact,1,1,local_up_fast,1,,0.3333,Genetics->ConnectiveTissueDisorder,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,ConnectiveTissueDisorder,TissueWeakness,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,0,0,3,,no_z_member_in_component,3,2,exact,2,2,local_up_fast,1,,0.0,ConnectiveTissueDisorder->TissueWeakness and Genetics->ConnectiveTissueDisorder,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,Genetics,ConnectiveTissueDisorder,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,0,0,3,,no_z_member_in_component,3,1,exact,1,1,local_up_fast,1,,0.3333,Genetics->ConnectiveTissueDisorder,0,0,1,1,benign,held,held,held,held,held
Shrier_2008,T2,Genetics,Injury,D_LLM_PLUS_ANC,0,via_Chat_only,1c4437bbb985a8e7,2114fd54613aee92,61b26382a978817b,3,ok,closed_form,3,0,3,,no_z_member_in_component,3,1,exact,1,1,local_up_fast,1,,0.3333,Genetics->ConnectiveTissueDisorder,0,0,1,1,benign,held,held,held,held,held
