corpus,grid,grid_values,n_instances,grid_size,avg_distinct_finite,avg_n_unreached,avg_n_pinned,frac_all_unreached,frac_all_pinned,disqualified,disqualified_values
mean_fullspace_all_79,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",79,6,2.430379746835443,0.7215189873417721,3.6835443037974684,0.0,0.08860759493670886,True,1
mean_fullspace_all_79,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",79,6,2.5443037974683542,1.0759493670886076,3.240506329113924,0.0,0.0,False,
mean_fullspace_all_79,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",79,6,2.5822784810126582,2.5822784810126582,1.3037974683544304,0.02531645569620253,0.0,True,1
mean_fullspace_all_79,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",79,7,2.9873417721518987,1.8101265822784811,2.7974683544303796,0.0,0.0,False,
mean_fullspace_real_10,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",10,6,2.4,0.0,4.4,0.0,0.4,True,1
mean_fullspace_real_10,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",10,6,2.3,0.7,3.8,0.0,0.0,False,
mean_fullspace_real_10,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",10,6,2.8,1.6,2.1,0.0,0.0,True,1
mean_fullspace_real_10,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",10,7,2.8,1.0,3.7,0.0,0.0,False,
mean_fullspace_synthetic_69,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",69,6,2.4347826086956523,0.8260869565217391,3.579710144927536,0.0,0.043478260869565216,True,1
mean_fullspace_synthetic_69,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",69,6,2.579710144927536,1.1304347826086956,3.1594202898550723,0.0,0.0,False,
mean_fullspace_synthetic_69,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",69,6,2.550724637681159,2.7246376811594204,1.1884057971014492,0.028985507246376812,0.0,True,1
mean_fullspace_synthetic_69,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",69,7,3.0144927536231885,1.9275362318840579,2.6666666666666665,0.0,0.0,False,
mean_fullspace_small_K,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",64,6,2.21875,0.765625,3.859375,0.0,0.109375,True,1
mean_fullspace_small_K,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",64,6,2.390625,1.09375,3.375,0.0,0.0,False,
mean_fullspace_small_K,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",64,6,2.46875,2.625,1.515625,0.03125,0.0,True,1
mean_fullspace_small_K,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",64,7,2.796875,1.84375,2.96875,0.0,0.0,False,
mean_fullspace_large_K,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",15,6,3.3333333333333335,0.5333333333333333,2.933333333333333,0.0,0.0,True,1
mean_fullspace_large_K,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",15,6,3.2,1.0,2.6666666666666665,0.0,0.0,False,
mean_fullspace_large_K,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",15,6,3.066666666666667,2.4,0.4,0.0,0.0,True,1
mean_fullspace_large_K,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",15,7,3.8,1.6666666666666667,2.066666666666667,0.0,0.0,False,
mean_vs_max_exhaustive_real_15,legacy_max_grid,"0.01,0.05,0.1,0.25,0.5,1",15,6,3.2666666666666666,0.0,3.2,0.0,0.2,True,1
mean_vs_max_exhaustive_real_15,log_spaced,"0.02,0.05024,0.1262,0.317,0.7962,2",15,6,3.0,0.7333333333333333,2.8,0.0,0.06666666666666667,False,
mean_vs_max_exhaustive_real_15,quantile_derived_79,"0.1701,0.3591,0.7375,1,2.0184,3.9597",15,6,3.2,1.6,1.3333333333333333,0.0,0.06666666666666667,True,1
mean_vs_max_exhaustive_real_15,round_number_proposal,"0.02,0.1,0.25,0.5,0.75,1.25,2",15,7,3.466666666666667,1.2666666666666666,2.6666666666666665,0.0,0.06666666666666667,False,
