network,tier,x,y,arm,rep,true_dag_on_path,chat_source_sha256,generating_dag_sha256,k_sha256,n_k,status,committed_verdict,z_size,g0_undirected,k_g0,separation,separation_status,component_size,r_claim,r_claim_status,r_id,r_hop,hop_method,hop_exact,hop_lower_bound,phi_1,witness,n_wrong_claims,n_omitted,z_valid_at_truth,z_backdoor_at_truth,severity,bucket_B2_free_rule,bucket_B4_kg0,bucket_B5_k,bucket_B6_hop,bucket_B7_claim,cpdag_source,truth_status,truth_extends_g0,n_claims_on_absent_edges,y_true_descendant,r_cert_claim,panel_n,beta_hat,true_effect,bias_abs,se_fwl,band_lo,band_hi,band_covers_truth
arth150,T3,100,245,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,ok,0,0,1,,,,,,,,,
arth150,T3,187,269,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,20,38,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,226,161,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,y_not_possible_descendant,y_not_possible_descendant,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,26,342,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,269,598,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,331,570,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,ok,closed_form,12,25,16,,no_z_member_in_component,8,,gt_3,,-1,local_up_fast_budget,0,4,0.0,,3,8,0,0,validity,safe,dangerous,dangerous,dangerous,dangerous,pc_fisherz_n5000,y_not_true_descendant,0,0,0,4,5000,-0.033307,0.0,0.033307,0.005267,-0.043629,-0.022985,0
arth150,T3,422,598,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,ok,closed_form,12,25,16,,no_z_member_in_component,8,,gt_3,,-1,local_up_fast_budget,0,4,0.0,,3,8,0,0,validity,safe,dangerous,dangerous,dangerous,dangerous,pc_fisherz_n5000,ok,0,0,1,4,5000,-0.108353,-0.188176,0.079823,0.025167,-0.157681,-0.059026,0
arth150,T3,454,38,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,480,570,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,ok,closed_form,12,25,16,,no_z_member_in_component,2,1,exact,1,1,local_up_fast,1,,0.2,480->61,3,0,0,0,validity,safe,dangerous,dangerous,safe,safe,pc_fisherz_n5000,y_not_true_descendant,0,0,0,1,5000,0.123179,0.0,0.123179,0.012301,0.099069,0.147289,0
arth150,T3,540,636,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,y_not_possible_descendant,y_not_possible_descendant,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,573,181,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,not_amenable,not_amenable,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,596,93,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,y_not_possible_descendant,y_not_possible_descendant,,25,16,,,,,,,,,,,,,,,,,,,,,,,pc_fisherz_n5000,y_not_true_descendant,0,0,0,,,,,,,,,
arth150,T3,629,281,D_LLM,0,false,88b0c645ffbeee7e,fe0383023632e970,9e7ec4c8ba9771db,5,ok,closed_form,1,25,16,,no_z_member_in_component,8,,gt_3,,-1,local_up_fast_budget,0,4,0.0,,3,8,0,0,validity,safe,dangerous,dangerous,dangerous,dangerous,pc_fisherz_n5000,y_not_true_descendant,0,0,0,4,5000,-0.183469,0.0,0.183469,0.015289,-0.213435,-0.153502,0
