network,n,seed,method,status,seconds,wall_s,n_nodes,n_true_edges,n_learned_edges,n_directed,n_undirected,undirected_fraction,n_conflict_edges,n_other_endpoints,meek_closed_on_arrival,closure_ok,n_forced_by_closure,acyclic,skeleton_tp,skeleton_precision,skeleton_recall,n_directed_in_truth,oriented_correct,n_components_ge2,max_component,ari_vs_oracle,is_reference,sample_sha256,components
arth150,200,0,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,97ae1a29f5c44543,[]
arth150,200,1,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,a8baa8fd28435912,[]
arth150,200,2,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,6647653ba9bfcb1e,[]
arth150,1000,0,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,71722b65aa1d39d3,[]
arth150,1000,1,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,5ee091f4ca376c0a,[]
arth150,1000,2,ges,ok,307.1,900,107,150,215,212,3,0.013953,0,0,1,1,0,1,126,0.586047,0.84,123,0.813008,3,2,0.012904,0,2b112b217f84e27f,"[[""299"", ""444""], [""328"", ""519""], [""422"", ""629""]]"
arth150,5000,0,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,8e1e474fd149cfef,[]
arth150,5000,1,ges,timeout,900.0,900,107,150,,,,,,,,,,,,,,,,,,,0,79666950e1afdc26,[]
arth150,5000,2,ges,ok,418.2,900,107,150,202,196,6,0.029703,0,0,1,1,0,1,139,0.688119,0.926667,133,0.842105,4,4,0.044843,0,c9694ad50a1b33d9,"[[""100"", ""245"", ""296"", ""412""], [""328"", ""519""], [""414"", ""786""], [""480"", ""61""]]"
arth150,200,0,pc,ok,7.0,900,107,150,85,55,30,0.352941,0,0,0,0,0,1,77,0.905882,0.513333,49,0.44898,10,11,0.062874,0,97ae1a29f5c44543,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""111"", ""496""], [""209"", ""444"", ""540"", ""63"", ""636"", ""738"", ""8""], [""211"", ""96""], [""281"", ""331"", ""422"", ""47"", ""479"", ""627"", ""629"", ""661"", ""677"", ""714"", ""736""], [""289"", ""414"", ""560"", ""726"", ""78"", ""786""], [""328"", ""519""], [""480"", ""61""], [""739"", ""778""]]"
arth150,200,1,pc,ok,5.1,900,107,150,80,40,40,0.5,0,0,1,1,0,1,75,0.9375,0.5,37,0.567568,13,12,0.246042,0,a8baa8fd28435912,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""111"", ""496"", ""537""], [""126"", ""161"", ""256"", ""558""], [""155"", ""181"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8""], [""289"", ""414"", ""560"", ""726"", ""78"", ""786""], [""328"", ""519""], [""360"", ""640""], [""378"", ""778""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""622"", ""767"", ""81""]]"
arth150,200,2,pc,ok,5.7,900,107,150,85,47,38,0.447059,0,0,1,1,0,1,77,0.905882,0.513333,42,0.452381,12,11,0.283865,0,6647653ba9bfcb1e,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""111"", ""496"", ""537"", ""598""], [""155"", ""181"", ""187"", ""20"", ""26"", ""269"", ""454"", ""547"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""299"", ""444"", ""540"", ""63"", ""636"", ""738"", ""8""], [""289"", ""414"", ""560"", ""726"", ""78"", ""786""], [""328"", ""519""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""585"", ""665""], [""712"", ""93""]]"
arth150,200,3,pc,ok,5.0,900,107,150,85,45,40,0.470588,0,0,1,0,0,0,77,0.905882,0.513333,40,0.5,13,12,0.218373,0,066b2f410b5ed795,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""272"", ""289"", ""414"", ""452"", ""603"", ""677"", ""714"", ""726"", ""78"", ""786""], [""111"", ""496"", ""537""], [""155"", ""181"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""211"", ""758""], [""219"", ""460""], [""328"", ""519""], [""480"", ""61""], [""585"", ""712""], [""600"", ""699""], [""622"", ""767"", ""81""]]"
arth150,200,4,pc,ok,5.5,900,107,150,82,40,42,0.512195,0,0,0,0,0,1,76,0.926829,0.506667,38,0.342105,16,11,0.232713,0,17cbcd7e3d5b6cfd,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""111"", ""496"", ""537""], [""155"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""197"", ""585""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""738""], [""281"", ""627"", ""661""], [""289"", ""414"", ""726"", ""78"", ""786""], [""328"", ""519""], [""331"", ""422"", ""47"", ""479"", ""629"", ""736""], [""368"", ""767""], [""443"", ""565"", ""600"", ""699""], [""460"", ""623""], [""480"", ""61""], [""640"", ""665""]]"
arth150,200,5,pc,ok,5.7,900,107,150,82,53,29,0.353659,0,0,1,0,0,0,79,0.963415,0.526667,51,0.411765,14,6,0.153822,0,30d46aae899b9a17,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""155"", ""679""], [""187"", ""269"", ""454"", ""547"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""226"", ""573""], [""26"", ""781""], [""289"", ""414"", ""560"", ""726"", ""78"", ""786""], [""328"", ""519""], [""363"", ""576""], [""47"", ""479"", ""736""], [""480"", ""61""], [""600"", ""699""]]"
arth150,200,6,pc,ok,5.4,900,107,150,85,55,30,0.352941,0,0,0,0,0,1,78,0.917647,0.52,50,0.6,11,8,0.206232,0,e59103f69620285f,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""603""], [""155"", ""181"", ""187"", ""269"", ""454"", ""547"", ""679"", ""783""], [""20"", ""226"", ""26"", ""573"", ""781""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""289"", ""414"", ""726"", ""78"", ""786""], [""328"", ""519""], [""377"", ""640""], [""422"", ""736""], [""480"", ""61""], [""600"", ""699""]]"
arth150,200,7,pc,ok,5.3,900,107,150,86,51,35,0.406977,0,0,1,1,0,1,78,0.906977,0.52,47,0.531915,11,12,0.281759,0,0307f436c4b26c68,"[[""100"", ""245"", ""296"", ""412""], [""108"", ""289"", ""414"", ""560"", ""603"", ""726"", ""78"", ""786""], [""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""636"", ""738"", ""86""], [""328"", ""519""], [""422"", ""629"", ""736""], [""460"", ""739""], [""480"", ""61""], [""576"", ""665""], [""600"", ""699""]]"
arth150,200,8,pc,ok,5.7,900,107,150,86,47,39,0.453488,0,0,0,0,0,1,75,0.872093,0.5,39,0.461538,14,12,0.231509,0,0354e04643663e24,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""135"", ""38""], [""155"", ""181"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""679"", ""781"", ""783""], [""198"", ""779""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""272"", ""452"", ""677"", ""714""], [""289"", ""414""], [""328"", ""519""], [""331"", ""422"", ""47"", ""479"", ""629"", ""736""], [""443"", ""565"", ""600"", ""699""], [""480"", ""61""], [""640"", ""96""], [""712"", ""86""]]"
