network,x,y,condition,frame_row_id,shard_id,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
munin1,R_LNLBE_MEDD2_RD_EW,R_MEDD2_CV_EW,D_LLM_32B,162e869a91611adc,llm__D_LLM_32B__munin1,"[""R_MEDD2_DSLOW_EW"", ""R_MEDD2_LD_EW""]",1,1,True,True,True,,
munin1,R_MED_RD_EW,R_MED_CV_EW,D_LLM_32B,a99a5ed91e7b6673,llm__D_LLM_32B__munin1,"[""R_MED_DCV_EW"", ""R_MED_LD_EW""]",1,1,True,True,True,,
munin1,R_LNLBE_MEDD2_DIFSLOW_WD,R_MEDD2_ALLCV_WD,D_LLM_32B,e33d8a6891127093,llm__D_LLM_32B__munin1,"[""R_DIFFN_MEDD2_DIFSLOW"", ""R_MEDD2_LSLOW_WD"", ""R_MEDD2_SALOSS""]",1,1,True,True,True,,
munin1,R_LNLBE_MEDD2_DIFSLOW_WD,R_MEDD2_ALLCV_WD,D_LLM_72B_INSTR,e33d8a6891127093,llm__D_LLM_72B_INSTR__munin1,"[""R_DIFFN_MEDD2_DIFSLOW"", ""R_MEDD2_LSLOW_WD"", ""R_MEDD2_SALOSS""]",1,1,True,True,True,,
munin1,R_MED_RD_EW,R_MED_CV_EW,D_LLM_72B_INSTR,a99a5ed91e7b6673,llm__D_LLM_72B_INSTR__munin1,"[""R_MED_DCV_EW"", ""R_MED_LD_EW""]",1,1,True,True,True,,
munin1,R_LNLBE_MEDD2_RD_EW,R_MEDD2_CV_EW,D_LLM_72B_INSTR,162e869a91611adc,llm__D_LLM_72B_INSTR__munin1,"[""R_MEDD2_DSLOW_EW"", ""R_MEDD2_LD_EW""]",1,1,True,True,True,,
diabetes,cho_bal_1,ins_indep_4,D_LLM_72B,566d0c61f058e795,llm__D_LLM_72B__diabetes,"[""activ_ins_2"", ""activ_ins_3"", ""bg_1"", ""cho_1"", ""endo_bal_1"", ""meal_2"", ""meal_3"", ""met_irr_1"", ""met_irr_2"", ""met_irr_3""]",1,1,True,True,True,,
diabetes,cho_bal_12,ins_indep_14,D_LLM_72B,60b869e7c5e973a5,llm__D_LLM_72B__diabetes,"[""activ_ins_13"", ""bg_12"", ""cho_12"", ""endo_bal_12"", ""meal_13"", ""met_irr_12"", ""met_irr_13""]",1,1,True,True,True,,
diabetes,cho_bal_15,tot_bal_16,D_LLM_72B,a12956e07cb32aef,llm__D_LLM_72B__diabetes,"[""activ_ins_16"", ""bg_15"", ""cho_15"", ""endo_bal_15"", ""meal_16"", ""met_irr_15"", ""met_irr_16""]",1,1,True,True,True,,
diabetes,cho_bal_0,ins_indep_8,D_LLM_72B,95c0bf1d9424eb83,llm__D_LLM_72B__diabetes,"[""activ_ins_1"", ""activ_ins_2"", ""activ_ins_3"", ""activ_ins_4"", ""activ_ins_5"", ""activ_ins_6"", ""activ_ins_7"", ""bg_0"", ""cho_0"", ""endo_bal_0"", ""meal_1"", ""meal_2"", ""meal_3"", ""meal_4"", ""meal_5"", ""meal_6"", ""meal_7"", ""met_irr_0"", ""met_irr_1"", ""met_irr_2"", ""met_irr_3"", ""met_irr_4"", ""met_irr_5"", ""met_irr_6"", ""met_irr_7""]",1,1,True,True,True,,
diabetes,cho_bal_11,ins_indep_18,D_LLM_72B,66e2ddcd31df8a04,llm__D_LLM_72B__diabetes,"[""activ_ins_12"", ""activ_ins_13"", ""activ_ins_14"", ""activ_ins_15"", ""activ_ins_16"", ""activ_ins_17"", ""bg_11"", ""cho_11"", ""endo_bal_11"", ""meal_12"", ""meal_13"", ""meal_14"", ""meal_15"", ""meal_16"", ""meal_17"", ""met_irr_11"", ""met_irr_12"", ""met_irr_13"", ""met_irr_14"", ""met_irr_15"", ""met_irr_16"", ""met_irr_17""]",1,1,True,True,True,,
diabetes,cho_bal_1,glu_prod_10,D_LLM_72B,d9f1faf139852afb,llm__D_LLM_72B__diabetes,"[""activ_ins_10"", ""activ_ins_2"", ""activ_ins_3"", ""activ_ins_4"", ""activ_ins_5"", ""activ_ins_6"", ""activ_ins_7"", ""activ_ins_8"", ""activ_ins_9"", ""bg_1"", ""cho_1"", ""endo_bal_1"", ""meal_2"", ""meal_3"", ""meal_4"", ""meal_5"", ""meal_6"", ""meal_7"", ""meal_8"", ""meal_9"", ""met_irr_1"", ""met_irr_2"", ""met_irr_3"", ""met_irr_4"", ""met_irr_5"", ""met_irr_6"", ""met_irr_7"", ""met_irr_8"", ""met_irr_9""]",1,1,True,True,True,,
