instance_id,arm,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
c06_s01_cov050_seed00000000_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000000_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000000_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000001_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000001_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000001_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,2,match
c06_s01_cov050_seed00000002_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000002_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000002_bw025,flip,"[""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000003_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000003_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000003_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000004_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000004_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000004_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000005_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000005_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000005_bw025,flip,"[""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000006_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000006_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000006_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000007_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000007_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
c06_s01_cov050_seed00000007_bw025,flip,"[""C00"", ""W""]",1,1,True,True,True,1,match
